Mapping parameters for Ciona intestinalis (sea vase)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  27 |  31 |  34 |  37 ,
Bounding Box (NSWE): ,81,25,-45,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,126,434,1000
Temperature (°C),1,-0.41,9.22,19.06,28.24
Salinity (psu),1,3.5,30.23,37.67,39.25
Primary Production (mgC·m-3·day-1) ,1,0.44,1.85,19.12,46.49
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.63
Dissolved Bottom Oxygen (mmol·m-3),0,176.03,233.39,294.83,408.48
Distance to Land (km),0,0,3,117,317
 

Map data (HSPEC) for predicted occurrences (n = 4717): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Ciona,intestinalis,38.25,0.75,1300:380:2,0.16,1,0.90416513912559,1,0.17872338463281,1,1,1
Ciona,intestinalis,38.75,0.75,1300:380:4,0.18,1,0.91608586030847,1,0.19645389224938,1,1,1
Ciona,intestinalis,38.25,1.25,1300:381:1,0.09,1,0.89887671377145,1,0.1049645356966,1,1,1
Ciona,intestinalis,38.25,1.75,1300:381:2,0.05,0.56713780918728,0.89898496307839,1,0.093617014124567,1,1,1
Ciona,intestinalis,38.75,1.25,1300:381:3,0.09,1,0.9007508188551,1,0.10000000016909,1,1,1
Ciona,intestinalis,38.75,1.75,1300:381:4,0.05,1,0.8966074259972,1,0.056737589656461,1,1,1
Ciona,intestinalis,38.75,2.25,1300:382:3,0.04,0.7226148409894,0.89479918469531,1,0.060283674666962,1,1,1
Ciona,intestinalis,38.75,2.75,1300:382:4,0.06,1,0.89625005784378,1,0.06595743545298,1,1,1
Ciona,intestinalis,39.25,0.75,1300:390:2,0.12,0.62014134275618,0.93988242388291,1,0.1992907932834,1,1,1
Ciona,intestinalis,39.25,1.25,1300:391:1,0.11,1,0.92225066872723,1,0.12056736753765,1,1,1
Ciona,intestinalis,39.25,1.75,1300:391:2,0.09,1,0.90897901281552,1,0.094326239383073,1,1,1
Ciona,intestinalis,39.25,2.25,1300:392:1,0.07,1,0.89958417805192,1,0.073049646756011,1,1,1
Ciona,intestinalis,39.25,2.75,1300:392:2,0.06,1,0.90098248483828,1,0.06595743545298,1,1,1
Ciona,intestinalis,39.75,2.25,1300:392:3,0.09,1,0.91646525231322,1,0.10283685992109,1,1,1
Ciona,intestinalis,39.75,2.75,1300:392:4,0.09,1,0.92176074192155,1,0.09228946663545,1,1,1
Ciona,intestinalis,39.25,3.25,1300:393:1,0.04,1,0.90692767806042,1,0.046099293342931,1,1,1
Ciona,intestinalis,39.25,3.75,1300:393:2,0.05,1,0.91067318718937,1,0.049645378353431,1,1,1
Ciona,intestinalis,39.75,3.25,1300:393:3,0.04,1,0.92652703578176,1,0.043262392308906,1,1,1
Ciona,intestinalis,39.75,3.75,1300:393:4,0.06,1,0.92684305727093,1,0.067375885969992,1,1,1
Ciona,intestinalis,39.75,4.25,1300:394:3,0.10,1,0.93704259369627,1,0.11063829648262,1,1,1
Ciona,intestinalis,39.75,4.75,1300:394:4,0.12,1,0.93867443641546,1,0.13120566385118,1,1,1
Ciona,intestinalis,36.75,8.75,1300:468:4,0.15,0.36507936507937,0.85823896819469,1,0.47028270968837,1,1,1
Ciona,intestinalis,37.75,8.75,1300:478:4,0.02,1,0.91670107374004,1,0.02553190533336,1,1,1
Ciona,intestinalis,37.75,9.25,1300:479:3,0.04,1,0.92318792904124,1,0.043262392308906,1,1,1
Ciona,intestinalis,37.75,9.75,1300:479:4,0.04,1,0.92309276938179,1,0.043971617567412,1,1,1
Ciona,intestinalis,38.75,8.25,1300:488:3,0.01,1,0.96624435059125,1,0.012765953885326,1,1,1
Ciona,intestinalis,38.75,8.75,1300:488:4,0.08,1,0.97844307095397,1,0.086524802821536,1,1,1
Ciona,intestinalis,38.75,9.25,1300:489:3,0.03,1,0.97141206030752,1,0.035460997029399,1,1,1
Ciona,intestinalis,39.25,8.25,1300:498:1,0.08,1,0.98488421637508,1,0.076595731766511,1,1,1
Ciona,intestinalis,39.25,8.75,1300:498:2,0.14,1,0.97977302069239,1,0.14587956747529,1,1,1
Ciona,intestinalis,39.75,8.25,1300:498:3,0.11,1,0.99924231302764,1,0.11418438149312,1,1,1
