Mapping parameters for Clupea harengus (Atlantic herring)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  31 ,
Bounding Box (NSWE): ,80,33,-95,70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,200,364
Temperature (°C),1,0.6,5.09,12.17,24
Salinity (psu),1,2.9,6,35.13,40.47
Primary Production (mgC·m-3·day-1) ,1,0.38,1,16.13,52.15
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.03,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,223.54,339.72,413.87
Distance to Land (km),0,0,6,240,1258
 

Map data (HSPEC) for predicted occurrences (n = 5446): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Clupea,harengus,52.25,4.25,1500:124:1,0.16,1,1,1,0.15724593387717,1,1,1
Clupea,harengus,57.25,18.75,1501:478:2,0.14,1,1,1,0.14193550470255,1,1,1
Clupea,harengus,57.25,19.25,1501:479:1,0.04,1,1,1,0.037096794739726,1,1,1
Clupea,harengus,57.75,19.75,1501:479:4,0.16,1,1,1,0.15967743445729,1,1,1
Clupea,harengus,59.25,27.25,1502:497:1,0.16,1,1,0.18341305948073,1,0.87828098698096,1,1
Clupea,harengus,59.25,27.75,1502:497:2,0.15,1,1,0.17160587926065,1,0.86468550617045,1,1
Clupea,harengus,59.75,27.75,1502:497:4,0.16,1,1,0.19185484609296,1,0.857379995151,1,1
Clupea,harengus,59.25,28.25,1502:498:1,0.15,1,1,0.1773763779671,1,0.85301234288649,1,1
Clupea,harengus,59.75,28.25,1502:498:3,0.13,1,1,0.15560191677463,1,0.84488909678026,1,1
Clupea,harengus,59.75,28.75,1502:498:4,0.03,1,1,0.034467128015332,1,0.83198909380219,1,1
Clupea,harengus,61.75,2.75,1600:112:4,0.06,0.060975609756098,1,1,1,1,1,1
Clupea,harengus,61.25,3.75,1600:113:2,0.15,0.15243902439024,1,1,1,1,1,1
Clupea,harengus,61.75,3.25,1600:113:3,0.05,0.048780487804878,1,1,1,1,1,1
Clupea,harengus,62.25,1.75,1600:121:2,0.01,0.01219512195122,1,0.98121777366611,1,1,1,1
Clupea,harengus,63.25,4.75,1600:134:2,0.02,0.018292682926829,1,1,1,1,1,1
Clupea,harengus,64.25,5.75,1600:245:2,0.12,0.1219512195122,1,1,1,1,1,1
Clupea,harengus,66.25,7.75,1600:467:2,0.16,0.15853658536585,1,1,1,1,1,1
Clupea,harengus,66.75,7.25,1600:467:3,0.01,0.01219512195122,1,1,1,1,1,1
Clupea,harengus,67.75,9.25,1600:479:3,0.16,0.15853658536585,1,1,1,1,1,1
Clupea,harengus,64.75,22.25,1602:142:3,0.19,1,1,0.43063289888444,0.54677419887195,0.81232363852588,1,1
Clupea,harengus,64.75,22.75,1602:142:4,0.15,1,1,0.43936455634333,0.4354838738218,0.77637819051743,1,1
Clupea,harengus,64.75,23.25,1602:143:3,0.16,1,1,0.44569803053333,0.48548387901317,0.75788362784819,1,1
Clupea,harengus,64.75,23.75,1602:143:4,0.19,1,1,0.44274194778935,0.57258065922126,0.74157273552635,1,1
Clupea,harengus,60.25,27.25,1602:207:1,0.17,1,1,0.19180870056152,1,0.86184182275425,1,1
Clupea,harengus,60.25,27.75,1602:207:2,0.12,1,1,0.14904932821951,1,0.80281089977785,1,1
Clupea,harengus,60.75,27.25,1602:207:3,0.15,1,1,0.18594991007159,1,0.82034883499145,1,1
