Mapping parameters for Coelorinchus labiatus (Spearsnouted grenadier)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,61,12,-28,-4

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,460,695,1199,2220
Temperature (°C),1,1.59,2.09,10.36,16.45
Salinity (psu),1,34.2,34.7,35.7,36.2
Primary Production (mgC·m-3·day-1) ,1,0.29,1.39,14.79,21.38
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,185.52,208.54,265.94,299.87
Distance to Land (km),0,22,87,322,561.5
 

Map data (HSPEC) for predicted occurrences (n = 796): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Coelorinchus,labiatus,14.25,-18.25,7101:248:1,0.01
Coelorinchus,labiatus,14.75,-18.25,7101:248:3,0.07
Coelorinchus,labiatus,17.25,-22.25,7102:372:1,0.09
Coelorinchus,labiatus,28.75,-12.75,7201:382:4,0.01
Coelorinchus,labiatus,28.75,-14.25,7201:384:3,0.01
Coelorinchus,labiatus,29.75,-10.75,7201:390:4,0.19
Coelorinchus,labiatus,29.25,-12.25,7201:392:1,0.16
Coelorinchus,labiatus,29.75,-12.25,7201:392:3,0.16
Coelorinchus,labiatus,29.75,-12.75,7201:392:4,0.03
Coelorinchus,labiatus,29.25,-13.25,7201:393:1,0.13
Coelorinchus,labiatus,29.75,-13.25,7201:393:3,0.01
Coelorinchus,labiatus,25.75,-18.75,7201:458:4,0.01
Coelorinchus,labiatus,25.75,-19.25,7201:459:3,0.14
Coelorinchus,labiatus,26.25,-16.25,7201:466:1,0.16
Coelorinchus,labiatus,26.25,-18.75,7201:468:2,0.13
Coelorinchus,labiatus,27.75,-15.25,7201:475:3,0.10
Coelorinchus,labiatus,27.75,-16.25,7201:476:3,0.02
Coelorinchus,labiatus,27.75,-16.75,7201:476:4,0.04
Coelorinchus,labiatus,27.25,-17.75,7201:477:2,0.02
Coelorinchus,labiatus,27.75,-17.25,7201:477:3,0.03
Coelorinchus,labiatus,27.75,-17.75,7201:477:4,0.05
Coelorinchus,labiatus,27.75,-18.25,7201:478:3,0.06
Coelorinchus,labiatus,28.25,-15.25,7201:485:1,0.01
Coelorinchus,labiatus,28.25,-16.25,7201:486:1,0.04
Coelorinchus,labiatus,28.25,-16.75,7201:486:2,0.03
Coelorinchus,labiatus,28.25,-17.75,7201:487:2,0.04
Coelorinchus,labiatus,28.75,-18.25,7201:488:3,0.03
