Mapping parameters for Coryphaenoides carapinus (Carapine grenadier)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  47 |  51,
Bounding Box (NSWE): ,63,-38,-76,79

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,384,1163,2444,5610
Temperature (°C),1,0.82,2.09,4.35,19.82
Salinity (psu),1,34.39,34.89,35.44,35.96
Primary Production (mgC·m-3·day-1) ,1,0.11,1.39,13.97,21.66
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,118.41,190.89,270.25,302.11
Distance to Land (km),0,25,118,883,1310
 

Map data (HSPEC) for predicted occurrences (n = 23039): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Coryphaenoides,carapinus,62.75,-8.75,7600:228:4,0.16
Coryphaenoides,carapinus,62.75,-8.25,7600:228:3,0.15
Coryphaenoides,carapinus,62.25,-8.75,7600:228:2,0.13
Coryphaenoides,carapinus,62.25,-8.25,7600:228:1,0.02
Coryphaenoides,carapinus,62.75,-5.75,7600:225:4,0.11
Coryphaenoides,carapinus,60.75,-9.25,7600:209:3,0.15
Coryphaenoides,carapinus,60.75,-8.75,7600:208:4,0.18
Coryphaenoides,carapinus,60.75,-6.25,7600:206:3,0.07
Coryphaenoides,carapinus,62.25,-4.75,7600:124:2,0.03
Coryphaenoides,carapinus,62.25,-3.75,7600:123:2,0.11
Coryphaenoides,carapinus,61.25,-1.25,7600:111:1,0.15
Coryphaenoides,carapinus,61.75,-0.25,7600:110:3,0.06
Coryphaenoides,carapinus,60.25,-3.75,7600:103:2,0.11
Coryphaenoides,carapinus,60.75,-2.25,7600:102:3,0.06
