Mapping parameters for Coryphaenoides yaquinae ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  71 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3400,3731,4390,5800
Temperature (°C),1,0.53,1.03,1.29,2.45
Salinity (psu),1,34.17,34.67,34.69,35.19
Primary Production (mgC·m-3·day-1) ,1,-0.73,0.27,13.01,22.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,60.93,123,169.41,216.07
Distance to Land (km),0,24,99,1059,1800
 

Map data (HSPEC) for predicted occurrences (n = 47583): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Coryphaenoides,yaquinae,52.25,-175.75,7517:225:2,0.01
Coryphaenoides,yaquinae,51.25,-179.75,7517:219:2,0.15
Coryphaenoides,yaquinae,50.25,-179.25,7517:209:1,0.19
Coryphaenoides,yaquinae,54.75,-171.25,7517:141:3,0.13
Coryphaenoides,yaquinae,54.25,-171.25,7517:141:1,0.13
Coryphaenoides,yaquinae,53.75,-172.25,7517:132:3,0.11
Coryphaenoides,yaquinae,53.25,-172.75,7517:132:2,0.08
Coryphaenoides,yaquinae,52.75,-174.25,7517:124:3,0.10
Coryphaenoides,yaquinae,51.75,-173.75,7517:113:4,0.05
Coryphaenoides,yaquinae,52.25,-169.75,7516:229:2,0.01
Coryphaenoides,yaquinae,59.25,-145.25,7514:495:1,0.07
Coryphaenoides,yaquinae,57.25,-149.75,7514:479:2,0.10
Coryphaenoides,yaquinae,57.75,-148.75,7514:478:4,0.01
Coryphaenoides,yaquinae,59.25,-142.75,7514:392:2,0.06
Coryphaenoides,yaquinae,58.75,-142.25,7514:382:3,0.14
Coryphaenoides,yaquinae,58.75,-141.25,7514:381:3,0.12
Coryphaenoides,yaquinae,57.75,-140.25,7514:370:3,0.11
Coryphaenoides,yaquinae,57.25,-140.75,7514:370:2,0.14
Coryphaenoides,yaquinae,58.25,-139.75,7513:489:2,0.02
Coryphaenoides,yaquinae,57.75,-139.75,7513:479:4,0.11
Coryphaenoides,yaquinae,57.25,-139.75,7513:479:2,0.11
Coryphaenoides,yaquinae,57.25,-139.25,7513:479:1,0.08
Coryphaenoides,yaquinae,55.75,-139.25,7513:459:3,0.06
Coryphaenoides,yaquinae,55.25,-139.75,7513:459:2,0.05
Coryphaenoides,yaquinae,54.25,-138.75,7513:248:2,0.05
Coryphaenoides,yaquinae,53.75,-138.25,7513:238:3,0.02
Coryphaenoides,yaquinae,53.75,-137.75,7513:237:4,0.10
Coryphaenoides,yaquinae,53.25,-137.75,7513:237:2,0.07
Coryphaenoides,yaquinae,50.25,-133.25,7513:103:1,0.04
Coryphaenoides,yaquinae,47.25,-178.25,7417:478:1,0.19
Coryphaenoides,yaquinae,47.25,-177.25,7417:477:1,0.15
Coryphaenoides,yaquinae,47.75,-175.75,7417:475:4,0.17
Coryphaenoides,yaquinae,47.25,-175.75,7417:475:2,0.18
Coryphaenoides,yaquinae,46.25,-175.25,7417:465:1,0.18
Coryphaenoides,yaquinae,45.25,-179.25,7417:459:1,0.18
Coryphaenoides,yaquinae,45.25,-176.75,7417:456:2,0.17
Coryphaenoides,yaquinae,45.25,-176.25,7417:456:1,0.11
Coryphaenoides,yaquinae,45.75,-175.75,7417:455:4,0.14
Coryphaenoides,yaquinae,45.75,-175.25,7417:455:3,0.12
Coryphaenoides,yaquinae,45.25,-175.75,7417:455:2,0.07
Coryphaenoides,yaquinae,45.25,-175.25,7417:455:1,0.09
Coryphaenoides,yaquinae,47.75,-173.75,7417:373:4,0.19
