Mapping parameters for Crangon crangon (common shrimp)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,74,23,-16,44

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,4,9.85,15.61,27
Salinity (psu),1,4.47,10.94,35.17,39.8
Primary Production (mgC·m-3·day-1) ,1,0.5,2.53,24.68,96.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,1.36,247.2,336.01,393.34
Distance to Land (km),0,0,3,124,317
 

Map data (HSPEC) for predicted occurrences (n = 1826): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Crangon,crangon,36.75,1.25,1300:361:3,0.19,1,0.64760816003064,0.72968501509136,0.39999998940769,1,1,1
Crangon,crangon,36.75,1.75,1300:361:4,0.13,1,0.64712839235435,0.72341506990963,0.28078817656915,1,1,1
Crangon,crangon,36.75,2.25,1300:362:3,0.10,1,0.64815993472292,0.71851858052527,0.20886699146054,1,1,1
Crangon,crangon,38.75,0.25,1300:380:3,0.13,1,0.64316532714415,0.62786802617313,0.31428573919194,1,1,1
Crangon,crangon,38.75,1.25,1300:381:3,0.02,1,0.61711084434502,0.62603070977955,0.03990147794996,1,1,1
Crangon,crangon,39.25,0.25,1300:390:1,0.08,0.95833333333333,0.65743628042219,0.58456750461916,0.22118227014988,1,1,1
Crangon,crangon,39.75,0.75,1300:390:4,0.09,1,0.66443201321275,0.56020205273227,0.23349754883921,1,1,1
Crangon,crangon,39.25,1.25,1300:391:1,0.02,1,0.6344390815554,0.59776899366605,0.054187186319253,1,1,1
Crangon,crangon,39.25,1.75,1300:391:2,0.01,1,0.62374252305939,0.5963905944165,0.035960589916322,1,1,1
Crangon,crangon,39.25,2.75,1300:392:2,0.01,1,0.61729756021206,0.60714672245166,0.016256149748129,1,1,1
Crangon,crangon,39.75,2.25,1300:392:3,0.02,1,0.62977620862471,0.57607794940857,0.041871907629917,1,1,1
Crangon,crangon,39.75,2.75,1300:392:4,0.01,1,0.6340442151747,0.56821374089877,0.034545885692603,1,1,1
Crangon,crangon,39.75,3.75,1300:393:4,0.01,1,0.63814040963539,0.55780365451624,0.01724137892497,1,1,1
Crangon,crangon,39.75,4.25,1300:394:3,0.02,1,0.64636093153045,0.55754659500287,0.047290639428816,1,1,1
Crangon,crangon,36.75,7.75,1300:467:4,0.16,1,0.58576769740881,0.57710042010117,0.46414620807312,1,1,1
Crangon,crangon,36.75,8.25,1300:468:3,0.12,1,0.58313475249628,0.5644369434332,0.37286478218627,1,1,1
Crangon,crangon,36.75,8.75,1300:468:4,0.10,1,0.5828475617232,0.55579002166155,0.29709291658158,1,1,1
Crangon,crangon,37.25,6.75,1300:476:2,0.14,1,0.60852258429389,0.62500906299566,0.3591133226535,1,1,1
Crangon,crangon,37.25,7.75,1300:477:2,0.15,1,0.60197614179147,0.60069881299145,0.42019707283803,1,1,1
Crangon,crangon,37.25,8.25,1300:478:1,0.07,1,0.60421890915225,0.593586009213,0.19211823882287,1,1,1
Crangon,crangon,37.25,8.75,1300:478:2,0.07,1,0.60684080182512,0.59269701172929,0.18522166325871,1,1,1
Crangon,crangon,37.25,9.25,1300:479:1,0.11,1,0.61123440200766,0.58600110575138,0.30197043182888,1,1,1
