Mapping parameters for Crepidula fornicata (slipper limpet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  37 |  67 |  77,
Bounding Box (NSWE): ,48,25,97,25

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,7,35,70
Temperature (°C),1,7.06,8.43,25.03,29.23
Salinity (psu),1,18.94,27.16,36.13,38.59
Primary Production (mgC·m-3·day-1) ,1,0.55,2.72,33.11,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0.01,0.05
Dissolved Bottom Oxygen (mmol·m-3),0,10,205.6,311.56,358.77
Distance to Land (km),0,0,3,131,311
 

Map data (HSPEC) for predicted occurrences (n = 1134): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Crepidula,fornicata,36.75,2.25,1300:362:3,0.15
Crepidula,fornicata,38.75,0.25,1300:380:3,0.19
Crepidula,fornicata,38.75,1.25,1300:381:3,0.01
Crepidula,fornicata,39.25,0.25,1300:390:1,0.11
Crepidula,fornicata,39.75,0.75,1300:390:4,0.11
Crepidula,fornicata,39.25,1.25,1300:391:1,0.02
Crepidula,fornicata,39.25,1.75,1300:391:2,0.01
Crepidula,fornicata,39.75,2.25,1300:392:3,0.01
Crepidula,fornicata,39.75,2.75,1300:392:4,0.01
Crepidula,fornicata,39.75,4.25,1300:394:3,0.01
Crepidula,fornicata,36.75,8.25,1300:468:3,0.19
Crepidula,fornicata,36.75,8.75,1300:468:4,0.14
Crepidula,fornicata,37.25,8.25,1300:478:1,0.10
