Mapping parameters for Crossaster papposus (rose seastar)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 18 |  21 |  27 |  61 |  67,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,155,515,1200
Temperature (°C),1,-1.62,-0.23,11.25,23.44
Salinity (psu),1,5.21,29.09,34.69,37.38
Primary Production (mgC·m-3·day-1) ,1,0.4,2.2,18.48,67.01
Sea Ice Concentration (0-1 fraction),1,-0.87,0,0.46,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,4.37,181.79,343.17,408.48
Distance to Land (km),0,0,6,206,755
 

Map data (HSPEC) for predicted occurrences (n = 18479): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Crossaster,papposus,23.75,117.75,1211:237:4,0.04
Crossaster,papposus,23.75,118.25,1211:238:3,0.03
Crossaster,papposus,24.25,117.75,1211:247:2,0.01
Crossaster,papposus,24.25,118.25,1211:248:1,0.07
Crossaster,papposus,24.25,118.75,1211:248:2,0.03
Crossaster,papposus,24.75,118.25,1211:248:3,0.01
Crossaster,papposus,24.75,118.75,1211:248:4,0.03
Crossaster,papposus,24.75,119.25,1211:249:3,0.02
Crossaster,papposus,25.25,118.75,1211:458:2,0.01
Crossaster,papposus,25.25,119.25,1211:459:1,0.08
Crossaster,papposus,25.25,119.75,1211:459:2,0.08
Crossaster,papposus,25.75,119.25,1211:459:3,0.01
Crossaster,papposus,25.75,119.75,1211:459:4,0.04
Crossaster,papposus,26.25,119.75,1211:469:2,0.07
