Mapping parameters for Ctenolabrus rupestris (Goldsinny-wrasse)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,64,30,-11,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,1,20,50
Temperature (°C),1,6.53,9.88,16.83,23.06
Salinity (psu),1,6.8,27.57,36,39.25
Primary Production (mgC·m-3·day-1) ,1,0.49,2.64,19.44,43.98
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,0.53,242.05,295.31,408.48
Distance to Land (km),0,0,3,72,279
 

Map data (HSPEC) for predicted occurrences (n = 1299): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Ctenolabrus,rupestris,36.75,1.25,1300:361:3,0.18,1,0.55156612243162,0.87028972919169,0.38232557139424,1,1,1
Ctenolabrus,rupestris,36.75,1.75,1300:361:4,0.13,1,0.55068898698491,0.86135746882511,0.26976744113273,1,1,1
Ctenolabrus,rupestris,36.75,2.25,1300:362:3,0.10,1,0.55257490473421,0.85438185471754,0.20186046170461,1,1,1
Ctenolabrus,rupestris,38.75,0.25,1300:380:3,0.12,1,0.54344351142406,0.72523968036357,0.30139537235332,1,1,1
Ctenolabrus,rupestris,38.75,1.25,1300:381:3,0.02,1,0.4958093927913,0.72262221116286,0.042325581506241,1,1,1
Ctenolabrus,rupestris,39.25,0.25,1300:390:1,0.06,0.76666666666667,0.56953438748135,0.66355309119591,0.21348837600198,1,1,1
Ctenolabrus,rupestris,39.75,0.75,1300:390:4,0.08,1,0.58232433876295,0.62884169358474,0.22511629029935,1,1,1
Ctenolabrus,rupestris,39.25,1.25,1300:391:1,0.02,1,0.52748974942472,0.68236013559194,0.055813948013062,1,1,1
Ctenolabrus,rupestris,39.25,1.75,1300:391:2,0.01,1,0.50793376206204,0.68039644681489,0.038604650014015,1,1,1
Ctenolabrus,rupestris,39.25,2.75,1300:392:2,0.01,1,0.49615075615014,0.69571979229268,0.019999992552885,1,1,1
Ctenolabrus,rupestris,39.75,2.25,1300:392:3,0.01,1,0.51896485011804,0.65145874023437,0.044186033715689,1,1,1
Ctenolabrus,rupestris,39.75,2.75,1300:392:4,0.01,1,0.52676783480575,0.64025526780348,0.037268906026039,1,1,1
Ctenolabrus,rupestris,39.75,3.75,1300:393:4,0.01,1,0.53425670397225,0.62542489858775,0.020930232194274,1,1,1
Ctenolabrus,rupestris,39.75,4.25,1300:394:3,0.02,1,0.54928587642565,0.62505868765025,0.049302324669999,1,1,1
Ctenolabrus,rupestris,36.75,7.25,1300:467:3,0.16,1,0.44599759023798,0.67417555588941,0.54614959814867,1,1,1
Ctenolabrus,rupestris,36.75,7.75,1300:467:4,0.13,1,0.43850627182766,0.65291536771335,0.44289153599462,1,1,1
Ctenolabrus,rupestris,36.75,8.25,1300:468:3,0.10,1,0.43369258923477,0.63487478402945,0.35670488736657,1,1,1
Ctenolabrus,rupestris,36.75,8.75,1300:468:4,0.08,1,0.43316753258865,0.622556246244,0.28516214914447,1,1,1
Ctenolabrus,rupestris,37.25,6.75,1300:476:2,0.12,1,0.48010790290648,0.72116675743689,0.34372095115656,1,1,1
Ctenolabrus,rupestris,37.25,7.25,1300:477:1,0.19,1,0.47387396504753,0.70821439302883,0.5669767323968,1,1,1
Ctenolabrus,rupestris,37.25,7.75,1300:477:2,0.13,1,0.46813936677446,0.68653400127705,0.4013953757494,1,1,1
Ctenolabrus,rupestris,37.25,8.25,1300:478:1,0.06,1,0.47223970710178,0.67640099158652,0.18604652316764,1,1,1
