Mapping parameters for Cyanea capillata (lion's mane)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  27 ,
Bounding Box (NSWE): ,81,47,-34,69

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,43,85
Temperature (°C),1,-0.57,6.65,11.82,13.93
Salinity (psu),1,3,28.11,35.02,38.07
Primary Production (mgC·m-3·day-1) ,1,1.48,5.28,19.57,40.75
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,239.34,268.43,308.27,408.48
Distance to Land (km),0,0,2,132,457
 

Map data (HSPEC) for predicted occurrences (n = 1940): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Cyanea,capillata,51.25,0.25,1500:110:1,0.10,0.125,0.79274050093374,1,1,1,1,1
Cyanea,capillata,51.75,3.75,1500:113:4,0.16,1,0.85181497510573,1,0.19079322827324,1,1,1
Cyanea,capillata,51.75,4.75,1500:114:4,0.01,0.875,0.8326470253027,1,0.014941937468659,1,1,1
Cyanea,capillata,54.25,3.75,1500:143:2,0.11,1,1,1,0.10552631678354,1,1,1
Cyanea,capillata,54.75,3.75,1500:143:4,0.19,1,1,1,0.18578950376495,1,1,1
Cyanea,capillata,54.25,4.25,1500:144:1,0.08,1,1,1,0.075789462696566,1,1,1
Cyanea,capillata,54.25,4.75,1500:144:2,0.16,1,1,1,0.15631577894092,1,1,1
Cyanea,capillata,54.75,4.25,1500:144:3,0.10,1,1,1,0.095000012748337,1,1,1
Cyanea,capillata,54.75,4.75,1500:144:4,0.09,1,1,1,0.093157893458479,1,1,1
Cyanea,capillata,52.25,5.75,1500:225:2,0.11,0.625,0.89944174165408,1,0.1893539435465,0.99999981323442,1,1
Cyanea,capillata,52.75,6.25,1500:226:3,0.05,0.125,1,1,0.40806313383906,0.99999971120267,1,1
Cyanea,capillata,53.25,8.75,1500:238:2,0.02,0.125,1,1,0.13927464444644,0.99996864905903,1,1
Cyanea,capillata,53.75,9.75,1500:239:4,0.03,0.125,1,0.85558357679336,0.28717728776679,0.99956303438702,1,1
Cyanea,capillata,54.75,5.25,1500:245:3,0.10,1,1,1,0.10210526873799,1,1,1
Cyanea,capillata,54.25,8.75,1500:248:2,0.07,1,1,1,0.070774330070718,0.99999827586207,1,1
Cyanea,capillata,54.25,9.75,1500:249:2,0.07,0.125,1,0.5953445799177,1,0.99796501922839,1,1
Cyanea,capillata,54.75,9.25,1500:249:3,0.18,0.25,1,0.7034900320426,1,0.99802898804272,1,1
Cyanea,capillata,56.75,0.75,1500:360:4,0.05,0.047619047619048,1,0.99516456478931,1,1,1,1
Cyanea,capillata,56.25,1.25,1500:361:1,0.19,0.23809523809524,1,1,0.8139474024506,1,1,1
Cyanea,capillata,56.25,1.75,1500:361:2,0.13,0.19047619047619,1,1,0.70815785848781,1,1,1
Cyanea,capillata,56.75,1.25,1500:361:3,0.07,0.071428571428571,1,0.99257432280993,0.95421058676745,1,1,1
Cyanea,capillata,56.75,1.75,1500:361:4,0.04,0.047619047619048,1,0.99384880691279,0.8276315946328,1,1,1
Cyanea,capillata,56.25,2.25,1500:362:1,0.17,0.26190476190476,1,1,0.65657900854161,1,1,1
Cyanea,capillata,57.25,0.25,1500:370:1,0.19,0.19047619047619,1,0.99044309522285,1,1,1,1
Cyanea,capillata,57.25,0.75,1500:370:2,0.02,0.023809523809524,1,0.98619940085489,1,1,1,1
Cyanea,capillata,57.75,0.75,1500:370:4,0.02,0.023809523809524,1,0.96765997214397,1,1,1,1
Cyanea,capillata,57.25,1.25,1500:371:1,0.07,0.071428571428571,1,0.98633197721889,1,1,1,1
Cyanea,capillata,57.25,1.75,1500:371:2,0.02,0.023809523809524,1,0.99152746982262,1,1,1,1
Cyanea,capillata,57.75,1.25,1500:371:3,0.02,0.023809523809524,1,0.97562706118725,1,1,1,1
Cyanea,capillata,57.75,1.75,1500:371:4,0.09,0.095238095238095,1,0.98967390216764,1,1,1,1
Cyanea,capillata,58.75,2.25,1500:382:3,0.02,0.023809523809524,1,0.99945578653305,1,1,1,1
