Mapping parameters for Cyclopterus lumpus (Lumpfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 | 18 ,
Bounding Box (NSWE): ,80,32,-95,49

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,50,150,868
Temperature (°C),1,-0.06,1,11.4,23.47
Salinity (psu),1,5.7,6.4,35.05,39.99
Primary Production (mgC·m-3·day-1) ,1,0.4,3.23,15,46.49
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.04,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,212.37,331.6,408.48
Distance to Land (km),0,0,8,277,678
 

Map data (HSPEC) for predicted occurrences (n = 5936): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Cyclopterus,lumpus,51.25,0.25,1500:110:1,0.02,0.02,0.92897120604558,1,0.90516336485105,1,1,1
Cyclopterus,lumpus,51.75,4.25,1500:114:3,0.10,0.66,0.94556861567714,1,0.15223877916036,1,1,1
Cyclopterus,lumpus,51.75,4.75,1500:114:4,0.03,0.14,0.93594740873146,1,0.19232995349591,1,1,1
Cyclopterus,lumpus,52.25,4.75,1500:124:2,0.10,0.6,0.95269367688929,1,0.18221488533493,1,1,1
Cyclopterus,lumpus,52.25,5.25,1500:225:1,0.13,0.82,0.95681991829987,1,0.16198794313293,1,1,1
Cyclopterus,lumpus,52.25,5.75,1500:225:2,0.03,0.1,0.94762403271666,1,0.30963850505922,1,1,1
Cyclopterus,lumpus,52.75,6.25,1500:226:3,0.01,0.02,0.9681387761455,1,0.45674109795844,1,1,1
Cyclopterus,lumpus,53.25,8.75,1500:238:2,0.01,0.02,0.97610405050434,1,0.27595544520088,1,1,1
Cyclopterus,lumpus,53.75,9.25,1500:239:3,0.02,0.3,1,1,0.050682799215732,1,1,1
Cyclopterus,lumpus,53.75,9.75,1500:239:4,0.01,0.02,1,1,0.37543394585267,1,1,1
Cyclopterus,lumpus,54.25,9.25,1500:249:1,0.12,0.24,1,1,0.50831939243596,1,1,1
Cyclopterus,lumpus,54.25,9.75,1500:249:2,0.02,0.02,1,1,0.85951028123058,1,1,1
Cyclopterus,lumpus,54.75,9.25,1500:249:3,0.04,0.04,1,1,0.91659032906681,1,1,1
Cyclopterus,lumpus,58.75,6.25,1500:486:3,0.02,0.02,1,1,0.9966381106463,1,1,1
Cyclopterus,lumpus,59.25,6.75,1500:496:2,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,59.75,6.25,1500:496:3,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,59.75,6.75,1500:496:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,59.25,9.75,1500:499:2,0.04,0.04,1,1,0.99296377839153,1,1,1
Cyclopterus,lumpus,53.75,10.75,1501:130:4,0.02,0.02,1,1,0.83957932747974,1,1,1
Cyclopterus,lumpus,53.75,11.25,1501:131:3,0.06,0.06,1,1,0.97203759009136,1,1,1
Cyclopterus,lumpus,53.75,11.75,1501:131:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,54.75,14.75,1501:144:4,0.12,1,1,1,0.11660778404677,1,1,1
Cyclopterus,lumpus,54.75,15.25,1501:245:3,0.07,1,1,1,0.068197871094352,1,1,1
Cyclopterus,lumpus,54.75,15.75,1501:245:4,0.10,1,1,1,0.10035336672496,1,1,1
Cyclopterus,lumpus,55.25,13.25,1501:353:1,0.12,0.82,1,1,0.14558304344755,1,1,1
Cyclopterus,lumpus,55.25,13.75,1501:353:2,0.08,1,1,1,0.080565374160297,1,1,1
Cyclopterus,lumpus,55.25,14.25,1501:354:1,0.13,1,1,1,0.1250883317207,1,1,1
Cyclopterus,lumpus,55.25,14.75,1501:354:2,0.08,1,1,1,0.077385158498538,1,1,1
Cyclopterus,lumpus,56.25,14.25,1501:364:1,0.04,0.04,1,1,1,1,1,1
Cyclopterus,lumpus,58.25,11.75,1501:381:2,0.12,0.12,1,1,1,1,1,1
Cyclopterus,lumpus,55.25,15.25,1501:455:1,0.04,1,1,1,0.03604239603182,1,1,1
Cyclopterus,lumpus,55.25,15.75,1501:455:2,0.04,1,1,1,0.043816245111634,1,1,1
Cyclopterus,lumpus,55.75,15.25,1501:455:3,0.17,1,1,1,0.17067136802437,1,1,1
Cyclopterus,lumpus,55.75,15.75,1501:455:4,0.13,1,1,1,0.13109540346312,1,1,1
Cyclopterus,lumpus,55.25,16.25,1501:456:1,0.11,1,1,1,0.11484098614131,1,1,1
Cyclopterus,lumpus,55.25,16.75,1501:456:2,0.18,1,1,1,0.17879857668528,1,1,1
Cyclopterus,lumpus,55.75,16.25,1501:456:3,0.09,1,1,1,0.093286216239257,1,1,1
Cyclopterus,lumpus,55.75,16.75,1501:456:4,0.12,1,1,1,0.12190813662701,1,1,1
Cyclopterus,lumpus,55.75,17.25,1501:457:3,0.14,0.96,1,1,0.14240282778579,1,1,1
Cyclopterus,lumpus,55.75,17.75,1501:457:4,0.10,1,1,1,0.10353356181864,1,1,1
Cyclopterus,lumpus,55.75,18.25,1501:458:3,0.14,1,1,1,0.13922261212403,1,1,1
Cyclopterus,lumpus,56.25,16.75,1501:466:2,0.09,1,1,1,0.093286216239257,1,1,1
Cyclopterus,lumpus,56.25,17.25,1501:467:1,0.12,1,1,1,0.11802120180307,1,1,1
Cyclopterus,lumpus,56.25,17.75,1501:467:2,0.10,1,1,1,0.096466431901017,1,1,1
Cyclopterus,lumpus,56.75,17.25,1501:467:3,0.10,1,1,1,0.095052993576644,1,1,1
Cyclopterus,lumpus,56.75,17.75,1501:467:4,0.11,1,1,1,0.10777385622368,1,1,1
Cyclopterus,lumpus,56.25,18.25,1501:468:1,0.09,1,1,1,0.087985863659018,1,1,1
Cyclopterus,lumpus,56.25,18.75,1501:468:2,0.08,1,1,1,0.082332151497684,1,1,1
Cyclopterus,lumpus,56.75,18.25,1501:468:3,0.11,1,1,1,0.11378092796611,1,1,1
Cyclopterus,lumpus,56.75,18.75,1501:468:4,0.04,1,1,1,0.040282690436859,1,1,1
Cyclopterus,lumpus,56.25,19.25,1501:469:1,0.16,1,1,1,0.15724380678323,1,1,1
Cyclopterus,lumpus,56.75,19.25,1501:469:3,0.04,1,1,1,0.036395755612913,1,1,1
Cyclopterus,lumpus,56.75,19.75,1501:469:4,0.10,1,1,1,0.10282686322454,1,1,1
Cyclopterus,lumpus,57.25,16.25,1501:476:1,0.04,0.04,1,1,0.97644466643514,1,1,1
Cyclopterus,lumpus,57.25,17.25,1501:477:1,0.19,1,1,1,0.1936395762508,1,1,1
Cyclopterus,lumpus,57.25,17.75,1501:477:2,0.13,1,1,1,0.13462897870597,1,1,1
Cyclopterus,lumpus,57.75,17.75,1501:477:4,0.12,1,1,1,0.1151943457224,1,1,1
Cyclopterus,lumpus,57.25,18.25,1501:478:1,0.09,1,1,1,0.092563639088886,1,1,1
Cyclopterus,lumpus,57.25,18.75,1501:478:2,0.02,1,1,1,0.024028273115046,1,1,1
Cyclopterus,lumpus,57.75,18.25,1501:478:3,0.10,1,1,1,0.097879849657311,1,1,1
Cyclopterus,lumpus,57.75,18.75,1501:478:4,0.07,1,1,1,0.066592902827074,1,1,1
Cyclopterus,lumpus,57.25,19.75,1501:479:2,0.04,1,1,1,0.038162553518379,1,1,1
Cyclopterus,lumpus,57.75,19.25,1501:479:3,0.05,1,1,1,0.0466431011923,1,1,1
Cyclopterus,lumpus,57.75,19.75,1501:479:4,0.03,1,1,1,0.027915197654953,1,1,1
Cyclopterus,lumpus,58.75,16.25,1501:486:3,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,58.75,16.75,1501:486:4,0.18,0.18,1,1,1,1,1,1
Cyclopterus,lumpus,58.25,17.75,1501:487:2,0.15,1,1,1,0.14734982078493,1,1,1
Cyclopterus,lumpus,58.25,18.25,1501:488:1,0.11,1,1,1,0.11060071230435,1,1,1
Cyclopterus,lumpus,58.25,18.75,1501:488:2,0.10,1,1,1,0.097526510644296,1,1,1
Cyclopterus,lumpus,58.75,18.75,1501:488:4,0.18,1,1,0.95683888026646,0.19081272017013,1,1,1
Cyclopterus,lumpus,58.25,19.25,1501:489:1,0.08,1,1,1,0.08409894940315,1,1,1
Cyclopterus,lumpus,58.25,19.75,1501:489:2,0.06,1,1,1,0.061130741176725,1,1,1
Cyclopterus,lumpus,58.75,19.25,1501:489:3,0.13,1,1,0.9808612551008,0.13180212262531,1,1,1
Cyclopterus,lumpus,58.75,19.75,1501:489:4,0.14,1,1,1,0.13886925254294,1,1,1
Cyclopterus,lumpus,59.25,17.75,1501:497:2,0.02,0.04,1,0.48517540522984,0.92326038836275,1,1,1
Cyclopterus,lumpus,59.25,18.25,1501:498:1,0.08,0.3,1,0.66003431592669,0.39469965585498,1,1,1
Cyclopterus,lumpus,59.75,18.75,1501:498:4,0.01,0.18,1,0.11946105957031,0.40153965248657,1,1,1
Cyclopterus,lumpus,59.25,19.25,1501:499:1,0.15,1,1,0.68307713099888,0.21908126040872,1,1,1
Cyclopterus,lumpus,59.25,19.75,1501:499:2,0.15,1,1,0.75636155264719,0.2021201444928,1,1,1
Cyclopterus,lumpus,59.75,19.25,1501:499:3,0.04,1,1,0.17311000823974,0.22402825340787,1,1,1
Cyclopterus,lumpus,59.75,19.75,1501:499:4,0.05,1,1,0.29433972494943,0.16148410118827,1,1,1
Cyclopterus,lumpus,57.25,20.25,1502:370:1,0.10,1,1,1,0.098233209238404,1,1,1
Cyclopterus,lumpus,57.75,20.25,1502:370:3,0.06,1,1,1,0.057597165933873,1,1,1
Cyclopterus,lumpus,57.75,20.75,1502:370:4,0.10,1,1,1,0.10282686322454,1,1,1
Cyclopterus,lumpus,57.25,21.75,1502:371:2,0.18,0.38,1,0.48169721875871,1,1,1,1
Cyclopterus,lumpus,58.25,20.25,1502:380:1,0.06,1,1,1,0.064310956838485,1,1,1
Cyclopterus,lumpus,58.25,20.75,1502:380:2,0.10,1,1,1,0.09681979148211,1,1,1
Cyclopterus,lumpus,58.75,20.25,1502:380:3,0.17,1,1,1,0.16537101544413,1,1,1
Cyclopterus,lumpus,58.75,20.75,1502:380:4,0.18,1,1,1,0.17950529584747,1,1,1
Cyclopterus,lumpus,58.75,23.25,1502:383:3,0.04,0.7,1,0.051092829023086,1,1,1,1
Cyclopterus,lumpus,59.75,20.25,1502:390:3,0.13,1,1,0.4239570072719,0.31166077134045,1,1,1
Cyclopterus,lumpus,59.75,21.75,1502:391:4,0.03,1,1,0.027560234069828,1,1,1,1
Cyclopterus,lumpus,59.25,23.75,1502:393:2,0.02,1,1,0.024098396301271,1,1,1,1
Cyclopterus,lumpus,62.75,0.75,1600:120:4,0.18,0.18802228412256,1,0.96648255630061,1,1,1,1
Cyclopterus,lumpus,63.25,2.75,1600:132:2,0.09,0.090529247910864,1,0.99901481968188,1,1,1,1
Cyclopterus,lumpus,63.25,3.25,1600:133:1,0.14,0.13649025069638,1,1,1,1,1,1
Cyclopterus,lumpus,63.25,3.75,1600:133:2,0.03,0.02924791086351,1,1,1,1,1,1
Cyclopterus,lumpus,63.25,4.25,1600:134:1,0.05,0.045961002785515,1,1,1,1,1,1
Cyclopterus,lumpus,64.75,4.75,1600:144:4,0.18,0.17827298050139,1,1,1,1,1,1
Cyclopterus,lumpus,60.75,5.75,1600:205:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,60.75,6.75,1600:206:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,60.75,7.25,1600:207:3,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,61.75,5.75,1600:215:4,0.06,0.06,1,1,1,1,1,1
Cyclopterus,lumpus,61.75,6.75,1600:216:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,61.25,7.75,1600:217:2,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,62.75,8.75,1600:228:4,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,64.25,5.25,1600:245:1,0.11,0.1142061281337,1,1,1,1,1,1
Cyclopterus,lumpus,65.25,4.75,1600:354:2,0.18,0.17966573816156,1,1,1,1,1,1
Cyclopterus,lumpus,65.75,4.75,1600:354:4,0.13,0.13231197771588,1,0.99787813256144,1,1,1,1
Cyclopterus,lumpus,66.75,5.75,1600:465:4,0.05,0.052924791086351,1,0.98325641338642,1,1,1,1
Cyclopterus,lumpus,67.25,7.75,1600:477:2,0.12,0.12256267409471,1,0.98441703889051,1,1,1,1
Cyclopterus,lumpus,62.75,17.25,1601:227:3,0.04,0.04,1,1,1,1,1,1
Cyclopterus,lumpus,63.25,17.75,1601:237:2,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,63.25,18.25,1601:238:1,0.04,0.04,1,1,1,1,1,1
Cyclopterus,lumpus,63.75,19.25,1601:239:3,0.03,0.04,1,0.79737772260393,1,0.98318001931464,1,1
Cyclopterus,lumpus,65.25,12.75,1601:352:2,0.02,0.02,1,1,1,1,1,1
Cyclopterus,lumpus,66.75,13.75,1601:363:4,0.16,0.16,1,1,1,1,1,1
Cyclopterus,lumpus,67.75,15.75,1601:475:4,0.16,0.16,1,1,1,1,1,1
Cyclopterus,lumpus,65.75,25.25,1602:455:3,0.08,0.12,1,0.90851620265416,1,0.72088815878939,1,1
Cyclopterus,lumpus,64.25,35.25,1603:245:1,0.15,0.18,1,1,0.87208478879381,0.92812222242355,1,1
Cyclopterus,lumpus,64.25,35.75,1603:245:2,0.12,0.22,1,1,0.58515903029867,0.9106574130279,1,1
Cyclopterus,lumpus,64.75,35.75,1603:245:4,0.16,0.32,1,1,0.60918731726838,0.82443889423653,1,1
Cyclopterus,lumpus,65.25,34.25,1603:354:1,0.13,0.14,1,1,1,0.94089607728852,1,1
Cyclopterus,lumpus,67.25,31.75,1603:371:2,0.04,0.04,1,1,1,0.95400010325291,1,1
Cyclopterus,lumpus,69.25,32.75,1603:392:2,0.10,0.1,1,1,1,1,1,1
Cyclopterus,lumpus,64.75,40.25,1604:140:3,0.01,0.46,1,1,0.03455060052281,0.86395369690877,1,1
Cyclopterus,lumpus,66.25,42.25,1604:362:1,0.18,0.22,1,1,1,0.82884483646464,1,1
Cyclopterus,lumpus,67.25,43.75,1604:373:2,0.17,0.4,1,1,0.6031802043898,0.68409258347971,1,1
Cyclopterus,lumpus,67.25,44.25,1604:374:1,0.15,0.28,1,1,0.70341042331798,0.73868337383977,1,1
Cyclopterus,lumpus,67.25,44.75,1604:374:2,0.03,0.06,1,1,0.71867827220751,0.77887820755994,1,1
Cyclopterus,lumpus,67.75,44.25,1604:374:3,0.15,0.24,1,1,0.7798511095266,0.78282781552385,1,1
Cyclopterus,lumpus,68.25,44.25,1604:384:1,0.17,0.22,1,1,0.90764164806149,0.84098809626367,1,1
Cyclopterus,lumpus,66.75,45.75,1604:465:4,0.16,0.2,1,1,0.98309136426912,0.81095811724663,1,1
Cyclopterus,lumpus,66.75,46.25,1604:466:3,0.12,0.24,1,1,0.58409895155539,0.82175185614162,1,1
Cyclopterus,lumpus,66.75,46.75,1604:466:4,0.12,0.22,1,1,0.72382382943226,0.75772341533944,1,1
Cyclopterus,lumpus,66.75,47.25,1604:467:3,0.12,0.18,1,1,0.93140279683334,0.7389723735827,1,1
Cyclopterus,lumpus,66.75,47.75,1604:467:4,0.10,0.14,1,1,1,0.73751699924469,1,1
Cyclopterus,lumpus,67.25,45.25,1604:475:1,0.13,0.24,1,1,0.68763248609254,0.8115296319679,1,1
Cyclopterus,lumpus,67.25,45.75,1604:475:2,0.12,0.3,1,1,0.52579507317276,0.7818351774304,1,1
