Mapping parameters for Cynoglossus arel (Largescale tonguesole)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71 |  77,
Bounding Box (NSWE): ,32,-5,47,134

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,9,21,66,125
Temperature (°C),1,22.16,25.16,29.24,33.44
Salinity (psu),1,17.06,25.97,36.08,38.65
Primary Production (mgC·m-3·day-1) ,1,1.04,3.87,44.07,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,15.61,132.29,214.5,290.81
Distance to Land (km),0,3,11,126,280
 

Map data (HSPEC) for predicted occurrences (n = 2557): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoglossus,arel,-2.75,130.75,3013:120:4,0.10
Cynoglossus,arel,-1.75,132.25,3013:112:3,0.17
Cynoglossus,arel,-1.25,124.25,3012:114:1,0.04
Cynoglossus,arel,-0.25,121.25,3012:101:1,0.18
Cynoglossus,arel,31.25,131.75,1313:111:2,0.05
Cynoglossus,arel,31.75,130.75,1313:110:4,0.08
Cynoglossus,arel,31.75,130.25,1313:110:3,0.01
Cynoglossus,arel,31.75,129.75,1312:219:4,0.04
Cynoglossus,arel,31.75,128.25,1312:218:3,0.16
Cynoglossus,arel,31.75,127.75,1312:217:4,0.02
Cynoglossus,arel,31.25,127.75,1312:217:2,0.08
Cynoglossus,arel,30.75,127.25,1312:207:3,0.10
Cynoglossus,arel,30.25,127.75,1312:207:2,0.09
Cynoglossus,arel,30.25,127.25,1312:207:1,0.19
Cynoglossus,arel,29.25,127.25,1212:497:1,0.12
Cynoglossus,arel,29.25,125.75,1212:495:2,0.03
Cynoglossus,arel,28.25,126.75,1212:486:2,0.08
Cynoglossus,arel,28.75,125.25,1212:485:3,0.05
Cynoglossus,arel,26.25,125.25,1212:465:1,0.17
Cynoglossus,arel,28.25,124.75,1212:384:2,0.12
Cynoglossus,arel,28.25,124.25,1212:384:1,0.09
Cynoglossus,arel,28.25,123.75,1212:383:2,0.06
Cynoglossus,arel,28.25,123.25,1212:383:1,0.08
Cynoglossus,arel,28.25,122.75,1212:382:2,0.03
Cynoglossus,arel,27.75,122.25,1212:372:3,0.12
Cynoglossus,arel,27.25,121.75,1212:371:2,0.09
Cynoglossus,arel,26.75,121.25,1212:361:3,0.13
Cynoglossus,arel,26.25,120.75,1212:360:2,0.15
Cynoglossus,arel,24.75,118.25,1211:248:3,0.03
Cynoglossus,arel,24.25,118.25,1211:248:1,0.07
Cynoglossus,arel,24.25,117.75,1211:247:2,0.17
Cynoglossus,arel,23.75,117.75,1211:237:4,0.19
Cynoglossus,arel,21.75,117.75,1211:217:4,0.05
Cynoglossus,arel,20.75,115.25,1211:205:3,0.17
Cynoglossus,arel,20.25,115.25,1211:205:1,0.03
Cynoglossus,arel,21.75,111.25,1211:111:3,0.07
Cynoglossus,arel,22.25,89.75,1208:229:2,0.08
Cynoglossus,arel,22.25,88.25,1208:228:1,0.06
Cynoglossus,arel,20.25,69.25,1206:209:1,0.10
Cynoglossus,arel,25.25,55.25,1205:455:1,0.05
Cynoglossus,arel,29.25,50.75,1205:390:2,0.17
Cynoglossus,arel,28.75,51.25,1205:381:3,0.12
Cynoglossus,arel,27.75,52.25,1205:372:3,0.10
Cynoglossus,arel,27.25,52.75,1205:372:2,0.14
Cynoglossus,arel,27.25,52.25,1205:372:1,0.10
Cynoglossus,arel,27.25,51.75,1205:371:2,0.06
Cynoglossus,arel,27.25,51.25,1205:371:1,0.03
Cynoglossus,arel,27.25,50.75,1205:370:2,0.07
Cynoglossus,arel,27.25,50.25,1205:370:1,0.13
Cynoglossus,arel,26.25,53.75,1205:363:2,0.15
Cynoglossus,arel,26.25,53.25,1205:363:1,0.11
Cynoglossus,arel,26.75,52.75,1205:362:4,0.16
Cynoglossus,arel,26.75,52.25,1205:362:3,0.11
Cynoglossus,arel,26.25,52.75,1205:362:2,0.09
Cynoglossus,arel,26.25,52.25,1205:362:1,0.07
