Mapping parameters for Cynoglossus lida (Roughscale tonguesole)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,15,-35,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,5,17,30
Temperature (°C),1,22.92,25.46,29.17,33.37
Salinity (psu),1,25.63,29.56,34.93,39.61
Primary Production (mgC·m-3·day-1) ,1,1.99,4.25,25.66,55.96
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,68.88,98.13,209.47,263.15
Distance to Land (km),0,1,2,85,407
 

Map data (HSPEC) for predicted occurrences (n = 3052): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoglossus,lida,-30.75,153.25,3315:103:3,0.01
Cynoglossus,lida,-30.75,30.25,3303:100:3,0.15
Cynoglossus,lida,-30.25,30.75,3303:100:2,0.19
Cynoglossus,lida,-20.25,164.25,3216:104:1,0.10
Cynoglossus,lida,-29.25,153.75,3215:393:2,0.19
Cynoglossus,lida,-28.25,153.25,3215:383:1,0.01
Cynoglossus,lida,-27.75,153.25,3215:373:3,0.04
Cynoglossus,lida,-27.25,153.25,3215:373:1,0.05
Cynoglossus,lida,-26.75,153.25,3215:363:3,0.14
Cynoglossus,lida,-25.75,153.75,3215:353:4,0.13
Cynoglossus,lida,-25.25,152.75,3215:352:2,0.09
Cynoglossus,lida,-24.25,159.75,3215:249:2,0.01
Cynoglossus,lida,-24.25,159.25,3215:249:1,0.03
Cynoglossus,lida,-23.75,159.75,3215:239:4,0.02
Cynoglossus,lida,-23.75,159.25,3215:239:3,0.03
Cynoglossus,lida,-22.25,159.25,3215:229:1,0.04
Cynoglossus,lida,-21.75,159.75,3215:219:4,0.03
Cynoglossus,lida,-21.75,159.25,3215:219:3,0.12
Cynoglossus,lida,-21.25,159.25,3215:219:1,0.14
Cynoglossus,lida,-21.25,158.75,3215:218:2,0.09
Cynoglossus,lida,-21.25,155.75,3215:215:2,0.11
Cynoglossus,lida,-20.75,158.75,3215:208:4,0.01
Cynoglossus,lida,-24.75,152.75,3215:142:4,0.15
Cynoglossus,lida,-24.75,152.25,3215:142:3,0.15
Cynoglossus,lida,-24.25,151.75,3215:141:2,0.19
Cynoglossus,lida,-21.25,153.25,3215:113:1,0.15
Cynoglossus,lida,-20.75,152.75,3215:102:4,0.09
Cynoglossus,lida,-20.25,151.25,3215:101:1,0.19
Cynoglossus,lida,-26.25,113.25,3211:363:1,0.03
Cynoglossus,lida,-25.25,113.25,3211:353:1,0.01
Cynoglossus,lida,-25.75,112.75,3211:352:4,0.06
Cynoglossus,lida,-25.25,112.75,3211:352:2,0.09
Cynoglossus,lida,-24.75,113.75,3211:143:4,0.10
Cynoglossus,lida,-24.75,113.25,3211:143:3,0.14
Cynoglossus,lida,-24.25,113.25,3211:143:1,0.16
Cynoglossus,lida,-24.75,112.75,3211:142:4,0.12
Cynoglossus,lida,-29.75,31.25,3203:391:3,0.15
Cynoglossus,lida,-29.25,31.75,3203:391:2,0.18
Cynoglossus,lida,-29.75,30.75,3203:390:4,0.16
Cynoglossus,lida,-18.75,178.25,3117:488:3,0.13
Cynoglossus,lida,-18.25,178.75,3117:488:2,0.03
Cynoglossus,lida,-18.25,178.25,3117:488:1,0.15
Cynoglossus,lida,-18.75,177.75,3117:487:4,0.18
Cynoglossus,lida,-17.25,179.25,3117:479:1,0.01
Cynoglossus,lida,-17.75,178.75,3117:478:4,0.15
Cynoglossus,lida,-17.75,178.25,3117:478:3,0.17
Cynoglossus,lida,-17.25,178.75,3117:478:2,0.09
Cynoglossus,lida,-17.25,178.25,3117:478:1,0.11
Cynoglossus,lida,-16.75,178.25,3117:468:3,0.09
Cynoglossus,lida,-11.25,166.25,3116:216:1,0.14
Cynoglossus,lida,-12.75,160.75,3116:120:4,0.14
Cynoglossus,lida,-19.75,150.75,3115:390:4,0.11
Cynoglossus,lida,-18.75,148.75,3114:488:4,0.15
Cynoglossus,lida,-13.75,144.75,3114:134:4,0.15
Cynoglossus,lida,-13.75,140.75,3114:130:4,0.08
Cynoglossus,lida,-11.25,140.75,3114:110:2,0.08
Cynoglossus,lida,-15.25,137.75,3113:457:2,0.08
Cynoglossus,lida,-14.75,137.25,3113:247:3,0.08
Cynoglossus,lida,-14.25,137.75,3113:247:2,0.15
Cynoglossus,lida,-12.25,138.25,3113:228:1,0.15
Cynoglossus,lida,-11.75,138.25,3113:218:3,0.15
Cynoglossus,lida,-10.75,137.25,3113:207:3,0.08
Cynoglossus,lida,-10.25,133.25,3113:103:1,0.04
Cynoglossus,lida,-11.75,129.75,3112:219:4,0.15
Cynoglossus,lida,-11.25,129.75,3112:219:2,0.15
Cynoglossus,lida,-11.25,128.75,3112:218:2,0.15
Cynoglossus,lida,-11.75,126.75,3112:216:4,0.02
Cynoglossus,lida,-11.25,126.75,3112:216:2,0.11
Cynoglossus,lida,-11.25,126.25,3112:216:1,0.07
Cynoglossus,lida,-10.75,127.75,3112:207:4,0.02
Cynoglossus,lida,-10.75,127.25,3112:207:3,0.16
Cynoglossus,lida,-14.25,121.75,3112:141:2,0.15
Cynoglossus,lida,-13.75,122.25,3112:132:3,0.14
Cynoglossus,lida,-13.75,121.75,3112:131:4,0.11
Cynoglossus,lida,-12.25,124.25,3112:124:1,0.02
Cynoglossus,lida,-19.25,119.75,3111:499:2,0.08
Cynoglossus,lida,-17.25,119.75,3111:479:2,0.13
Cynoglossus,lida,-17.25,119.25,3111:479:1,0.01
Cynoglossus,lida,-11.25,104.75,3110:114:2,0.13
Cynoglossus,lida,-14.25,60.75,3106:140:2,0.03
Cynoglossus,lida,-17.25,59.25,3105:479:1,0.08
Cynoglossus,lida,-16.25,59.75,3105:469:2,0.01
Cynoglossus,lida,-15.25,50.75,3105:350:2,0.08
Cynoglossus,lida,-17.25,42.75,3104:372:2,0.14
Cynoglossus,lida,-19.25,35.25,3103:495:1,0.05
Cynoglossus,lida,-8.75,179.25,3017:489:3,0.04
Cynoglossus,lida,-9.75,167.25,3016:497:3,0.18
Cynoglossus,lida,-9.75,140.75,3014:390:4,0.08
Cynoglossus,lida,-8.25,143.75,3014:383:2,0.01
Cynoglossus,lida,-8.25,143.25,3014:383:1,0.06
Cynoglossus,lida,-7.75,137.25,3013:477:3,0.08
Cynoglossus,lida,-7.25,137.25,3013:477:1,0.08
Cynoglossus,lida,-6.75,136.75,3013:466:4,0.15
Cynoglossus,lida,-6.75,136.25,3013:466:3,0.15
Cynoglossus,lida,-6.25,136.75,3013:466:2,0.08
Cynoglossus,lida,-6.75,135.75,3013:465:4,0.15
Cynoglossus,lida,-5.75,137.75,3013:457:4,0.05
Cynoglossus,lida,-9.75,133.75,3013:393:4,0.09
Cynoglossus,lida,-9.75,133.25,3013:393:3,0.09
Cynoglossus,lida,-9.25,133.75,3013:393:2,0.07
Cynoglossus,lida,-9.25,133.25,3013:393:1,0.04
Cynoglossus,lida,-9.75,132.75,3013:392:4,0.10
Cynoglossus,lida,-9.75,131.75,3013:391:4,0.06
Cynoglossus,lida,-9.25,131.75,3013:391:2,0.08
Cynoglossus,lida,-9.25,131.25,3013:391:1,0.08
Cynoglossus,lida,-8.75,131.75,3013:381:4,0.16
Cynoglossus,lida,-7.75,130.25,3013:370:3,0.10
Cynoglossus,lida,-8.25,129.75,3012:489:2,0.19
Cynoglossus,lida,-7.75,129.75,3012:479:4,0.10
Cynoglossus,lida,-2.25,129.75,3012:229:2,0.08
Cynoglossus,lida,-0.25,123.25,3012:103:1,0.18
Cynoglossus,lida,-0.75,122.25,3012:102:3,0.18
Cynoglossus,lida,-0.25,122.75,3012:102:2,0.16
Cynoglossus,lida,-0.25,122.25,3012:102:1,0.16
Cynoglossus,lida,-0.25,121.75,3012:101:2,0.18
