Mapping parameters for Cynoglossus semifasciatus (Bengal tonguesole)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,12,12,16,18
Temperature (°C),1,26.4,27.33,28.7,32.9
Salinity (psu),1,9.1,20.47,34.06,35.37
Primary Production (mgC·m-3·day-1) ,1,2.38,14,124.03,165.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,115.85,165.95,215.82,273.68
Distance to Land (km),0,1,2,25,280
 

Map data (HSPEC) for predicted occurrences (n = 837): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoglossus,semifasciatus,-20.25,119.75,3211:209:2,0.02
Cynoglossus,semifasciatus,-20.25,118.75,3211:208:2,0.05
Cynoglossus,semifasciatus,-20.25,118.25,3211:208:1,0.06
Cynoglossus,semifasciatus,-20.25,117.75,3211:207:2,0.03
Cynoglossus,semifasciatus,-20.25,117.25,3211:207:1,0.01
Cynoglossus,semifasciatus,-20.25,116.75,3211:206:2,0.01
Cynoglossus,semifasciatus,-22.75,43.25,3204:123:3,0.01
Cynoglossus,semifasciatus,-22.25,43.25,3204:123:1,0.11
Cynoglossus,semifasciatus,-20.75,43.75,3204:103:4,0.14
Cynoglossus,semifasciatus,-19.75,121.25,3112:391:3,0.06
Cynoglossus,semifasciatus,-19.75,120.75,3112:390:4,0.09
Cynoglossus,semifasciatus,-19.75,120.25,3112:390:3,0.08
Cynoglossus,semifasciatus,-18.25,121.75,3112:381:2,0.19
Cynoglossus,semifasciatus,-17.25,121.75,3112:371:2,0.09
Cynoglossus,semifasciatus,-16.25,122.75,3112:362:2,0.17
Cynoglossus,semifasciatus,-16.25,122.25,3112:362:1,0.07
Cynoglossus,semifasciatus,-16.75,121.75,3112:361:4,0.07
Cynoglossus,semifasciatus,-16.75,121.25,3112:361:3,0.04
Cynoglossus,semifasciatus,-16.25,121.25,3112:361:1,0.03
Cynoglossus,semifasciatus,-15.75,123.25,3112:353:3,0.19
Cynoglossus,semifasciatus,-15.25,123.75,3112:353:2,0.09
Cynoglossus,semifasciatus,-15.25,123.25,3112:353:1,0.09
Cynoglossus,semifasciatus,-15.75,122.75,3112:352:4,0.06
Cynoglossus,semifasciatus,-15.75,122.25,3112:352:3,0.03
Cynoglossus,semifasciatus,-15.25,122.25,3112:352:1,0.03
Cynoglossus,semifasciatus,-15.75,121.75,3112:351:4,0.02
Cynoglossus,semifasciatus,-15.75,121.25,3112:351:3,0.02
Cynoglossus,semifasciatus,-15.25,121.75,3112:351:2,0.02
Cynoglossus,semifasciatus,-13.75,127.75,3112:237:4,0.14
Cynoglossus,semifasciatus,-13.25,127.25,3112:237:1,0.05
Cynoglossus,semifasciatus,-13.25,126.75,3112:236:2,0.07
Cynoglossus,semifasciatus,-13.25,126.25,3112:236:1,0.05
Cynoglossus,semifasciatus,-13.75,125.75,3112:235:4,0.15
Cynoglossus,semifasciatus,-13.75,125.25,3112:235:3,0.06
Cynoglossus,semifasciatus,-13.25,125.75,3112:235:2,0.03
Cynoglossus,semifasciatus,-11.25,125.75,3112:215:2,0.03
Cynoglossus,semifasciatus,-10.25,128.25,3112:208:1,0.02
Cynoglossus,semifasciatus,-10.25,127.75,3112:207:2,0.02
Cynoglossus,semifasciatus,-10.25,127.25,3112:207:1,0.03
Cynoglossus,semifasciatus,-10.75,126.75,3112:206:4,0.02
Cynoglossus,semifasciatus,-10.25,126.75,3112:206:2,0.07
Cynoglossus,semifasciatus,-14.75,124.25,3112:144:3,0.10
Cynoglossus,semifasciatus,-14.25,124.75,3112:144:2,0.12
Cynoglossus,semifasciatus,-14.75,123.75,3112:143:4,0.02
Cynoglossus,semifasciatus,-14.25,123.75,3112:143:2,0.04
Cynoglossus,semifasciatus,-14.25,122.25,3112:142:1,0.01
Cynoglossus,semifasciatus,-12.75,123.75,3112:123:4,0.03
Cynoglossus,semifasciatus,-12.25,123.75,3112:123:2,0.06
Cynoglossus,semifasciatus,-12.25,123.25,3112:123:1,0.10
Cynoglossus,semifasciatus,-12.25,122.75,3112:122:2,0.13
Cynoglossus,semifasciatus,-11.75,123.25,3112:113:3,0.17
Cynoglossus,semifasciatus,-19.75,119.75,3111:499:4,0.09
Cynoglossus,semifasciatus,-19.75,119.25,3111:499:3,0.12
Cynoglossus,semifasciatus,-19.25,119.25,3111:499:1,0.03
Cynoglossus,semifasciatus,-19.75,118.75,3111:498:4,0.12
Cynoglossus,semifasciatus,-19.75,118.25,3111:498:3,0.02
Cynoglossus,semifasciatus,-19.25,118.25,3111:498:1,0.02
Cynoglossus,semifasciatus,-19.75,117.75,3111:497:4,0.03
Cynoglossus,semifasciatus,-19.75,117.25,3111:497:3,0.02
Cynoglossus,semifasciatus,-19.25,116.75,3111:496:2,0.03
Cynoglossus,semifasciatus,-17.75,119.25,3111:479:3,0.01
Cynoglossus,semifasciatus,-17.75,118.75,3111:478:4,0.01
Cynoglossus,semifasciatus,-10.25,119.75,3111:209:2,0.09
Cynoglossus,semifasciatus,-10.75,105.75,3110:205:4,0.08
Cynoglossus,semifasciatus,-10.25,105.75,3110:205:2,0.09
Cynoglossus,semifasciatus,-11.25,62.25,3106:112:1,0.01
Cynoglossus,semifasciatus,-11.75,61.75,3106:111:4,0.01
Cynoglossus,semifasciatus,-11.25,61.75,3106:111:2,0.06
Cynoglossus,semifasciatus,-11.25,61.25,3106:111:1,0.10
Cynoglossus,semifasciatus,-10.75,62.25,3106:102:3,0.06
Cynoglossus,semifasciatus,-10.25,62.25,3106:102:1,0.09
Cynoglossus,semifasciatus,-10.75,61.75,3106:101:4,0.13
Cynoglossus,semifasciatus,-10.75,61.25,3106:101:3,0.16
Cynoglossus,semifasciatus,-10.25,61.75,3106:101:2,0.17
Cynoglossus,semifasciatus,-10.75,60.75,3106:100:4,0.18
Cynoglossus,semifasciatus,-15.75,50.25,3105:350:3,0.04
Cynoglossus,semifasciatus,-15.25,50.25,3105:350:1,0.05
Cynoglossus,semifasciatus,-10.25,56.75,3105:206:2,0.07
Cynoglossus,semifasciatus,-14.75,50.25,3105:140:3,0.05
Cynoglossus,semifasciatus,-14.25,50.25,3105:140:1,0.07
Cynoglossus,semifasciatus,-13.75,50.25,3105:130:3,0.06
Cynoglossus,semifasciatus,-13.25,50.25,3105:130:1,0.02
Cynoglossus,semifasciatus,-10.25,51.25,3105:101:1,0.03
Cynoglossus,semifasciatus,-10.25,50.75,3105:100:2,0.03
Cynoglossus,semifasciatus,-18.25,49.75,3104:489:2,0.02
Cynoglossus,semifasciatus,-18.25,49.25,3104:489:1,0.03
Cynoglossus,semifasciatus,-17.75,49.75,3104:479:4,0.05
Cynoglossus,semifasciatus,-17.75,49.25,3104:479:3,0.06
Cynoglossus,semifasciatus,-17.25,49.75,3104:479:2,0.02
Cynoglossus,semifasciatus,-17.25,49.25,3104:479:1,0.09
Cynoglossus,semifasciatus,-16.75,49.75,3104:469:4,0.01
Cynoglossus,semifasciatus,-16.25,49.75,3104:469:2,0.04
Cynoglossus,semifasciatus,-15.75,49.75,3104:459:4,0.06
Cynoglossus,semifasciatus,-15.25,49.75,3104:459:2,0.13
Cynoglossus,semifasciatus,-18.75,43.75,3104:383:4,0.11
Cynoglossus,semifasciatus,-16.25,40.25,3104:360:1,0.12
Cynoglossus,semifasciatus,-15.75,40.75,3104:350:4,0.11
Cynoglossus,semifasciatus,-15.75,40.25,3104:350:3,0.12
Cynoglossus,semifasciatus,-15.25,40.75,3104:350:2,0.13
Cynoglossus,semifasciatus,-13.25,49.75,3104:239:2,0.13
Cynoglossus,semifasciatus,-13.25,48.25,3104:238:1,0.19
Cynoglossus,semifasciatus,-13.25,45.25,3104:235:1,0.01
Cynoglossus,semifasciatus,-12.75,49.75,3104:229:4,0.01
Cynoglossus,semifasciatus,-12.25,49.75,3104:229:2,0.01
Cynoglossus,semifasciatus,-12.25,49.25,3104:229:1,0.03
Cynoglossus,semifasciatus,-12.25,48.75,3104:228:2,0.14
Cynoglossus,semifasciatus,-12.25,48.25,3104:228:1,0.10
Cynoglossus,semifasciatus,-12.75,47.75,3104:227:4,0.02
Cynoglossus,semifasciatus,-12.25,47.75,3104:227:2,0.07
Cynoglossus,semifasciatus,-12.25,46.75,3104:226:2,0.03
Cynoglossus,semifasciatus,-12.75,45.25,3104:225:3,0.02
Cynoglossus,semifasciatus,-11.75,49.25,3104:219:3,0.02
Cynoglossus,semifasciatus,-11.75,47.25,3104:217:3,0.05
Cynoglossus,semifasciatus,-11.25,47.25,3104:217:1,0.02
Cynoglossus,semifasciatus,-10.25,47.75,3104:207:2,0.02
Cynoglossus,semifasciatus,-14.75,40.75,3104:140:4,0.14
Cynoglossus,semifasciatus,-13.25,40.75,3104:130:2,0.12
Cynoglossus,semifasciatus,-12.25,44.75,3104:124:2,0.03
Cynoglossus,semifasciatus,-12.25,44.25,3104:124:1,0.03
Cynoglossus,semifasciatus,-12.25,43.75,3104:123:2,0.03
Cynoglossus,semifasciatus,-12.75,40.75,3104:120:4,0.09
Cynoglossus,semifasciatus,-12.25,40.75,3104:120:2,0.09
Cynoglossus,semifasciatus,-11.75,43.75,3104:113:4,0.04
Cynoglossus,semifasciatus,-11.75,43.25,3104:113:3,0.05
Cynoglossus,semifasciatus,-11.25,43.25,3104:113:1,0.05
Cynoglossus,semifasciatus,-11.75,40.75,3104:110:4,0.11
Cynoglossus,semifasciatus,-11.25,40.75,3104:110:2,0.11
Cynoglossus,semifasciatus,-10.75,40.75,3104:100:4,0.07
Cynoglossus,semifasciatus,-10.25,40.75,3104:100:2,0.11
Cynoglossus,semifasciatus,-19.75,36.25,3103:496:3,0.12
Cynoglossus,semifasciatus,-19.25,36.25,3103:496:1,0.10
Cynoglossus,semifasciatus,-19.25,35.75,3103:495:2,0.04
Cynoglossus,semifasciatus,-18.75,36.25,3103:486:3,0.06
Cynoglossus,semifasciatus,-18.25,36.75,3103:486:2,0.14
Cynoglossus,semifasciatus,-17.25,39.25,3103:479:1,0.16
Cynoglossus,semifasciatus,-16.75,39.75,3103:469:4,0.11
Cynoglossus,semifasciatus,-16.75,39.25,3103:469:3,0.12
Cynoglossus,semifasciatus,-9.75,128.25,3012:498:3,0.03
Cynoglossus,semifasciatus,-8.25,128.75,3012:488:2,0.04
Cynoglossus,semifasciatus,-8.25,128.25,3012:488:1,0.05
Cynoglossus,semifasciatus,-8.25,127.75,3012:487:2,0.08
Cynoglossus,semifasciatus,-8.25,127.25,3012:487:1,0.09
Cynoglossus,semifasciatus,-8.75,126.25,3012:486:3,0.18
Cynoglossus,semifasciatus,-8.25,126.75,3012:486:2,0.04
Cynoglossus,semifasciatus,-8.25,126.25,3012:486:1,0.03
Cynoglossus,semifasciatus,-8.75,125.75,3012:485:4,0.17
Cynoglossus,semifasciatus,-8.25,125.75,3012:485:2,0.03
Cynoglossus,semifasciatus,-8.25,123.75,3012:383:2,0.12
Cynoglossus,semifasciatus,-8.25,123.25,3012:383:1,0.11
Cynoglossus,semifasciatus,-8.25,122.75,3012:382:2,0.10
Cynoglossus,semifasciatus,-8.25,122.25,3012:382:1,0.04
Cynoglossus,semifasciatus,-8.25,121.75,3012:381:2,0.07
Cynoglossus,semifasciatus,-8.25,121.25,3012:381:1,0.12
Cynoglossus,semifasciatus,-9.75,119.25,3011:499:3,0.11
Cynoglossus,semifasciatus,-8.25,117.25,3011:487:1,0.15
Cynoglossus,semifasciatus,-8.25,116.75,3011:486:2,0.19
Cynoglossus,semifasciatus,-5.75,102.25,3010:352:3,0.10
Cynoglossus,semifasciatus,-5.25,102.25,3010:352:1,0.14
Cynoglossus,semifasciatus,-4.25,101.25,3010:141:1,0.15
Cynoglossus,semifasciatus,-3.75,100.75,3010:130:4,0.18
Cynoglossus,semifasciatus,-3.25,100.25,3010:130:1,0.16
Cynoglossus,semifasciatus,-1.25,100.25,3010:110:1,0.18
Cynoglossus,semifasciatus,-0.75,100.25,3010:100:3,0.16
Cynoglossus,semifasciatus,-2.75,99.75,3009:229:4,0.15
Cynoglossus,semifasciatus,-2.25,99.75,3009:229:2,0.18
Cynoglossus,semifasciatus,-1.75,99.75,3009:219:4,0.15
Cynoglossus,semifasciatus,-1.75,99.25,3009:219:3,0.13
Cynoglossus,semifasciatus,-1.25,99.25,3009:219:1,0.07
Cynoglossus,semifasciatus,-1.75,98.75,3009:218:4,0.13
Cynoglossus,semifasciatus,-1.25,98.75,3009:218:2,0.08
Cynoglossus,semifasciatus,-0.25,99.25,3009:209:1,0.15
Cynoglossus,semifasciatus,-0.75,98.75,3009:208:4,0.05
Cynoglossus,semifasciatus,-0.75,98.25,3009:208:3,0.05
Cynoglossus,semifasciatus,-0.25,98.75,3009:208:2,0.05
Cynoglossus,semifasciatus,-0.25,98.25,3009:208:1,0.02
Cynoglossus,semifasciatus,-0.25,97.75,3009:207:2,0.01
Cynoglossus,semifasciatus,-7.25,72.75,3007:372:2,0.13
Cynoglossus,semifasciatus,-7.25,72.25,3007:372:1,0.15
Cynoglossus,semifasciatus,-7.25,71.75,3007:371:2,0.17
Cynoglossus,semifasciatus,-6.75,72.25,3007:362:3,0.17
Cynoglossus,semifasciatus,-6.25,72.75,3007:362:2,0.12
Cynoglossus,semifasciatus,-6.25,72.25,3007:362:1,0.15
Cynoglossus,semifasciatus,-6.75,71.75,3007:361:4,0.19
Cynoglossus,semifasciatus,-6.25,71.75,3007:361:2,0.15
Cynoglossus,semifasciatus,-6.25,71.25,3007:361:1,0.11
Cynoglossus,semifasciatus,-5.75,72.75,3007:352:4,0.09
Cynoglossus,semifasciatus,-5.75,72.25,3007:352:3,0.11
Cynoglossus,semifasciatus,-5.25,72.75,3007:352:2,0.04
Cynoglossus,semifasciatus,-5.25,72.25,3007:352:1,0.05
Cynoglossus,semifasciatus,-5.75,71.75,3007:351:4,0.07
Cynoglossus,semifasciatus,-5.25,71.75,3007:351:2,0.04
Cynoglossus,semifasciatus,-4.75,72.75,3007:142:4,0.02
Cynoglossus,semifasciatus,-4.75,72.25,3007:142:3,0.02
Cynoglossus,semifasciatus,-9.75,61.75,3006:391:4,0.12
Cynoglossus,semifasciatus,-8.25,60.25,3006:380:1,0.13
Cynoglossus,semifasciatus,-9.75,59.75,3005:499:4,0.14
Cynoglossus,semifasciatus,-7.25,57.25,3005:477:1,0.06
Cynoglossus,semifasciatus,-7.25,56.75,3005:476:2,0.07
Cynoglossus,semifasciatus,-7.25,56.25,3005:476:1,0.07
Cynoglossus,semifasciatus,-6.25,56.25,3005:466:1,0.08
Cynoglossus,semifasciatus,-5.75,56.25,3005:456:3,0.08
Cynoglossus,semifasciatus,-5.25,56.75,3005:456:2,0.07
Cynoglossus,semifasciatus,-5.25,56.25,3005:456:1,0.07
Cynoglossus,semifasciatus,-5.75,55.25,3005:455:3,0.05
Cynoglossus,semifasciatus,-5.25,55.75,3005:455:2,0.07
Cynoglossus,semifasciatus,-9.75,51.25,3005:391:3,0.04
Cynoglossus,semifasciatus,-9.25,51.25,3005:391:1,0.05
Cynoglossus,semifasciatus,-9.75,50.75,3005:390:4,0.05
Cynoglossus,semifasciatus,-7.25,52.75,3005:372:2,0.04
Cynoglossus,semifasciatus,-6.25,53.25,3005:363:1,0.04
Cynoglossus,semifasciatus,-6.75,52.75,3005:362:4,0.04
Cynoglossus,semifasciatus,-6.25,52.75,3005:362:2,0.04
Cynoglossus,semifasciatus,-5.75,53.75,3005:353:4,0.04
Cynoglossus,semifasciatus,-5.75,53.25,3005:353:3,0.04
Cynoglossus,semifasciatus,-5.25,53.25,3005:353:1,0.02
Cynoglossus,semifasciatus,-5.75,52.75,3005:352:4,0.03
Cynoglossus,semifasciatus,-4.75,56.75,3005:246:4,0.05
Cynoglossus,semifasciatus,-4.75,56.25,3005:246:3,0.05
Cynoglossus,semifasciatus,-4.25,56.25,3005:246:1,0.04
Cynoglossus,semifasciatus,-4.75,55.75,3005:245:4,0.05
Cynoglossus,semifasciatus,-4.75,55.25,3005:245:3,0.05
Cynoglossus,semifasciatus,-4.25,55.75,3005:245:2,0.05
Cynoglossus,semifasciatus,-4.25,55.25,3005:245:1,0.04
Cynoglossus,semifasciatus,-3.75,56.25,3005:236:3,0.03
Cynoglossus,semifasciatus,-3.75,55.75,3005:235:4,0.03
Cynoglossus,semifasciatus,-3.75,55.25,3005:235:3,0.02
Cynoglossus,semifasciatus,-4.75,54.75,3005:144:4,0.04
Cynoglossus,semifasciatus,-4.75,54.25,3005:144:3,0.03
Cynoglossus,semifasciatus,-4.25,54.75,3005:144:2,0.03
Cynoglossus,semifasciatus,-4.25,54.25,3005:144:1,0.02
Cynoglossus,semifasciatus,-4.75,53.25,3005:143:3,0.01
Cynoglossus,semifasciatus,-3.75,54.75,3005:134:4,0.01
Cynoglossus,semifasciatus,-9.75,47.75,3004:497:4,0.02
Cynoglossus,semifasciatus,-9.75,46.75,3004:496:4,0.02
Cynoglossus,semifasciatus,-9.25,46.75,3004:496:2,0.02
Cynoglossus,semifasciatus,-9.25,46.25,3004:496:1,0.04
Cynoglossus,semifasciatus,-1.25,42.25,3004:112:1,0.17
Cynoglossus,semifasciatus,-0.75,42.75,3004:102:4,0.12
Cynoglossus,semifasciatus,-4.75,39.75,3003:249:4,0.19
Cynoglossus,semifasciatus,20.25,91.75,1209:101:2,0.12
Cynoglossus,semifasciatus,22.75,70.25,1207:120:3,0.07
Cynoglossus,semifasciatus,21.25,70.25,1207:110:1,0.03
Cynoglossus,semifasciatus,20.75,70.75,1207:100:4,0.10
Cynoglossus,semifasciatus,23.75,68.25,1206:238:3,0.06
Cynoglossus,semifasciatus,23.25,68.75,1206:238:2,0.10
Cynoglossus,semifasciatus,23.25,68.25,1206:238:1,0.11
Cynoglossus,semifasciatus,23.75,67.75,1206:237:4,0.03
Cynoglossus,semifasciatus,22.75,69.75,1206:229:4,0.09
Cynoglossus,semifasciatus,22.75,69.25,1206:229:3,0.06
Cynoglossus,semifasciatus,22.75,68.75,1206:228:4,0.03
Cynoglossus,semifasciatus,15.75,97.25,1109:457:3,0.09
Cynoglossus,semifasciatus,19.25,92.75,1109:392:2,0.05
Cynoglossus,semifasciatus,18.75,93.25,1109:383:3,0.06
Cynoglossus,semifasciatus,16.75,94.25,1109:364:3,0.11
Cynoglossus,semifasciatus,15.75,93.75,1109:353:4,0.15
Cynoglossus,semifasciatus,14.75,97.75,1109:247:4,0.06
Cynoglossus,semifasciatus,14.25,97.75,1109:247:2,0.04
Cynoglossus,semifasciatus,14.75,95.25,1109:245:3,0.06
Cynoglossus,semifasciatus,17.75,94.25,1109:374:3,0.05
Cynoglossus,semifasciatus,17.25,94.25,1109:374:1,0.07
Cynoglossus,semifasciatus,12.75,98.25,1109:228:3,0.13
Cynoglossus,semifasciatus,13.75,98.25,1109:238:3,0.13
Cynoglossus,semifasciatus,13.25,98.25,1109:238:1,0.03
Cynoglossus,semifasciatus,12.25,98.25,1109:228:1,0.11
Cynoglossus,semifasciatus,11.75,98.25,1109:218:3,0.08
Cynoglossus,semifasciatus,11.25,98.25,1109:218:1,0.11
Cynoglossus,semifasciatus,10.75,98.25,1109:208:3,0.10
Cynoglossus,semifasciatus,10.25,98.25,1109:208:1,0.06
Cynoglossus,semifasciatus,10.75,97.75,1109:207:4,0.01
Cynoglossus,semifasciatus,14.25,93.25,1109:143:1,0.19
Cynoglossus,semifasciatus,13.25,93.25,1109:133:1,0.11
Cynoglossus,semifasciatus,13.75,92.75,1109:132:4,0.14
Cynoglossus,semifasciatus,13.25,92.75,1109:132:2,0.13
Cynoglossus,semifasciatus,12.75,93.25,1109:123:3,0.05
Cynoglossus,semifasciatus,12.25,93.25,1109:123:1,0.04
Cynoglossus,semifasciatus,12.75,92.75,1109:122:4,0.05
Cynoglossus,semifasciatus,12.25,92.75,1109:122:2,0.04
Cynoglossus,semifasciatus,11.75,93.25,1109:113:3,0.01
Cynoglossus,semifasciatus,11.75,92.75,1109:112:4,0.03
Cynoglossus,semifasciatus,18.25,73.25,1107:383:1,0.11
Cynoglossus,semifasciatus,17.75,73.25,1107:373:3,0.02
Cynoglossus,semifasciatus,16.25,73.75,1107:363:2,0.13
Cynoglossus,semifasciatus,15.75,73.75,1107:353:4,0.10
Cynoglossus,semifasciatus,15.75,73.25,1107:353:3,0.05
Cynoglossus,semifasciatus,15.25,73.75,1107:353:2,0.12
Cynoglossus,semifasciatus,14.75,74.25,1107:144:3,0.17
Cynoglossus,semifasciatus,14.25,74.25,1107:144:1,0.19
Cynoglossus,semifasciatus,14.75,73.75,1107:143:4,0.15
Cynoglossus,semifasciatus,14.75,73.25,1107:143:3,0.01
Cynoglossus,semifasciatus,14.25,73.75,1107:143:2,0.04
Cynoglossus,semifasciatus,13.25,74.25,1107:134:1,0.17
Cynoglossus,semifasciatus,13.75,73.75,1107:133:4,0.05
Cynoglossus,semifasciatus,18.75,38.25,1103:488:3,0.01
Cynoglossus,semifasciatus,18.25,38.25,1103:488:1,0.04
Cynoglossus,semifasciatus,18.75,37.75,1103:487:4,0.03
Cynoglossus,semifasciatus,3.25,100.75,1010:130:2,0.15
Cynoglossus,semifasciatus,9.75,98.25,1009:498:3,0.07
Cynoglossus,semifasciatus,9.25,98.25,1009:498:1,0.09
Cynoglossus,semifasciatus,9.25,97.75,1009:497:2,0.06
Cynoglossus,semifasciatus,8.75,98.25,1009:488:3,0.12
Cynoglossus,semifasciatus,8.25,98.25,1009:488:1,0.09
Cynoglossus,semifasciatus,8.75,97.75,1009:487:4,0.02
Cynoglossus,semifasciatus,7.75,98.25,1009:478:3,0.05
Cynoglossus,semifasciatus,7.25,98.75,1009:478:2,0.04
Cynoglossus,semifasciatus,6.75,99.25,1009:469:3,0.15
Cynoglossus,semifasciatus,6.25,99.25,1009:469:1,0.03
Cynoglossus,semifasciatus,5.75,95.75,1009:455:4,0.02
Cynoglossus,semifasciatus,5.25,95.75,1009:455:2,0.09
Cynoglossus,semifasciatus,4.25,96.25,1009:246:1,0.13
Cynoglossus,semifasciatus,4.75,95.75,1009:245:4,0.07
Cynoglossus,semifasciatus,4.25,95.75,1009:245:2,0.01
Cynoglossus,semifasciatus,3.75,96.25,1009:236:3,0.07
Cynoglossus,semifasciatus,2.75,97.25,1009:227:3,0.16
Cynoglossus,semifasciatus,2.25,97.25,1009:227:1,0.05
Cynoglossus,semifasciatus,1.75,98.75,1009:218:4,0.09
Cynoglossus,semifasciatus,1.75,98.25,1009:218:3,0.06
Cynoglossus,semifasciatus,1.25,98.75,1009:218:2,0.16
Cynoglossus,semifasciatus,1.25,98.25,1009:218:1,0.02
Cynoglossus,semifasciatus,1.75,97.75,1009:217:4,0.01
Cynoglossus,semifasciatus,0.75,98.25,1009:208:3,0.04
Cynoglossus,semifasciatus,0.25,98.25,1009:208:1,0.03
Cynoglossus,semifasciatus,5.75,73.25,1007:353:3,0.01
Cynoglossus,semifasciatus,5.25,73.25,1007:353:1,0.01
Cynoglossus,semifasciatus,5.75,72.75,1007:352:4,0.01
Cynoglossus,semifasciatus,5.25,72.75,1007:352:2,0.01
Cynoglossus,semifasciatus,4.75,73.75,1007:143:4,0.02
