Mapping parameters for Cynoscion squamipinnis (Weakfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,31,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,18.22,23.56,29.01,33.21
Salinity (psu),1,28.01,30.65,34.57,36.11
Primary Production (mgC·m-3·day-1) ,1,2.9,22.21,78.62,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,7.27,34.92,216.79,384.51
Distance to Land (km),0,1,8,26,111
 

Map data (HSPEC) for predicted occurrences (n = 412): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cynoscion,squamipinnis,30.75,-115.75,7311:205:4,0.16
Cynoscion,squamipinnis,30.25,-115.75,7311:205:2,0.02
Cynoscion,squamipinnis,29.75,-115.25,7211:495:3,0.10
Cynoscion,squamipinnis,28.75,-118.25,7211:488:3,0.01
Cynoscion,squamipinnis,27.75,-115.25,7211:475:3,0.02
Cynoscion,squamipinnis,29.25,-113.75,7211:393:2,0.14
Cynoscion,squamipinnis,29.25,-113.25,7211:393:1,0.06
Cynoscion,squamipinnis,29.25,-112.25,7211:392:1,0.01
Cynoscion,squamipinnis,28.25,-114.75,7211:384:2,0.01
Cynoscion,squamipinnis,28.25,-114.25,7211:384:1,0.06
Cynoscion,squamipinnis,28.75,-113.75,7211:383:4,0.10
Cynoscion,squamipinnis,28.75,-113.25,7211:383:3,0.18
Cynoscion,squamipinnis,28.75,-112.75,7211:382:4,0.06
Cynoscion,squamipinnis,28.75,-112.25,7211:382:3,0.05
Cynoscion,squamipinnis,28.25,-112.75,7211:382:2,0.11
Cynoscion,squamipinnis,28.25,-112.25,7211:382:1,0.01
Cynoscion,squamipinnis,28.75,-111.75,7211:381:4,0.01
Cynoscion,squamipinnis,28.25,-111.25,7211:381:1,0.02
Cynoscion,squamipinnis,27.75,-114.75,7211:374:4,0.06
Cynoscion,squamipinnis,27.75,-114.25,7211:374:3,0.13
Cynoscion,squamipinnis,27.25,-114.75,7211:374:2,0.09
Cynoscion,squamipinnis,27.25,-114.25,7211:374:1,0.16
Cynoscion,squamipinnis,27.75,-113.75,7211:373:4,0.10
Cynoscion,squamipinnis,27.75,-110.75,7211:370:4,0.03
Cynoscion,squamipinnis,27.25,-110.25,7211:370:1,0.05
Cynoscion,squamipinnis,26.75,-114.25,7211:364:3,0.15
Cynoscion,squamipinnis,26.25,-113.75,7211:363:2,0.10
Cynoscion,squamipinnis,26.25,-113.25,7211:363:1,0.11
Cynoscion,squamipinnis,26.25,-112.25,7211:362:1,0.17
Cynoscion,squamipinnis,25.75,-112.75,7211:352:4,0.06
Cynoscion,squamipinnis,25.75,-112.25,7211:352:3,0.16
Cynoscion,squamipinnis,25.25,-112.25,7211:352:1,0.08
Cynoscion,squamipinnis,24.75,-112.25,7211:142:3,0.03
Cynoscion,squamipinnis,27.25,-109.75,7210:479:2,0.07
