Mapping parameters for Cystophora cristata (hooded seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  34 |  77 ,
Bounding Box (NSWE): ,90,0,-95,68

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1000,2000,8000
Temperature (°C),1,-1.63,0.01,15.79,27.79
Salinity (psu),1,17.33,29.62,35.13,38.94
Primary Production (mgC·m-3·day-1) ,1,0.11,2.77,21.73,48.18
Sea Ice Concentration (0-1 fraction),1,-0.91,0,0.35,0.97
Dissolved Bottom Oxygen (mmol·m-3),0,69.03,232.32,317.9,360.79
Distance to Land (km),0,0,4,195,594
 

Map data (HSPEC) for predicted occurrences (n = 20600): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Cystophora,cristata,0.25,0.25,1000:100:1,0.02,0.51733333333333,0.048092765808108,1,1,1,1,1
Cystophora,cristata,0.25,0.75,1000:100:2,0.02,0.52483333333333,0.047384344736733,1,1,1,1,1
Cystophora,cristata,0.75,0.25,1000:100:3,0.01,0.51833333333333,0.023024323781333,1,1,1,1,1
Cystophora,cristata,0.75,0.75,1000:100:4,0.01,0.52666666666667,0.0220983060201,1,1,1,1,1
Cystophora,cristata,0.25,1.25,1000:101:1,0.02,0.54,0.045815709431967,1,1,1,1,1
Cystophora,cristata,0.75,1.25,1000:101:3,0.01,0.5385,0.021795673370358,1,1,1,1,1
Cystophora,cristata,0.75,1.75,1000:101:4,0.01,0.5555,0.02222403208415,1,1,1,1,1
Cystophora,cristata,0.25,2.25,1000:102:1,0.03,0.5795,0.043829523722333,1,1,1,1,1
Cystophora,cristata,0.25,1.75,1000:101:2,0.03,0.55916666666667,0.044728679656983,1,1,1,1,1
Cystophora,cristata,0.25,2.75,1000:102:2,0.03,0.60316666666667,0.044243736267092,1,1,1,1,1
Cystophora,cristata,0.75,2.25,1000:102:3,0.01,0.59766666666667,0.022481365203858,1,1,1,1,1
Cystophora,cristata,0.75,2.75,1000:102:4,0.01,0.61133333333333,0.023268782297767,1,1,1,1,1
Cystophora,cristata,0.25,3.25,1000:103:1,0.03,0.61766666666667,0.045777403513592,1,1,1,1,1
Cystophora,cristata,0.25,3.75,1000:103:2,0.03,0.63933333333333,0.045864823659258,1,1,1,1,1
Cystophora,cristata,0.75,3.25,1000:103:3,0.02,0.61683333333333,0.024872544606525,1,1,1,1,1
Cystophora,cristata,0.75,3.75,1000:103:4,0.02,0.6435,0.026315930684408,1,1,1,1,1
Cystophora,cristata,0.25,4.25,1000:104:1,0.03,0.65766666666667,0.045842253367108,1,1,1,1,1
Cystophora,cristata,0.25,4.75,1000:104:2,0.03,0.67716666666667,0.045309626261392,1,1,1,1,1
Cystophora,cristata,0.75,4.25,1000:104:3,0.02,0.667,0.027266743977867,1,1,1,1,1
Cystophora,cristata,0.75,4.75,1000:104:4,0.02,0.68616666666667,0.02707489649455,1,1,1,1,1
Cystophora,cristata,1.25,3.25,1000:113:1,0.01,0.61783333333333,0.0084222984314,1,1,1,1,1
Cystophora,cristata,1.25,3.75,1000:113:2,0.01,0.64266666666667,0.010286254882808,1,1,1,1,1
Cystophora,cristata,1.25,4.25,1000:114:1,0.01,0.671,0.011608683268225,1,1,1,1,1
Cystophora,cristata,1.25,4.75,1000:114:2,0.01,0.6965,0.012406749725342,1,1,1,1,1
Cystophora,cristata,4.75,0.25,1000:140:3,0.01,0.71783333333333,0.021292292277017,1,0.9391682571184,1,1,1
Cystophora,cristata,4.75,0.75,1000:140:4,0.01,0.74583333333333,0.0116002591451,1,1,1,1,1
Cystophora,cristata,0.25,5.25,1000:205:1,0.03,0.71483333333333,0.044059677124025,1,1,1,1,1
Cystophora,cristata,0.25,5.75,1000:205:2,0.03,0.77166666666667,0.041812343597408,1,1,1,1,1
Cystophora,cristata,0.75,5.25,1000:205:3,0.02,0.6985,0.026280008951825,1,1,1,1,1
Cystophora,cristata,0.75,5.75,1000:205:4,0.02,0.741,0.024145844777425,1,1,1,1,1
Cystophora,cristata,0.25,6.25,1000:206:1,0.04,0.89316666666667,0.0412911605835,1,1,1,1,1
Cystophora,cristata,0.25,6.75,1000:206:2,0.04,1,0.04286376953125,1,1,1,1,1
Cystophora,cristata,0.75,6.25,1000:206:3,0.02,0.79,0.021755301157633,1,1,1,1,1
Cystophora,cristata,0.75,6.75,1000:206:4,0.02,0.85366666666667,0.021765314737958,1,1,1,1,1
Cystophora,cristata,0.25,7.25,1000:207:1,0.04,0.85933333333333,0.044621391296383,1,1,1,1,1
Cystophora,cristata,0.25,7.75,1000:207:2,0.04,0.88283333333333,0.044317804972333,1,1,1,1,1
Cystophora,cristata,0.75,7.25,1000:207:3,0.02,0.86516666666667,0.026582005818683,1,1,1,1,1
Cystophora,cristata,0.75,7.75,1000:207:4,0.02,0.89683333333333,0.027489267985025,1,1,1,1,1
Cystophora,cristata,0.25,8.25,1000:208:1,0.04,0.97466666666667,0.041835708618167,1,1,1,1,1
Cystophora,cristata,0.25,8.75,1000:208:2,0.03,0.814,0.036903781890867,0.99666166499536,1,1,1,1
Cystophora,cristata,0.75,8.25,1000:208:3,0.02,0.93533333333333,0.025488300323483,1,1,1,1,1
Cystophora,cristata,0.75,8.75,1000:208:4,0.02,1,0.022341969807941,0.99393395469672,1,1,1,1
Cystophora,cristata,1.25,5.25,1000:215:1,0.01,0.71716666666667,0.0124768447876,1,1,1,1,1
Cystophora,cristata,1.25,5.75,1000:215:2,0.01,0.744,0.011783046722408,1,1,1,1,1
Cystophora,cristata,1.25,6.25,1000:216:1,0.01,0.781,0.010846061706542,1,1,1,1,1
Cystophora,cristata,1.25,6.75,1000:216:2,0.01,0.826,0.010091705322267,1,1,1,1,1
Cystophora,cristata,1.25,7.25,1000:217:1,0.01,1,0.012261314392092,1,1,1,1,1
Cystophora,cristata,1.25,7.75,1000:217:2,0.01,0.9725,0.01298276901245,1,1,1,1,1
Cystophora,cristata,1.25,8.25,1000:218:1,0.01,0.94283333333333,0.012370192209883,1,1,1,1,1
Cystophora,cristata,1.25,8.75,1000:218:2,0.01,1,0.011728528340658,0.95306253084038,0.89060151016802,1,1,1
Cystophora,cristata,5.25,0.25,1000:350:1,0.03,0.9715,0.047660433451333,1,0.71871452076899,1,1,1
Cystophora,cristata,5.25,0.75,1000:350:2,0.03,0.92483333333333,0.029596888224283,1,0.95077503635662,1,1,1
Cystophora,cristata,5.75,0.75,1000:350:4,0.01,0.386,0.05461939493815,1,0.50291112979103,1,1,1
Cystophora,cristata,5.25,1.25,1000:351:1,0.01,0.86633333333333,0.015787207285567,1,1,1,1,1
