Mapping parameters for Diaphus theta (California headlightfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77 |  87,
Bounding Box (NSWE): ,66,-20,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,400,3400
Temperature (°C),1,2.28,8.52,22.2,29.3
Salinity (psu),1,24.18,31.3,33.7,36.11
Primary Production (mgC·m-3·day-1) ,1,0.1,2.52,37.34,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.53,41.96,169.36,307.44
Distance to Land (km),0,0,19,972,1883
 

Map data (HSPEC) for predicted occurrences (n = 21389): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diaphus,theta,50.25,-125.25,7512:205:1,0.19
Diaphus,theta,50.25,-124.75,7512:104:2,0.19
Diaphus,theta,49.75,-124.75,7412:394:4,0.19
Diaphus,theta,48.75,-123.25,7412:383:3,0.19
Diaphus,theta,48.25,-123.75,7412:383:2,0.15
Diaphus,theta,48.25,-123.25,7412:383:1,0.13
Diaphus,theta,48.75,-122.25,7412:382:3,0.15
Diaphus,theta,48.25,-122.75,7412:382:2,0.09
Diaphus,theta,48.25,-122.25,7412:382:1,0.13
Diaphus,theta,47.75,-122.25,7412:372:3,0.12
Diaphus,theta,47.25,-122.25,7412:372:1,0.13
Diaphus,theta,46.25,-124.25,7412:364:1,0.07
Diaphus,theta,46.75,-123.75,7412:363:4,0.12
Diaphus,theta,46.25,-123.75,7412:363:2,0.04
Diaphus,theta,30.25,-172.25,7317:102:1,0.19
Diaphus,theta,30.25,-171.75,7317:101:2,0.18
Diaphus,theta,30.25,-171.25,7317:101:1,0.17
Diaphus,theta,30.25,-170.75,7317:100:2,0.16
Diaphus,theta,30.25,-170.25,7317:100:1,0.16
Diaphus,theta,30.25,-169.75,7316:209:2,0.15
Diaphus,theta,30.25,-169.25,7316:209:1,0.16
Diaphus,theta,30.25,-168.75,7316:208:2,0.17
Diaphus,theta,30.25,-168.25,7316:208:1,0.16
Diaphus,theta,30.75,-167.25,7316:207:3,0.19
Diaphus,theta,30.25,-167.75,7316:207:2,0.15
Diaphus,theta,30.25,-167.25,7316:207:1,0.15
Diaphus,theta,30.75,-166.75,7316:206:4,0.18
Diaphus,theta,30.75,-166.25,7316:206:3,0.16
Diaphus,theta,30.25,-166.75,7316:206:2,0.14
Diaphus,theta,30.25,-166.25,7316:206:1,0.13
Diaphus,theta,30.75,-165.75,7316:205:4,0.16
Diaphus,theta,30.75,-165.25,7316:205:3,0.16
Diaphus,theta,30.25,-165.75,7316:205:2,0.13
Diaphus,theta,30.25,-165.25,7316:205:1,0.13
Diaphus,theta,30.75,-164.75,7316:104:4,0.16
Diaphus,theta,30.75,-164.25,7316:104:3,0.16
Diaphus,theta,30.25,-164.75,7316:104:2,0.13
Diaphus,theta,30.25,-164.25,7316:104:1,0.12
Diaphus,theta,30.75,-163.75,7316:103:4,0.16
Diaphus,theta,30.75,-163.25,7316:103:3,0.16
Diaphus,theta,30.25,-163.75,7316:103:2,0.12
Diaphus,theta,30.25,-163.25,7316:103:1,0.11
Diaphus,theta,30.75,-162.75,7316:102:4,0.15
Diaphus,theta,30.75,-162.25,7316:102:3,0.15
Diaphus,theta,30.25,-162.75,7316:102:2,0.11
Diaphus,theta,30.25,-162.25,7316:102:1,0.11
Diaphus,theta,30.75,-161.75,7316:101:4,0.15
Diaphus,theta,30.75,-161.25,7316:101:3,0.16
Diaphus,theta,30.25,-161.75,7316:101:2,0.10
Diaphus,theta,30.25,-161.25,7316:101:1,0.10
Diaphus,theta,30.75,-160.75,7316:100:4,0.15
