Mapping parameters for Diplosoma listerianum (gray encrusting compound tunicate)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  37 |  41 |  47 |  48 |  51 |  57 |  58 |  61 |  67 |  71 |  77 |  81 |  87 |  88 ,
Bounding Box (NSWE): ,68,-76,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,40,80
Temperature (°C),1,-1.73,9.89,27.26,31.46
Salinity (psu),1,5.21,31.87,36.13,38.65
Primary Production (mgC·m-3·day-1) ,1,0.34,1.7,24.9,93.95
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0,0.65
Dissolved Bottom Oxygen (mmol·m-3),0,37.52,167.55,282.15,408.48
Distance to Land (km),0,0,4,57,552
 

Map data (HSPEC) for predicted occurrences (n = 15148): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Diplosoma,listerianum,2.75,99.75,1009:229:4,0.11,0.25,0.46739736284529,0.96938980457395,1,1,1,1
Diplosoma,listerianum,5.75,97.75,1009:457:4,0.07,0.15,0.43732891991024,1,1,1,1,1
Diplosoma,listerianum,5.25,98.75,1009:458:2,0.19,0.475,0.39479504539852,1,1,1,1,1
Diplosoma,listerianum,6.25,98.75,1009:468:2,0.18,0.45,0.410993430728,1,1,1,1,1
Diplosoma,listerianum,6.75,98.25,1009:468:3,0.11,0.25,0.4530518304734,1,1,1,1,1
Diplosoma,listerianum,7.75,97.75,1009:477:4,0.04,0.075,0.51568825131371,1,1,1,1,1
Diplosoma,listerianum,8.25,99.25,1009:489:1,0.06,0.125,0.49137591407412,0.97841844608796,1,1,1,1
Diplosoma,listerianum,0.25,102.75,1010:102:2,0.06,0.125,0.5299815586635,0.93020008599409,1,1,1,1
Diplosoma,listerianum,0.75,102.25,1010:102:3,0.06,0.125,0.51773774283274,0.89060550297639,1,1,1,1
Diplosoma,listerianum,0.75,102.75,1010:102:4,0.06,0.125,0.52792389279319,0.90390242728987,1,1,1,1
Diplosoma,listerianum,1.75,100.75,1010:110:4,0.05,0.125,0.47706807454426,0.88382003509453,1,1,1,1
