Mapping parameters for Dipturus trachyderma (Ray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  41 |  87 ,
Bounding Box (NSWE): ,-22,-57,-99,-42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,93,134,257,450
Temperature (°C),1,6.8,8.64,19.48,25
Salinity (psu),1,12,32.71,35.63,36.7
Primary Production (mgC·m-3·day-1) ,1,5.09,6.09,31.72,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,83.2,206.64,281.35,318.1
Distance to Land (km),0,2,12,259,427
 

Map data (HSPEC) for predicted occurrences (n = 734): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Dipturus,trachyderma,-22.75,-43.25,5204:123:3,0.08,0.82926829268293,0.27566508970399,0.36306220794393,0.94609288820099,1,1,1
Dipturus,trachyderma,-22.75,-43.75,5204:123:4,0.02,0.17073170731707,0.24064658344656,0.43063939174757,1,1,1,1
Dipturus,trachyderma,-23.25,-42.75,5204:132:2,0.01,0.78048780487805,0.28563997019891,0.045586701865517,1,1,1,1
Dipturus,trachyderma,-23.25,-43.25,5204:133:1,0.05,0.68292682926829,0.30963248100833,0.23814691561402,0.99007170508159,1,1,1
Dipturus,trachyderma,-23.25,-43.75,5204:133:2,0.04,0.36585365853659,0.29842335244884,0.3701639621057,0.87442429369915,1,1,1
Dipturus,trachyderma,-23.25,-44.25,5204:134:1,0.12,0.85365853658537,0.2613851989525,0.53352213351524,1,1,1,1
Dipturus,trachyderma,-23.25,-44.75,5204:134:2,0.14,1,0.25310481804005,0.56213236300748,1,1,1,1
Dipturus,trachyderma,-23.75,-44.25,5204:134:3,0.05,1,0.29696519824042,0.15359254640954,1,1,1,1
Dipturus,trachyderma,-23.75,-44.75,5204:134:4,0.03,0.19512195121951,0.29470298601234,0.46174521758178,1,1,1,1
Dipturus,trachyderma,-24.25,-44.75,5204:144:2,0.02,1,0.26113883308743,0.067508733161125,1,1,1,1
Dipturus,trachyderma,-23.75,-45.25,5204:235:3,0.17,1,0.28169880742612,0.6155238641757,1,1,1,1
Dipturus,trachyderma,-23.75,-45.75,5204:235:4,0.18,1,0.26957124903582,0.67991024979925,1,1,1,1
Dipturus,trachyderma,-24.25,-45.25,5204:245:1,0.03,0.17073170731707,0.30632986538652,0.49126812230757,1,1,1,1
Dipturus,trachyderma,-24.25,-45.75,5204:245:2,0.03,0.17073170731707,0.31878913658252,0.61965942382813,1,1,1,1
Dipturus,trachyderma,-24.75,-45.25,5204:245:3,0.07,0.95121951219512,0.28576850891114,0.24510606427057,1,1,1,1
Dipturus,trachyderma,-24.75,-45.75,5204:245:4,0.14,1,0.33456864564315,0.42745215870515,1,1,1,1
Dipturus,trachyderma,-24.75,-46.25,5204:246:3,0.08,0.39024390243902,0.34203252930572,0.57741254289571,1,1,1,1
Dipturus,trachyderma,-25.25,-45.25,5204:455:1,0.01,1,0.23900287738745,0.028755687107572,1,1,1,1
Dipturus,trachyderma,-25.25,-45.75,5204:455:2,0.07,1,0.32088722007862,0.23229295962328,1,1,1,1
Dipturus,trachyderma,-25.25,-46.25,5204:456:1,0.12,1,0.34119046252707,0.34921164824579,1,1,1,1
Dipturus,trachyderma,-25.25,-46.75,5204:456:2,0.01,0.1219512195122,0.36272449769835,0.55170790057318,0.38200022265315,1,1,1
Dipturus,trachyderma,-25.75,-46.25,5204:456:3,0.04,1,0.31565375950025,0.11213356089365,1,1,1,1
Dipturus,trachyderma,-25.75,-46.75,5204:456:4,0.11,1,0.35350115402886,0.29962771406795,1,1,1,1
Dipturus,trachyderma,-25.25,-48.25,5204:458:1,0.05,0.24390243902439,0.39351815762726,1,0.52399990692735,1,1,1
Dipturus,trachyderma,-26.25,-46.75,5204:466:2,0.02,1,0.30606795048368,0.078881522205424,1,1,1,1
Dipturus,trachyderma,-26.75,-47.25,5204:467:3,0.09,1,0.35512343696926,0.25687458359197,0.99700001612306,1,1,1
Dipturus,trachyderma,-27.25,-47.25,5204:477:1,0.03,1,0.31778881515283,0.078899347893555,1,1,1,1
Dipturus,trachyderma,-27.75,-47.75,5204:477:4,0.09,1,0.43505793032438,0.34789611245982,0.61000009611249,1,1,1
Dipturus,trachyderma,-28.25,-47.75,5204:487:2,0.11,1,0.43334269869154,0.32625216189944,0.79099984452128,1,1,1
Dipturus,trachyderma,-28.75,-47.75,5204:487:4,0.08,1,0.40645219277645,0.18998190621346,1,1,1,1
Dipturus,trachyderma,-28.75,-48.75,5204:488:4,0.03,0.048780487804878,0.69718533667966,1,1,1,1,1
Dipturus,trachyderma,-29.25,-48.25,5204:498:1,0.17,1,0.48875290414562,0.35706921158552,1,1,1,1
Dipturus,trachyderma,-29.75,-48.25,5204:498:3,0.08,1,0.45648968738058,0.17275159604084,1,1,1,1
Dipturus,trachyderma,-30.25,-48.25,5304:208:1,0.04,1,0.44079932613649,0.081829891026547,1,1,1,1
Dipturus,trachyderma,-30.75,-48.75,5304:208:4,0.08,1,0.4883064739946,0.15704359963673,1,1,1,1
Dipturus,trachyderma,-31.25,-49.25,5304:219:1,0.09,1,0.52549839019775,0.1730795887029,1,1,1,1
Dipturus,trachyderma,-31.75,-49.75,5304:219:4,0.17,1,0.58849756268487,0.29389140761898,1,1,1,1
