Mapping parameters for Dissodactylus primitivus (heart urchin pea crab)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,19,36,55
Temperature (°C),1,24.44,26.51,28.24,32.44
Salinity (psu),1,31.8,34.34,36.15,38.63
Primary Production (mgC·m-3·day-1) ,1,-0.57,0.43,4.18,7.02
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,162.09,167.08,264,268.21
Distance to Land (km),0,15,17,101,216
 

Map data (HSPEC) for predicted occurrences (n = 719): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dissodactylus,primitivus,28.25,-95.75,7209:485:2,0.01
Dissodactylus,primitivus,28.25,-95.25,7209:485:1,0.16
Dissodactylus,primitivus,25.75,-97.25,7209:457:3,0.13
Dissodactylus,primitivus,25.25,-97.75,7209:457:2,0.09
Dissodactylus,primitivus,28.75,-93.75,7209:383:4,0.01
Dissodactylus,primitivus,28.75,-93.25,7209:383:3,0.06
Dissodactylus,primitivus,28.75,-92.75,7209:382:4,0.09
Dissodactylus,primitivus,28.75,-92.25,7209:382:3,0.08
Dissodactylus,primitivus,28.75,-91.75,7209:381:4,0.03
Dissodactylus,primitivus,29.75,-87.25,7208:497:3,0.04
Dissodactylus,primitivus,29.25,-87.75,7208:497:2,0.18
Dissodactylus,primitivus,29.25,-86.25,7208:496:1,0.08
Dissodactylus,primitivus,29.25,-85.75,7208:495:2,0.10
Dissodactylus,primitivus,28.75,-85.25,7208:485:3,0.15
Dissodactylus,primitivus,28.75,-84.75,7208:384:4,0.07
Dissodactylus,primitivus,28.25,-84.25,7208:384:1,0.15
Dissodactylus,primitivus,27.75,-83.25,7208:373:3,0.10
