Mapping parameters for Dosinia exoleta (mature dosinia)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,73,-5,-32,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,13,150
Temperature (°C),1,5.92,9.84,19.51,29
Salinity (psu),1,6,32.27,36.99,39.25
Primary Production (mgC·m-3·day-1) ,1,0.25,2.15,19.98,111.46
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.07
Dissolved Bottom Oxygen (mmol·m-3),0,101.71,231.12,291.92,315.44
Distance to Land (km),0,0,5,145,594
 

Map data (HSPEC) for predicted occurrences (n = 2509): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Dosinia,exoleta,4.75,4.75,1000:144:4,0.07,0.74452554744526,0.095163029790306,0.99481743099937,1,1,1,1
Dosinia,exoleta,0.25,6.75,1000:206:2,0.18,1,0.18170339666754,1,1,1,1,1
Dosinia,exoleta,0.25,8.75,1000:208:2,0.09,0.60583941605839,0.17416705823924,0.8975626898665,1,1,1,1
Dosinia,exoleta,0.75,8.75,1000:208:4,0.04,0.25547445255474,0.15575380797632,0.8962865741615,1,1,1,1
Dosinia,exoleta,0.25,9.25,1000:209:1,0.15,1,0.17163886662153,0.85643838011905,1,1,1,1
Dosinia,exoleta,0.25,9.75,1000:209:2,0.14,1,0.1706387647462,0.83709981081193,1,1,1,1
Dosinia,exoleta,0.75,9.25,1000:209:3,0.13,1,0.15502845273757,0.84658464098503,1,1,1,1
Dosinia,exoleta,0.75,9.75,1000:209:4,0.13,1,0.16181973938695,0.78429965225063,1,1,1,1
Dosinia,exoleta,1.25,7.25,1000:217:1,0.14,1,0.14300693073816,1,1,1,1,1
Dosinia,exoleta,1.75,7.25,1000:217:3,0.13,1,0.12826929604919,1,1,1,1,1
Dosinia,exoleta,1.75,7.75,1000:217:4,0.13,1,0.12907444237407,0.98051318752026,1,1,1,1
Dosinia,exoleta,1.25,9.25,1000:219:1,0.11,1,0.14538237367717,0.75643943841801,1,1,1,1
Dosinia,exoleta,1.25,9.75,1000:219:2,0.11,1,0.15242469072091,0.73535557613656,1,1,1,1
Dosinia,exoleta,1.75,9.75,1000:219:4,0.10,1,0.14262968169877,0.68939566203837,1,1,1,1
Dosinia,exoleta,2.75,8.25,1000:228:3,0.02,0.56934306569343,0.11299905083579,0.90354146910204,0.28842106461525,1,1,1
Dosinia,exoleta,2.25,9.75,1000:229:2,0.09,1,0.13239732909128,0.64595182177047,1,1,1,1
Dosinia,exoleta,2.75,9.75,1000:229:4,0.08,1,0.12657398670064,0.64498079472002,1,1,1,1
Dosinia,exoleta,3.75,5.75,1000:235:4,0.10,1,0.1036693223284,0.94424481168644,1,1,1,1
Dosinia,exoleta,3.75,6.25,1000:236:3,0.09,0.96350364963504,0.10581825505569,0.90535094541064,1,1,1,1
Dosinia,exoleta,3.75,6.75,1000:236:4,0.09,0.93430656934307,0.10772339285236,0.88091735200915,1,1,1,1
Dosinia,exoleta,3.75,7.25,1000:237:3,0.02,0.70802919708029,0.10942071205195,0.85625120292928,0.32105261631506,1,1,1
Dosinia,exoleta,3.75,7.75,1000:237:4,0.01,0.85401459854015,0.11049799220705,0.84100243343706,0.10526315382633,1,1,1
Dosinia,exoleta,3.25,8.25,1000:238:1,0.01,1,0.10880228088829,0.8455160320327,0.09157894632632,1,1,1
Dosinia,exoleta,3.25,8.75,1000:238:2,0.02,1,0.10668630971798,0.78084413479797,0.24947367535022,1,1,1
Dosinia,exoleta,3.75,8.25,1000:238:3,0.01,1,0.1094235258434,0.81410388053485,0.10947368156753,1,1,1
Dosinia,exoleta,3.75,8.75,1000:238:4,0.08,1,0.10990990979403,0.73597838681689,1,1,1,1
Dosinia,exoleta,3.25,9.25,1000:239:1,0.08,1,0.11216134492414,0.7311095291097,1,1,1,1
Dosinia,exoleta,3.25,9.75,1000:239:2,0.08,1,0.12089253979312,0.62323781896736,1,1,1,1
Dosinia,exoleta,3.75,9.25,1000:239:3,0.07,1,0.11019872538785,0.64825124054478,1,1,1,1
Dosinia,exoleta,3.75,9.75,1000:239:4,0.08,1,0.1215342852288,0.64782373887938,1,1,1,1
Dosinia,exoleta,4.25,5.25,1000:245:1,0.09,1,0.099555760213772,0.94016481362507,1,1,1,1
Dosinia,exoleta,4.25,5.75,1000:245:2,0.09,1,0.10450220459757,0.89126234050935,1,1,1,1
Dosinia,exoleta,4.75,5.25,1000:245:3,0.09,1,0.099221521986544,0.89742394059976,1,1,1,1
Dosinia,exoleta,4.75,5.75,1000:245:4,0.09,1,0.1089441763714,0.86150109472954,1,1,1,1
Dosinia,exoleta,4.25,6.25,1000:246:1,0.10,1,0.11152623199688,0.86997169753105,1,1,1,1
Dosinia,exoleta,4.25,6.75,1000:246:2,0.10,1,0.11656593346872,0.83612849333915,1,1,1,1
Dosinia,exoleta,4.75,6.75,1000:246:4,0.05,0.5,0.11675164370442,0.80335309943819,1,1,1,1
Dosinia,exoleta,4.25,7.25,1000:247:1,0.09,1,0.11759015355648,0.8076705903575,1,1,1,1
Dosinia,exoleta,4.25,7.75,1000:247:2,0.09,1,0.11731902465177,0.78705067774348,1,1,1,1
Dosinia,exoleta,4.75,7.25,1000:247:3,0.05,0.5,0.11856734313,0.77725349835765,1,1,1,1
Dosinia,exoleta,4.75,7.75,1000:247:4,0.09,1,0.11994750783616,0.75243342544445,1,1,1,1
Dosinia,exoleta,4.25,8.25,1000:248:1,0.07,1,0.11465757991039,0.75839245596175,0.78894739284327,1,1,1
Dosinia,exoleta,4.25,8.75,1000:248:2,0.08,1,0.11332786246522,0.70137783380166,1,1,1,1
Dosinia,exoleta,4.75,8.25,1000:248:3,0.09,1,0.12136786956305,0.72796287580185,1,1,1,1
Dosinia,exoleta,4.75,8.75,1000:248:4,0.09,1,0.12752102850863,0.70921110480649,1,1,1,1
Dosinia,exoleta,4.25,9.25,1000:249:1,0.08,1,0.1244566086346,0.67768038839363,1,1,1,1
Dosinia,exoleta,4.25,9.75,1000:249:2,0.08,1,0.12602690524874,0.66941300861546,1,1,1,1
Dosinia,exoleta,5.25,0.25,1000:350:1,0.11,0.67153284671533,0.18776872512287,1,0.89954087313445,1,1,1
Dosinia,exoleta,5.75,0.25,1000:350:3,0.16,1,0.22324380181235,1,0.73371229168625,1,1,1
Dosinia,exoleta,5.75,0.75,1000:350:4,0.16,1,0.19656825492706,1,0.83714472434382,1,1,1
Dosinia,exoleta,5.75,1.25,1000:351:3,0.16,1,0.17084437250714,1,0.96501967114135,1,1,1
Dosinia,exoleta,5.25,4.75,1000:354:2,0.08,0.89051094890511,0.095574848267503,0.95079492424485,1,1,1,1
Dosinia,exoleta,5.75,4.75,1000:354:4,0.08,1,0.099612036042771,0.81907467647882,1,1,1,1
Dosinia,exoleta,6.25,1.25,1000:361:1,0.17,1,0.18237448592835,1,0.95649652213028,1,1,1
Dosinia,exoleta,6.25,1.75,1000:361:2,0.16,1,0.16437868172552,1,1,1,1,1
Dosinia,exoleta,6.25,2.25,1000:362:1,0.14,1,0.14430388761144,0.99741308054726,1,1,1,1
Dosinia,exoleta,6.25,2.75,1000:362:2,0.12,1,0.12817081334845,0.97235754773242,0.99009619320278,1,1,1
Dosinia,exoleta,6.25,3.25,1000:363:1,0.11,1,0.1166603964674,0.95348314590948,0.96729338912527,1,1,1
Dosinia,exoleta,6.25,3.75,1000:363:2,0.10,1,0.10808898475574,0.9346725643929,0.95193485366396,1,1,1
Dosinia,exoleta,6.75,3.25,1000:363:3,0.13,1,0.1388575932751,0.95433633410073,1,1,1,1
Dosinia,exoleta,6.75,3.75,1000:363:4,0.06,0.5,0.13156002514983,0.93261535783934,1,1,1,1
Dosinia,exoleta,6.25,4.25,1000:364:1,0.09,1,0.10222021973171,0.89844426684022,1,1,1,1
Dosinia,exoleta,6.25,4.75,1000:364:2,0.10,1,0.11026746229327,0.87405852051711,1,1,1,1
Dosinia,exoleta,5.25,5.25,1000:455:1,0.09,1,0.10659104277889,0.85844258459793,1,1,1,1
Dosinia,exoleta,5.25,5.75,1000:455:2,0.05,0.5,0.11359879038483,0.82230468099454,1,1,1,1
Dosinia,exoleta,5.75,5.25,1000:455:3,0.09,1,0.11515662592254,0.80981543184824,1,1,1,1
Dosinia,exoleta,5.75,5.75,1000:455:4,0.05,0.5,0.11548262376052,0.81882462285524,1,1,1,1
Dosinia,exoleta,3.25,10.25,1001:130:1,0.04,0.5,0.12883024547324,0.65086024951971,1,1,1,1
Dosinia,exoleta,38.75,1.25,1300:381:3,0.17,1,0.95141122414013,1,0.17421052644127,1,1,1
Dosinia,exoleta,38.75,1.75,1300:381:4,0.13,1,0.94740317920488,1,0.14210526390295,1,1,1
Dosinia,exoleta,39.25,1.25,1300:391:1,0.18,1,0.97220876068662,0.98127010649283,0.18947367801478,1,1,1
Dosinia,exoleta,39.25,1.75,1300:391:2,0.16,1,0.95937063621143,0.97844621776478,0.16999999870007,1,1,1
Dosinia,exoleta,39.25,2.25,1300:392:1,0.09,0.62773722627737,0.95028269278363,1,0.15421052732946,1,1,1
Dosinia,exoleta,39.25,2.75,1300:392:2,0.14,1,0.9516353225306,1,0.14894735999405,1,1,1
Dosinia,exoleta,39.75,2.25,1300:392:3,0.16,1,0.96661233047791,0.93683225918659,0.17631577499407,1,1,1
Dosinia,exoleta,39.75,2.75,1300:392:4,0.15,1,0.97173483781241,0.92072107095633,0.1684884989242,1,1,1
Dosinia,exoleta,39.25,3.25,1300:393:1,0.13,1,0.95738631028395,0.98373784428151,0.13421052821765,1,1,1
Dosinia,exoleta,39.25,3.75,1300:393:2,0.01,0.087591240875912,0.96100946874588,0.96878794442235,0.13684209656755,1,1,1
Dosinia,exoleta,39.75,3.25,1300:393:3,0.11,1,0.97634543608816,0.88662679216504,0.13210524902924,1,1,1
Dosinia,exoleta,39.75,3.75,1300:393:4,0.13,1,0.97665113443067,0.89939421257089,0.14999999958826,1,1,1
Dosinia,exoleta,39.75,4.25,1300:394:3,0.16,1,0.98651749316457,0.89886758179792,0.18210526212658,1,1,1
Dosinia,exoleta,37.75,8.75,1300:478:4,0.11,1,0.96684044857045,0.92470793597465,0.11894736132634,1,1,1
Dosinia,exoleta,37.75,9.25,1300:479:3,0.10,0.8978102189781,0.97311540448879,0.90297428907544,0.13210524902924,1,1,1
Dosinia,exoleta,37.75,9.75,1300:479:4,0.05,0.43065693430657,0.97302335331136,0.89430682427062,0.13263156882634,1,1,1
Dosinia,exoleta,38.75,8.25,1300:488:3,0.08,1,1,0.77173519978482,0.10947368156753,1,1,1
Dosinia,exoleta,38.75,8.75,1300:488:4,0.12,1,1,0.74410058755792,0.16421051156756,1,1,1
Dosinia,exoleta,38.75,9.25,1300:489:3,0.09,1,1,0.71319478802978,0.12631579253234,1,1,1
Dosinia,exoleta,39.25,8.25,1300:498:1,0.12,1,1,0.73848656848469,0.15684209567936,1,1,1
Dosinia,exoleta,39.25,8.75,1300:498:2,0.15,1,1,0.70991516113283,0.20825799481061,1,1,1
Dosinia,exoleta,39.75,8.25,1300:498:3,0.13,1,1,0.72627953723469,0.18473683047648,1,1,1
Dosinia,exoleta,39.75,8.75,1300:498:4,0.17,1,1,0.68808023908496,0.24262839315557,1,1,1
Dosinia,exoleta,39.25,9.25,1300:499:1,0.18,1,1,0.67242985278106,0.26631578631503,1,1,1
Dosinia,exoleta,39.25,9.75,1300:499:2,0.15,1,0.99263728858296,0.66915191380323,0.2252631484972,1,1,1
Dosinia,exoleta,39.75,9.75,1300:499:4,0.16,1,0.98346553436698,0.61801471541412,0.26368421796513,1,1,1
Dosinia,exoleta,32.75,12.25,1301:122:3,0.17,1,0.74287229644486,0.6474891595081,0.34429233129087,1,1,1
Dosinia,exoleta,32.75,12.75,1301:122:4,0.14,1,0.74819337706169,0.62160491943358,0.2921468757191,1,1,1
Dosinia,exoleta,32.75,13.25,1301:123:3,0.11,1,0.75433005522878,0.59515016268841,0.25132461769604,1,1,1
Dosinia,exoleta,32.75,13.75,1301:123:4,0.10,1,0.75875112455185,0.5616956052527,0.22306280700784,1,1,1
Dosinia,exoleta,32.25,14.75,1301:124:2,0.09,1,0.74658388835236,0.54347620601146,0.22075686456734,1,1,1
Dosinia,exoleta,32.75,14.25,1301:124:3,0.08,1,0.75932714785866,0.50938530305845,0.20526314938539,1,1,1
Dosinia,exoleta,32.75,14.75,1301:124:4,0.07,1,0.74561795394464,0.45663107812934,0.20210526123839,1,1,1
Dosinia,exoleta,33.75,10.25,1301:130:3,0.18,1,0.76519752076353,0.48580000885819,0.48210527943937,1,1,1
Dosinia,exoleta,33.75,10.75,1301:130:4,0.17,1,0.75416605138427,0.57273797229327,0.3894736691329,1,1,1
Dosinia,exoleta,33.25,11.25,1301:131:1,0.16,1,0.74374778755597,0.63925717784239,0.33947368667118,1,1,1
Dosinia,exoleta,33.25,11.75,1301:131:2,0.14,1,0.76920335486264,0.64088770773558,0.28315789727984,1,1,1
Dosinia,exoleta,33.75,11.25,1301:131:3,0.13,1,0.75946683250564,0.63225231339447,0.27947368933574,1,1,1
Dosinia,exoleta,33.75,11.75,1301:131:4,0.09,0.92700729927007,0.77872502414394,0.63769078887668,0.20000001268559,1,1,1
Dosinia,exoleta,33.25,12.25,1301:132:1,0.09,1,0.77658453279099,0.62390555322699,0.18894735821768,1,1,1
Dosinia,exoleta,33.25,12.75,1301:132:2,0.08,0.89051094890511,0.77425591938112,0.60692002288009,0.18842103842058,1,1,1
Dosinia,exoleta,33.75,12.25,1301:132:3,0.06,0.82481751824818,0.78002378988316,0.61556216889779,0.15894737486777,1,1,1
