Mapping parameters for Echiichthys vipera (Lesser weever)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,59,20,-19,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,6.38,10.64,19.26,23.1
Salinity (psu),1,27.57,32.96,37.67,39.21
Primary Production (mgC·m-3·day-1) ,1,0.26,1.76,22.96,48.18
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,179.72,234.71,292.38,333.94
Distance to Land (km),0,0,6,172,708
 

Map data (HSPEC) for predicted occurrences (n = 1142): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Echiichthys,vipera,38.75,1.25,1300:381:3,0.17
Echiichthys,vipera,38.75,1.75,1300:381:4,0.14
Echiichthys,vipera,39.25,1.75,1300:391:2,0.17
Echiichthys,vipera,39.25,2.75,1300:392:2,0.15
Echiichthys,vipera,39.75,2.25,1300:392:3,0.18
Echiichthys,vipera,39.75,2.75,1300:392:4,0.18
Echiichthys,vipera,39.25,3.25,1300:393:1,0.14
Echiichthys,vipera,39.75,3.25,1300:393:3,0.14
Echiichthys,vipera,39.75,3.75,1300:393:4,0.16
Echiichthys,vipera,37.75,8.75,1300:478:4,0.12
Echiichthys,vipera,37.75,9.25,1300:479:3,0.13
Echiichthys,vipera,38.75,8.25,1300:488:3,0.13
Echiichthys,vipera,38.75,9.25,1300:489:3,0.15
Echiichthys,vipera,39.25,8.25,1300:498:1,0.19
Echiichthys,vipera,32.75,12.25,1301:122:3,0.12
Echiichthys,vipera,32.75,12.75,1301:122:4,0.10
Echiichthys,vipera,32.75,13.25,1301:123:3,0.09
Echiichthys,vipera,32.75,13.75,1301:123:4,0.07
Echiichthys,vipera,32.25,14.75,1301:124:2,0.06
Echiichthys,vipera,32.75,14.25,1301:124:3,0.06
Echiichthys,vipera,32.75,14.75,1301:124:4,0.05
Echiichthys,vipera,33.75,10.25,1301:130:3,0.15
Echiichthys,vipera,33.75,10.75,1301:130:4,0.13
Echiichthys,vipera,33.25,11.25,1301:131:1,0.12
Echiichthys,vipera,33.25,11.75,1301:131:2,0.12
Echiichthys,vipera,33.75,11.25,1301:131:3,0.11
Echiichthys,vipera,33.75,11.75,1301:131:4,0.09
Echiichthys,vipera,33.25,12.25,1301:132:1,0.08
Echiichthys,vipera,33.25,12.75,1301:132:2,0.07
Echiichthys,vipera,33.75,12.25,1301:132:3,0.04
Echiichthys,vipera,33.25,13.25,1301:133:1,0.05
Echiichthys,vipera,34.25,10.25,1301:140:1,0.16
Echiichthys,vipera,34.25,10.75,1301:140:2,0.14
Echiichthys,vipera,34.75,10.25,1301:140:3,0.04
Echiichthys,vipera,34.25,11.25,1301:141:1,0.10
Echiichthys,vipera,34.25,11.75,1301:141:2,0.05
Echiichthys,vipera,34.75,11.75,1301:141:4,0.13
Echiichthys,vipera,34.75,12.25,1301:142:3,0.10
Echiichthys,vipera,34.75,12.75,1301:142:4,0.04
Echiichthys,vipera,30.75,17.75,1301:207:4,0.08
Echiichthys,vipera,30.25,18.75,1301:208:2,0.08
Echiichthys,vipera,30.75,18.25,1301:208:3,0.08
Echiichthys,vipera,30.75,18.75,1301:208:4,0.06
Echiichthys,vipera,30.25,19.25,1301:209:1,0.08
Echiichthys,vipera,30.25,19.75,1301:209:2,0.08
Echiichthys,vipera,30.75,19.75,1301:209:4,0.07
Echiichthys,vipera,31.25,15.75,1301:215:2,0.08
Echiichthys,vipera,31.75,15.25,1301:215:3,0.07
Echiichthys,vipera,31.75,15.75,1301:215:4,0.06
Echiichthys,vipera,31.25,16.25,1301:216:1,0.06
Echiichthys,vipera,31.25,16.75,1301:216:2,0.04
Echiichthys,vipera,31.25,17.25,1301:217:1,0.04
Echiichthys,vipera,31.25,17.75,1301:217:2,0.04
Echiichthys,vipera,31.25,18.25,1301:218:1,0.03
Echiichthys,vipera,31.25,19.75,1301:219:2,0.07
Echiichthys,vipera,31.75,19.75,1301:219:4,0.05
Echiichthys,vipera,32.25,15.25,1301:225:1,0.04
Echiichthys,vipera,32.25,15.75,1301:225:2,0.04
Echiichthys,vipera,32.25,19.75,1301:229:2,0.05
Echiichthys,vipera,35.25,10.75,1301:350:2,0.11
Echiichthys,vipera,35.25,11.75,1301:351:2,0.13
Echiichthys,vipera,35.75,11.25,1301:351:3,0.19
Echiichthys,vipera,35.75,11.75,1301:351:4,0.11
Echiichthys,vipera,35.25,12.25,1301:352:1,0.12
Echiichthys,vipera,35.25,12.75,1301:352:2,0.11
Echiichthys,vipera,35.75,12.25,1301:352:3,0.12
Echiichthys,vipera,35.75,12.75,1301:352:4,0.12
Echiichthys,vipera,35.75,14.25,1301:354:3,0.14
Echiichthys,vipera,35.75,14.75,1301:354:4,0.14
Echiichthys,vipera,36.25,10.25,1301:360:1,0.15
Echiichthys,vipera,36.25,11.25,1301:361:1,0.12
Echiichthys,vipera,36.75,11.25,1301:361:3,0.13
Echiichthys,vipera,36.75,11.75,1301:361:4,0.13
Echiichthys,vipera,36.75,12.25,1301:362:3,0.15
Echiichthys,vipera,36.25,14.25,1301:364:1,0.17
Echiichthys,vipera,37.25,11.25,1301:371:1,0.12
Echiichthys,vipera,37.25,12.75,1301:372:2,0.07
Echiichthys,vipera,37.75,12.25,1301:372:3,0.16
Echiichthys,vipera,37.75,12.75,1301:372:4,0.18
Echiichthys,vipera,37.75,13.25,1301:373:3,0.18
Echiichthys,vipera,38.25,12.25,1301:382:1,0.15
Echiichthys,vipera,38.25,12.75,1301:382:2,0.19
Echiichthys,vipera,38.25,13.25,1301:383:1,0.14
Echiichthys,vipera,38.25,13.75,1301:383:2,0.12
Echiichthys,vipera,38.25,14.25,1301:384:1,0.13
Echiichthys,vipera,38.25,14.75,1301:384:2,0.12
Echiichthys,vipera,38.75,14.25,1301:384:3,0.10
Echiichthys,vipera,38.75,14.75,1301:384:4,0.10
Echiichthys,vipera,36.75,15.25,1301:465:3,0.19
Echiichthys,vipera,37.25,15.25,1301:475:1,0.18
Echiichthys,vipera,37.75,16.25,1301:476:3,0.14
Echiichthys,vipera,38.25,15.25,1301:485:1,0.18
