Mapping parameters for Echinocardium cordatum (cardiac sea potato)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  81,
Bounding Box (NSWE): ,72,-41,-32,179

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,25,109,230
Temperature (°C),1,3.72,9.77,18.05,28.06
Salinity (psu),1,5.21,30.19,35.56,39.19
Primary Production (mgC·m-3·day-1) ,1,0.24,2.68,22.29,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,84.58,230.73,294.08,408.48
Distance to Land (km),0,0,4,189,594
 

Map data (HSPEC) for predicted occurrences (n = 6005): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Echinocardium,cordatum,0.25,6.75,1000:206:2,0.08
Echinocardium,cordatum,0.25,8.75,1000:208:2,0.07
Echinocardium,cordatum,0.75,8.75,1000:208:4,0.05
Echinocardium,cordatum,0.25,9.25,1000:209:1,0.06
Echinocardium,cordatum,0.25,9.75,1000:209:2,0.06
Echinocardium,cordatum,0.75,9.25,1000:209:3,0.05
Echinocardium,cordatum,0.75,9.75,1000:209:4,0.05
Echinocardium,cordatum,1.25,7.25,1000:217:1,0.04
Echinocardium,cordatum,1.75,7.25,1000:217:3,0.03
Echinocardium,cordatum,1.75,7.75,1000:217:4,0.03
Echinocardium,cordatum,1.25,9.25,1000:219:1,0.04
Echinocardium,cordatum,1.25,9.75,1000:219:2,0.04
Echinocardium,cordatum,1.75,9.25,1000:219:3,0.01
Echinocardium,cordatum,1.75,9.75,1000:219:4,0.03
Echinocardium,cordatum,2.25,9.75,1000:229:2,0.02
Echinocardium,cordatum,2.75,9.75,1000:229:4,0.02
Echinocardium,cordatum,3.75,6.25,1000:236:3,0.01
Echinocardium,cordatum,3.75,6.75,1000:236:4,0.01
Echinocardium,cordatum,3.75,8.75,1000:238:4,0.01
Echinocardium,cordatum,3.25,9.25,1000:239:1,0.01
Echinocardium,cordatum,3.25,9.75,1000:239:2,0.01
Echinocardium,cordatum,3.75,9.25,1000:239:3,0.01
Echinocardium,cordatum,3.75,9.75,1000:239:4,0.02
Echinocardium,cordatum,4.25,5.75,1000:245:2,0.01
Echinocardium,cordatum,4.75,5.75,1000:245:4,0.01
Echinocardium,cordatum,4.25,6.25,1000:246:1,0.01
Echinocardium,cordatum,4.25,6.75,1000:246:2,0.02
Echinocardium,cordatum,4.25,7.25,1000:247:1,0.02
Echinocardium,cordatum,4.25,7.75,1000:247:2,0.01
Echinocardium,cordatum,4.75,7.75,1000:247:4,0.02
Echinocardium,cordatum,4.25,8.25,1000:248:1,0.01
Echinocardium,cordatum,4.25,8.75,1000:248:2,0.01
Echinocardium,cordatum,4.75,8.25,1000:248:3,0.02
Echinocardium,cordatum,4.75,8.75,1000:248:4,0.02
Echinocardium,cordatum,4.25,9.25,1000:249:1,0.02
Echinocardium,cordatum,5.25,0.25,1000:350:1,0.07
Echinocardium,cordatum,5.75,0.25,1000:350:3,0.07
Echinocardium,cordatum,5.75,0.75,1000:350:4,0.07
Echinocardium,cordatum,5.75,1.25,1000:351:3,0.07
Echinocardium,cordatum,6.25,1.25,1000:361:1,0.08
Echinocardium,cordatum,6.25,1.75,1000:361:2,0.06
Echinocardium,cordatum,6.25,2.25,1000:362:1,0.04
Echinocardium,cordatum,6.25,2.75,1000:362:2,0.03
Echinocardium,cordatum,6.25,3.25,1000:363:1,0.02
Echinocardium,cordatum,6.25,3.75,1000:363:2,0.01
