Mapping parameters for Elassodiscus obscurus ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,161,600,1290,1773
Temperature (°C),1,3.17,4.71,8.52,9.54
Salinity (psu),1,31.43,31.93,32.93,33.43
Primary Production (mgC·m-3·day-1) ,1,7.43,8.43,18.09,27.39
Sea Ice Concentration (0-1 fraction),1,0,0,0.1,0.14
Dissolved Bottom Oxygen (mmol·m-3),0,40.8,44.01,121.13,227.98
Distance to Land (km),0,16,40.3,127.3,170.5
 

Map data (HSPEC) for predicted occurrences (n = 402): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Elassodiscus,obscurus,43.25,132.25,1413:132:1,0.05
Elassodiscus,obscurus,47.25,138.75,1413:478:2,0.07
Elassodiscus,obscurus,42.25,143.75,1414:123:2,0.10
Elassodiscus,obscurus,42.75,143.25,1414:123:3,0.03
Elassodiscus,obscurus,44.75,142.75,1414:142:4,0.19
Elassodiscus,obscurus,44.25,143.75,1414:143:2,0.02
Elassodiscus,obscurus,44.75,143.25,1414:143:3,0.15
Elassodiscus,obscurus,43.25,145.25,1414:235:1,0.09
Elassodiscus,obscurus,43.75,145.25,1414:235:3,0.03
Elassodiscus,obscurus,45.25,142.25,1414:352:1,0.05
Elassodiscus,obscurus,45.25,142.75,1414:352:2,0.01
Elassodiscus,obscurus,45.75,142.75,1414:352:4,0.01
Elassodiscus,obscurus,45.25,143.25,1414:353:1,0.10
Elassodiscus,obscurus,46.25,141.75,1414:361:2,0.06
Elassodiscus,obscurus,46.25,142.75,1414:362:2,0.02
Elassodiscus,obscurus,46.75,142.75,1414:362:4,0.13
Elassodiscus,obscurus,46.25,143.25,1414:363:1,0.04
Elassodiscus,obscurus,46.75,143.25,1414:363:3,0.01
Elassodiscus,obscurus,47.75,142.25,1414:372:3,0.12
Elassodiscus,obscurus,47.25,143.25,1414:373:1,0.06
Elassodiscus,obscurus,47.75,143.25,1414:373:3,0.19
Elassodiscus,obscurus,47.25,144.75,1414:374:2,0.03
Elassodiscus,obscurus,48.25,143.75,1414:383:2,0.13
Elassodiscus,obscurus,48.25,144.75,1414:384:2,0.15
Elassodiscus,obscurus,47.25,145.75,1414:475:2,0.03
Elassodiscus,obscurus,48.25,145.25,1414:485:1,0.15
Elassodiscus,obscurus,49.25,146.25,1414:496:1,0.14
Elassodiscus,obscurus,46.25,151.75,1415:361:2,0.09
Elassodiscus,obscurus,49.75,153.75,1415:393:4,0.11
Elassodiscus,obscurus,49.25,156.75,1415:496:2,0.02
Elassodiscus,obscurus,56.25,138.25,1513:468:1,0.02
Elassodiscus,obscurus,56.75,138.75,1513:468:4,0.08
Elassodiscus,obscurus,57.25,139.25,1513:479:1,0.08
Elassodiscus,obscurus,57.25,139.75,1513:479:2,0.04
Elassodiscus,obscurus,57.75,139.75,1513:479:4,0.01
Elassodiscus,obscurus,53.25,144.75,1514:134:2,0.16
Elassodiscus,obscurus,54.75,144.25,1514:144:3,0.04
Elassodiscus,obscurus,51.25,145.75,1514:215:2,0.02
Elassodiscus,obscurus,52.25,145.25,1514:225:1,0.11
Elassodiscus,obscurus,52.25,145.75,1514:225:2,0.03
Elassodiscus,obscurus,55.25,144.25,1514:354:1,0.09
Elassodiscus,obscurus,57.75,140.25,1514:370:3,0.05
Elassodiscus,obscurus,58.25,140.75,1514:380:2,0.04
Elassodiscus,obscurus,59.25,143.75,1514:393:2,0.01
Elassodiscus,obscurus,59.25,144.75,1514:394:2,0.03
Elassodiscus,obscurus,59.25,145.25,1514:495:1,0.03
Elassodiscus,obscurus,59.25,145.75,1514:495:2,0.03
Elassodiscus,obscurus,59.25,146.25,1514:496:1,0.07
Elassodiscus,obscurus,59.25,146.75,1514:496:2,0.04
Elassodiscus,obscurus,51.75,154.25,1515:114:3,0.09
Elassodiscus,obscurus,52.75,153.75,1515:123:4,0.05
Elassodiscus,obscurus,53.25,153.75,1515:133:2,0.12
Elassodiscus,obscurus,53.25,154.25,1515:134:1,0.19
Elassodiscus,obscurus,53.75,154.75,1515:134:4,0.03
Elassodiscus,obscurus,54.75,153.75,1515:143:4,0.05
Elassodiscus,obscurus,50.25,155.75,1515:205:2,0.18
Elassodiscus,obscurus,50.25,156.25,1515:206:1,0.09
Elassodiscus,obscurus,50.75,156.25,1515:206:3,0.03
Elassodiscus,obscurus,50.25,158.25,1515:208:1,0.11
Elassodiscus,obscurus,51.25,157.75,1515:217:2,0.01
Elassodiscus,obscurus,51.75,159.25,1515:219:3,0.07
Elassodiscus,obscurus,52.75,155.75,1515:225:4,0.09
Elassodiscus,obscurus,52.25,156.25,1515:226:1,0.06
Elassodiscus,obscurus,53.75,155.25,1515:235:3,0.08
