Mapping parameters for Enchelyopus cimbrius (Fourbeard rockling)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  61 ,
Bounding Box (NSWE): ,73,20,-99,32

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,20,650,900
Temperature (°C),1,1.4,5.83,13.14,27.15
Salinity (psu),1,5.7,21.01,35.18,36.41
Primary Production (mgC·m-3·day-1) ,1,0.4,2.73,17.28,94.13
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.02,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,174.26,332.98,408.48
Distance to Land (km),0,0,10,225,678
 

Map data (HSPEC) for predicted occurrences (n = 3684): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Enchelyopus,cimbrius,53.75,13.75,1501:133:4,0.14,1,1,0.14359459232303,0.94977277034897,1,1,1
Enchelyopus,cimbrius,53.75,14.25,1501:134:3,0.08,1,1,0.088462063411262,0.87247886210971,1,1,1
Enchelyopus,cimbrius,53.75,14.75,1501:134:4,0.13,1,1,0.13251412389794,0.99449668606924,1,1,1
Enchelyopus,cimbrius,54.25,12.25,1501:142:1,0.17,1,1,0.18657917294294,0.89442062451476,1,1,1
Enchelyopus,cimbrius,54.25,12.75,1501:142:2,0.15,1,1,0.15191364101457,1,1,1,1
Enchelyopus,cimbrius,54.75,12.25,1501:142:3,0.09,1,1,0.15085818329954,0.628326176286,1,1,1
Enchelyopus,cimbrius,54.75,12.75,1501:142:4,0.06,1,1,0.1289264459691,0.48969956050935,1,1,1
Enchelyopus,cimbrius,54.25,13.25,1501:143:1,0.12,1,1,0.11537100270556,1,1,1,1
Enchelyopus,cimbrius,54.25,13.75,1501:143:2,0.10,1,1,0.10319816918252,1,1,1,1
Enchelyopus,cimbrius,54.75,13.25,1501:143:3,0.05,1,1,0.11820246860297,0.39699569144666,1,1,1
Enchelyopus,cimbrius,54.75,13.75,1501:143:4,0.03,1,1,0.11089184796553,0.28111588010013,1,1,1
Enchelyopus,cimbrius,54.25,14.25,1501:144:1,0.10,1,1,0.10135775216649,1,1,1,1
Enchelyopus,cimbrius,54.25,14.75,1501:144:2,0.10,1,1,0.097504247644227,1,1,1,1
Enchelyopus,cimbrius,54.75,14.25,1501:144:3,0.03,1,1,0.10361822814742,0.28755364739716,1,1,1
Enchelyopus,cimbrius,54.75,14.75,1501:144:4,0.01,1,1,0.099333047399639,0.14163091367055,1,1,1
Enchelyopus,cimbrius,54.25,15.25,1501:245:1,0.09,1,1,0.095915018850335,0.88841199507145,1,1,1
Enchelyopus,cimbrius,54.25,15.75,1501:245:2,0.07,1,1,0.096145713352674,0.74592273890205,1,1,1
Enchelyopus,cimbrius,54.75,15.25,1501:245:3,0.01,1,1,0.097886215698322,0.082832607380694,1,1,1
Enchelyopus,cimbrius,54.75,15.75,1501:245:4,0.01,1,1,0.097933837123201,0.12188842396208,1,1,1
Enchelyopus,cimbrius,54.25,16.25,1501:246:1,0.11,1,1,0.11108937254145,1,1,1,1
