Mapping parameters for Encrasicholina purpurea (Nehu)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,25,14,-165,-143

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.87,25.37,25.49,29.69
Salinity (psu),1,34.5,35,35.16,35.66
Primary Production (mgC·m-3·day-1) ,1,-0.33,0.67,1.19,2.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,40.44,52.83,177.17,259.61
Distance to Land (km),0,20.4,21.4,117.4,224.5
 

Map data (HSPEC) for predicted occurrences (n = 35): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Encrasicholina,purpurea,21.25,-156.25,7215:216:1,0.17
Encrasicholina,purpurea,22.75,-161.25,7216:121:3,0.14
Encrasicholina,purpurea,23.25,-164.75,7216:134:2,0.11
Encrasicholina,purpurea,19.75,-154.75,7115:394:4,0.36
Encrasicholina,purpurea,19.25,-155.25,7115:495:1,0.39
Encrasicholina,purpurea,20.25,-155.25,7215:205:1,0.36
Encrasicholina,purpurea,20.75,-157.75,7215:207:4,0.26
Encrasicholina,purpurea,23.75,-164.25,7216:134:3,0.24
Encrasicholina,purpurea,19.25,-154.75,7115:394:2,0.46
Encrasicholina,purpurea,18.75,-155.75,7115:485:4,0.52
Encrasicholina,purpurea,19.25,-155.75,7115:495:2,0.49
Encrasicholina,purpurea,19.75,-155.25,7115:495:3,0.41
Encrasicholina,purpurea,19.75,-155.75,7115:495:4,0.53
Encrasicholina,purpurea,20.25,-155.75,7215:205:2,0.51
Encrasicholina,purpurea,20.75,-155.75,7215:205:4,0.47
Encrasicholina,purpurea,21.25,-156.75,7215:216:2,0.48
Encrasicholina,purpurea,21.75,-157.75,7215:217:4,0.46
Encrasicholina,purpurea,23.25,-161.75,7216:131:2,0.56
Encrasicholina,purpurea,23.25,-162.25,7216:132:1,0.59
Encrasicholina,purpurea,20.75,-156.25,7215:206:3,0.71
Encrasicholina,purpurea,22.25,-159.25,7215:229:1,0.70
Encrasicholina,purpurea,22.75,-162.25,7216:122:3,0.74
Encrasicholina,purpurea,23.25,-164.25,7216:134:1,0.63
Encrasicholina,purpurea,23.75,-164.75,7216:134:4,0.60
Encrasicholina,purpurea,20.75,-156.75,7215:206:4,0.89
Encrasicholina,purpurea,21.25,-157.25,7215:217:1,0.87
Encrasicholina,purpurea,21.25,-157.75,7215:217:2,1.00
Encrasicholina,purpurea,21.25,-158.25,7215:218:1,0.96
Encrasicholina,purpurea,21.75,-158.25,7215:218:3,0.93
Encrasicholina,purpurea,21.75,-159.25,7215:219:3,1.00
Encrasicholina,purpurea,21.75,-159.75,7215:219:4,0.99
Encrasicholina,purpurea,22.25,-159.75,7215:229:2,0.95
Encrasicholina,purpurea,21.75,-160.25,7216:110:3,0.97
Encrasicholina,purpurea,22.25,-160.25,7216:120:1,1.00
Encrasicholina,purpurea,22.75,-160.75,7216:120:4,0.86


Occurrence cells used for creating environmental envelope (n = 5)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Encrasicholina,purpurea,20.75,-156.75,7215:206:4,259,25.4630069732666,16.0558032989502,34.9669609069824,34.8188095092773,1.23900000471622,0,197.487655639648,21
Encrasicholina,purpurea,21.25,-157.75,7215:217:2,404,25.4346237182617,6.68282079696655,35.0475082397461,34.1257133483887,1.01500004529953,0,87.3426895141602,22
Encrasicholina,purpurea,21.75,-158.25,7215:218:3,1551,25.3341274261475,4.43963813781738,35.0824737548828,34.3997497558594,1.12699996680021,0,40.4415283203125,24
Encrasicholina,purpurea,21.75,-158.75,7215:218:4,2642,25.5039672851563,2.73309588432312,35.0794944763184,34.5752449035645,0.921000028029084,0,71.4174346923828,103
Encrasicholina,purpurea,22.75,-162.25,7216:122:3,3205,25.4495182037354,1.20264995098114,35.213436126709,34.6777572631836,0.49900001613423195,0,146.695266723633,127
