Mapping parameters for Enoploteuthis leptura (hooked enope squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  34 |  41 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,215,683,1620
Temperature (°C),1,2.66,18.36,27.85,32.05
Salinity (psu),1,21.03,29.62,36.55,39.34
Primary Production (mgC·m-3·day-1) ,1,-0.45,0.55,27.88,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,143.1,266.06,358.8
Distance to Land (km),0,14,20,440,844
 

Map data (HSPEC) for predicted occurrences (n = 33953): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Enoploteuthis,leptura,70.25,-10.75,7701:100:2,0.01
Enoploteuthis,leptura,70.25,-10.25,7701:100:1,0.02
Enoploteuthis,leptura,71.25,-6.25,7700:216:1,0.01
Enoploteuthis,leptura,71.25,-5.75,7700:215:2,0.02
Enoploteuthis,leptura,71.25,-5.25,7700:215:1,0.04
Enoploteuthis,leptura,70.25,-9.75,7700:209:2,0.02
Enoploteuthis,leptura,70.25,-9.25,7700:209:1,0.03
Enoploteuthis,leptura,70.75,-8.25,7700:208:3,0.01
Enoploteuthis,leptura,70.25,-8.75,7700:208:2,0.04
Enoploteuthis,leptura,70.25,-8.25,7700:208:1,0.05
Enoploteuthis,leptura,70.75,-7.75,7700:207:4,0.03
Enoploteuthis,leptura,70.75,-7.25,7700:207:3,0.04
Enoploteuthis,leptura,70.25,-7.75,7700:207:2,0.08
Enoploteuthis,leptura,70.25,-7.25,7700:207:1,0.11
Enoploteuthis,leptura,70.75,-6.75,7700:206:4,0.07
Enoploteuthis,leptura,70.75,-6.25,7700:206:3,0.09
