Mapping parameters for Enteroctopus dofleini (North Pacific giant octopus)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  51 |  61 |  67 |  77,
Bounding Box (NSWE): ,67,22,127,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,197,636,1500
Temperature (°C),1,2.37,5.51,14.21,22.55
Salinity (psu),1,20.46,25.75,33.09,36.3
Primary Production (mgC·m-3·day-1) ,1,4.42,8.14,50.87,81.53
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.21
Dissolved Bottom Oxygen (mmol·m-3),0,10,43.19,298.32,353.35
Distance to Land (km),0,0,4,124,357
 

Map data (HSPEC) for predicted occurrences (n = 2598): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Enteroctopus,dofleini,30.75,127.25,1312:207:3,0.01
Enteroctopus,dofleini,31.25,127.25,1312:217:1,0.03
Enteroctopus,dofleini,31.75,127.25,1312:217:3,0.04
Enteroctopus,dofleini,31.75,127.75,1312:217:4,0.01
Enteroctopus,dofleini,31.75,129.75,1312:219:4,0.02
Enteroctopus,dofleini,32.25,127.25,1312:227:1,0.05
Enteroctopus,dofleini,32.25,127.75,1312:227:2,0.04
Enteroctopus,dofleini,32.75,127.25,1312:227:3,0.08
Enteroctopus,dofleini,32.75,127.75,1312:227:4,0.07
Enteroctopus,dofleini,32.25,128.25,1312:228:1,0.04
Enteroctopus,dofleini,32.25,128.75,1312:228:2,0.04
Enteroctopus,dofleini,32.75,128.25,1312:228:3,0.10
Enteroctopus,dofleini,32.75,128.75,1312:228:4,0.11
Enteroctopus,dofleini,32.25,129.25,1312:229:1,0.05
Enteroctopus,dofleini,32.25,129.75,1312:229:2,0.09
Enteroctopus,dofleini,32.75,129.25,1312:229:3,0.13
Enteroctopus,dofleini,32.75,129.75,1312:229:4,0.17
Enteroctopus,dofleini,33.25,127.25,1312:237:1,0.11
Enteroctopus,dofleini,33.25,127.75,1312:237:2,0.10
Enteroctopus,dofleini,33.75,127.75,1312:237:4,0.17
Enteroctopus,dofleini,33.25,128.25,1312:238:1,0.13
Enteroctopus,dofleini,33.25,128.75,1312:238:2,0.17
Enteroctopus,dofleini,33.75,128.25,1312:238:3,0.14
Enteroctopus,dofleini,33.75,128.75,1312:238:4,0.13
Enteroctopus,dofleini,33.25,129.25,1312:239:1,0.16
Enteroctopus,dofleini,33.25,129.75,1312:239:2,0.07
Enteroctopus,dofleini,33.75,129.25,1312:239:3,0.16
Enteroctopus,dofleini,33.75,129.75,1312:239:4,0.14
Enteroctopus,dofleini,34.25,127.25,1312:247:1,0.19
Enteroctopus,dofleini,34.25,127.75,1312:247:2,0.17
Enteroctopus,dofleini,34.75,127.25,1312:247:3,0.14
Enteroctopus,dofleini,34.75,127.75,1312:247:4,0.15
Enteroctopus,dofleini,35.25,128.25,1312:458:1,0.01
Enteroctopus,dofleini,38.75,127.75,1312:487:4,0.13
Enteroctopus,dofleini,38.25,128.25,1312:488:1,0.01
Enteroctopus,dofleini,38.25,129.75,1312:489:2,0.19
Enteroctopus,dofleini,38.75,129.25,1312:489:3,0.10
Enteroctopus,dofleini,38.75,129.75,1312:489:4,0.16
Enteroctopus,dofleini,39.25,129.75,1312:499:2,0.10
Enteroctopus,dofleini,39.75,129.75,1312:499:4,0.11
Enteroctopus,dofleini,31.75,130.25,1313:110:3,0.02
Enteroctopus,dofleini,31.75,130.75,1313:110:4,0.01
Enteroctopus,dofleini,32.25,130.25,1313:120:1,0.07
Enteroctopus,dofleini,32.25,130.75,1313:120:2,0.01
Enteroctopus,dofleini,32.75,130.25,1313:120:3,0.19
Enteroctopus,dofleini,32.75,130.75,1313:120:4,0.06
Enteroctopus,dofleini,32.75,131.75,1313:121:4,0.05
Enteroctopus,dofleini,33.75,130.25,1313:130:3,0.11
Enteroctopus,dofleini,33.75,130.75,1313:130:4,0.05
Enteroctopus,dofleini,33.75,131.25,1313:131:3,0.19
Enteroctopus,dofleini,33.25,132.25,1313:132:1,0.18
Enteroctopus,dofleini,33.75,132.75,1313:132:4,0.11
Enteroctopus,dofleini,33.25,133.25,1313:133:1,0.02
Enteroctopus,dofleini,33.75,133.25,1313:133:3,0.08
Enteroctopus,dofleini,33.75,133.75,1313:133:4,0.10
Enteroctopus,dofleini,33.75,134.25,1313:134:3,0.10
Enteroctopus,dofleini,33.75,134.75,1313:134:4,0.09
Enteroctopus,dofleini,34.25,130.25,1313:140:1,0.17
Enteroctopus,dofleini,34.25,130.75,1313:140:2,0.16
Enteroctopus,dofleini,34.25,131.25,1313:141:1,0.07
Enteroctopus,dofleini,34.75,132.25,1313:142:3,0.19
Enteroctopus,dofleini,34.25,133.75,1313:143:2,0.17
Enteroctopus,dofleini,34.75,133.75,1313:143:4,0.01
Enteroctopus,dofleini,34.25,134.25,1313:144:1,0.14
Enteroctopus,dofleini,34.75,134.75,1313:144:4,0.08
Enteroctopus,dofleini,33.75,135.25,1313:235:3,0.04
Enteroctopus,dofleini,33.75,135.75,1313:235:4,0.06
Enteroctopus,dofleini,33.75,136.25,1313:236:3,0.09
Enteroctopus,dofleini,33.75,136.75,1313:236:4,0.05
Enteroctopus,dofleini,33.75,137.25,1313:237:3,0.05
Enteroctopus,dofleini,33.75,137.75,1313:237:4,0.01
Enteroctopus,dofleini,33.75,138.25,1313:238:3,0.01
Enteroctopus,dofleini,33.75,138.75,1313:238:4,0.04
Enteroctopus,dofleini,33.75,139.25,1313:239:3,0.01
Enteroctopus,dofleini,34.25,135.25,1313:245:1,0.08
Enteroctopus,dofleini,34.75,135.25,1313:245:3,0.01
Enteroctopus,dofleini,34.25,136.25,1313:246:1,0.16
Enteroctopus,dofleini,34.25,136.75,1313:246:2,0.17
Enteroctopus,dofleini,34.75,136.75,1313:246:4,0.03
Enteroctopus,dofleini,34.25,137.25,1313:247:1,0.15
Enteroctopus,dofleini,34.25,137.75,1313:247:2,0.13
Enteroctopus,dofleini,34.75,137.25,1313:247:3,0.17
Enteroctopus,dofleini,34.25,138.25,1313:248:1,0.12
Enteroctopus,dofleini,34.25,138.75,1313:248:2,0.10
Enteroctopus,dofleini,34.75,138.25,1313:248:3,0.19
Enteroctopus,dofleini,34.75,138.75,1313:248:4,0.19
Enteroctopus,dofleini,34.25,139.25,1313:249:1,0.08
Enteroctopus,dofleini,34.25,139.75,1313:249:2,0.04
Enteroctopus,dofleini,34.75,139.25,1313:249:3,0.17
Enteroctopus,dofleini,34.75,139.75,1313:249:4,0.12
Enteroctopus,dofleini,36.25,130.75,1313:360:2,0.01
Enteroctopus,dofleini,36.75,132.25,1313:362:3,0.10
Enteroctopus,dofleini,36.25,133.75,1313:363:2,0.16
Enteroctopus,dofleini,36.25,134.25,1313:364:1,0.18
Enteroctopus,dofleini,36.25,134.75,1313:364:2,0.18
Enteroctopus,dofleini,36.75,134.25,1313:364:3,0.09
Enteroctopus,dofleini,36.75,134.75,1313:364:4,0.02
Enteroctopus,dofleini,37.25,130.75,1313:370:2,0.16
Enteroctopus,dofleini,37.75,130.25,1313:370:3,0.11
Enteroctopus,dofleini,37.75,130.75,1313:370:4,0.12
Enteroctopus,dofleini,37.25,131.75,1313:371:2,0.18
Enteroctopus,dofleini,37.75,131.25,1313:371:3,0.08
Enteroctopus,dofleini,37.75,131.75,1313:371:4,0.10
Enteroctopus,dofleini,37.25,132.25,1313:372:1,0.15
Enteroctopus,dofleini,37.25,132.75,1313:372:2,0.17
Enteroctopus,dofleini,37.75,132.25,1313:372:3,0.01
Enteroctopus,dofleini,37.75,132.75,1313:372:4,0.02
Enteroctopus,dofleini,37.25,133.25,1313:373:1,0.14
Enteroctopus,dofleini,37.25,133.75,1313:373:2,0.08
Enteroctopus,dofleini,37.75,133.25,1313:373:3,0.04
Enteroctopus,dofleini,37.75,133.75,1313:373:4,0.02
Enteroctopus,dofleini,38.25,130.25,1313:380:1,0.12
Enteroctopus,dofleini,38.25,131.25,1313:381:1,0.04
Enteroctopus,dofleini,38.25,131.75,1313:381:2,0.06
Enteroctopus,dofleini,38.25,132.25,1313:382:1,0.04
Enteroctopus,dofleini,38.25,132.75,1313:382:2,0.01
Enteroctopus,dofleini,39.25,130.25,1313:390:1,0.02
Enteroctopus,dofleini,35.75,136.25,1313:456:3,0.05
Enteroctopus,dofleini,35.25,139.25,1313:459:1,0.13
Enteroctopus,dofleini,35.25,139.75,1313:459:2,0.19
Enteroctopus,dofleini,35.75,139.75,1313:459:4,0.14
Enteroctopus,dofleini,36.25,135.25,1313:465:1,0.16
Enteroctopus,dofleini,36.75,135.25,1313:465:3,0.04
Enteroctopus,dofleini,36.75,137.75,1313:467:4,0.01
Enteroctopus,dofleini,37.25,135.75,1313:475:2,0.06
Enteroctopus,dofleini,37.75,136.25,1313:476:3,0.12
Enteroctopus,dofleini,37.75,139.25,1313:479:3,0.18
Enteroctopus,dofleini,38.25,136.75,1313:486:2,0.09
Enteroctopus,dofleini,38.75,136.75,1313:486:4,0.02
Enteroctopus,dofleini,38.25,137.25,1313:487:1,0.11
Enteroctopus,dofleini,38.25,137.75,1313:487:2,0.09
Enteroctopus,dofleini,38.75,137.25,1313:487:3,0.01
Enteroctopus,dofleini,38.75,137.75,1313:487:4,0.01
Enteroctopus,dofleini,38.75,138.25,1313:488:3,0.06
Enteroctopus,dofleini,38.75,138.75,1313:488:4,0.05
Enteroctopus,dofleini,39.25,138.75,1313:498:2,0.01
Enteroctopus,dofleini,39.25,139.25,1313:499:1,0.14
Enteroctopus,dofleini,39.75,139.25,1313:499:3,0.05
Enteroctopus,dofleini,34.25,140.25,1314:140:1,0.01
Enteroctopus,dofleini,34.75,140.25,1314:140:3,0.07
Enteroctopus,dofleini,34.75,140.75,1314:140:4,0.02
Enteroctopus,dofleini,35.25,140.25,1314:350:1,0.19
Enteroctopus,dofleini,35.25,140.75,1314:350:2,0.11
Enteroctopus,dofleini,35.25,141.25,1314:351:1,0.04
Enteroctopus,dofleini,35.75,141.25,1314:351:3,0.19
Enteroctopus,dofleini,35.75,141.75,1314:351:4,0.01
Enteroctopus,dofleini,36.25,141.75,1314:361:2,0.08
Enteroctopus,dofleini,36.75,142.25,1314:362:3,0.01
Enteroctopus,dofleini,37.25,140.75,1314:370:2,0.01
Enteroctopus,dofleini,37.75,140.75,1314:370:4,0.18
Enteroctopus,dofleini,38.25,140.75,1314:380:2,0.16
Enteroctopus,dofleini,38.75,141.25,1314:381:3,0.06
Enteroctopus,dofleini,32.75,172.25,1317:122:3,0.01
Enteroctopus,dofleini,33.25,171.75,1317:131:2,0.01
Enteroctopus,dofleini,33.75,171.75,1317:131:4,0.02
Enteroctopus,dofleini,34.25,171.25,1317:141:1,0.02
Enteroctopus,dofleini,34.75,171.75,1317:141:4,0.10
Enteroctopus,dofleini,34.75,172.25,1317:142:3,0.10
Enteroctopus,dofleini,35.25,171.25,1317:351:1,0.13
Enteroctopus,dofleini,35.25,171.75,1317:351:2,0.13
Enteroctopus,dofleini,35.75,171.25,1317:351:3,0.17
Enteroctopus,dofleini,35.75,171.75,1317:351:4,0.17
Enteroctopus,dofleini,35.25,172.25,1317:352:1,0.14
Enteroctopus,dofleini,37.75,170.25,1317:370:3,0.19
Enteroctopus,dofleini,37.75,170.75,1317:370:4,0.19
Enteroctopus,dofleini,37.75,171.25,1317:371:3,0.06
Enteroctopus,dofleini,38.25,171.25,1317:381:1,0.03
Enteroctopus,dofleini,40.75,130.25,1413:100:3,0.16
Enteroctopus,dofleini,41.75,130.75,1413:110:4,0.19
Enteroctopus,dofleini,42.75,130.75,1413:120:4,0.01
Enteroctopus,dofleini,42.25,131.25,1413:121:1,0.03
Enteroctopus,dofleini,42.75,131.25,1413:121:3,0.18
Enteroctopus,dofleini,42.75,133.75,1413:123:4,0.15
Enteroctopus,dofleini,40.25,139.25,1413:209:1,0.03
Enteroctopus,dofleini,40.75,139.25,1413:209:3,0.05
Enteroctopus,dofleini,41.25,139.25,1413:219:1,0.05
Enteroctopus,dofleini,41.25,139.75,1413:219:2,0.12
Enteroctopus,dofleini,41.75,139.25,1413:219:3,0.13
Enteroctopus,dofleini,42.25,139.25,1413:229:1,0.02
Enteroctopus,dofleini,43.25,135.75,1413:235:2,0.01
Enteroctopus,dofleini,43.75,136.75,1413:236:4,0.03
Enteroctopus,dofleini,44.25,137.25,1413:247:1,0.07
Enteroctopus,dofleini,44.75,137.75,1413:247:4,0.04
Enteroctopus,dofleini,45.25,138.25,1413:458:1,0.06
Enteroctopus,dofleini,45.75,138.75,1413:458:4,0.05
Enteroctopus,dofleini,45.75,139.25,1413:459:3,0.04
Enteroctopus,dofleini,45.75,139.75,1413:459:4,0.10
Enteroctopus,dofleini,46.25,139.25,1413:469:1,0.17
Enteroctopus,dofleini,46.25,139.75,1413:469:2,0.10
Enteroctopus,dofleini,40.25,140.25,1414:100:1,0.17
Enteroctopus,dofleini,41.25,143.25,1414:113:1,0.16
Enteroctopus,dofleini,42.25,144.75,1414:124:2,0.17
Enteroctopus,dofleini,43.25,140.25,1414:130:1,0.08
Enteroctopus,dofleini,43.25,144.25,1414:134:1,0.01
Enteroctopus,dofleini,43.75,144.25,1414:134:3,0.06
Enteroctopus,dofleini,43.75,144.75,1414:134:4,0.15
Enteroctopus,dofleini,44.75,140.75,1414:140:4,0.05
Enteroctopus,dofleini,44.25,141.25,1414:141:1,0.08
Enteroctopus,dofleini,45.75,140.25,1414:350:3,0.01
Enteroctopus,dofleini,46.25,140.25,1414:360:1,0.17
Enteroctopus,dofleini,47.25,144.25,1414:374:1,0.15
Enteroctopus,dofleini,48.75,142.25,1414:382:3,0.15
Enteroctopus,dofleini,49.25,144.75,1414:394:2,0.12
Enteroctopus,dofleini,49.75,144.25,1414:394:3,0.04
Enteroctopus,dofleini,49.75,144.75,1414:394:4,0.06
Enteroctopus,dofleini,46.25,148.75,1414:468:2,0.03
Enteroctopus,dofleini,46.25,149.25,1414:469:1,0.06
Enteroctopus,dofleini,47.25,145.25,1414:475:1,0.12
Enteroctopus,dofleini,47.75,145.75,1414:475:4,0.12
Enteroctopus,dofleini,48.25,146.75,1414:486:2,0.18
Enteroctopus,dofleini,48.75,146.75,1414:486:4,0.18
Enteroctopus,dofleini,48.25,147.25,1414:487:1,0.09
Enteroctopus,dofleini,48.25,147.75,1414:487:2,0.05
Enteroctopus,dofleini,48.75,147.25,1414:487:3,0.12
Enteroctopus,dofleini,48.75,147.75,1414:487:4,0.08
Enteroctopus,dofleini,48.25,148.25,1414:488:1,0.05
Enteroctopus,dofleini,48.25,148.75,1414:488:2,0.04
Enteroctopus,dofleini,48.75,148.25,1414:488:3,0.09
Enteroctopus,dofleini,48.75,148.75,1414:488:4,0.06
Enteroctopus,dofleini,48.25,149.25,1414:489:1,0.01
Enteroctopus,dofleini,48.75,149.25,1414:489:3,0.05
Enteroctopus,dofleini,48.75,149.75,1414:489:4,0.05
Enteroctopus,dofleini,49.25,145.25,1414:495:1,0.14
Enteroctopus,dofleini,49.75,145.25,1414:495:3,0.12
Enteroctopus,dofleini,49.25,146.75,1414:496:2,0.14
Enteroctopus,dofleini,49.75,146.75,1414:496:4,0.13
Enteroctopus,dofleini,49.25,147.25,1414:497:1,0.05
Enteroctopus,dofleini,49.25,147.75,1414:497:2,0.05
Enteroctopus,dofleini,49.75,147.25,1414:497:3,0.04
Enteroctopus,dofleini,49.75,147.75,1414:497:4,0.03
Enteroctopus,dofleini,49.25,148.25,1414:498:1,0.05
Enteroctopus,dofleini,49.25,148.75,1414:498:2,0.05
Enteroctopus,dofleini,49.75,148.25,1414:498:3,0.02
Enteroctopus,dofleini,49.75,148.75,1414:498:4,0.02
Enteroctopus,dofleini,49.25,149.25,1414:499:1,0.05
Enteroctopus,dofleini,49.25,149.75,1414:499:2,0.08
Enteroctopus,dofleini,49.75,149.25,1414:499:3,0.03
Enteroctopus,dofleini,49.75,149.75,1414:499:4,0.04
Enteroctopus,dofleini,45.25,151.25,1415:351:1,0.10
Enteroctopus,dofleini,46.25,152.25,1415:362:1,0.13
Enteroctopus,dofleini,47.75,152.25,1415:372:3,0.05
Enteroctopus,dofleini,47.25,153.25,1415:373:1,0.17
Enteroctopus,dofleini,47.75,153.75,1415:373:4,0.12
Enteroctopus,dofleini,48.75,150.25,1415:380:3,0.03
Enteroctopus,dofleini,49.25,150.25,1415:390:1,0.13
Enteroctopus,dofleini,49.25,150.75,1415:390:2,0.18
Enteroctopus,dofleini,49.75,150.25,1415:390:3,0.07
Enteroctopus,dofleini,49.75,150.75,1415:390:4,0.13
Enteroctopus,dofleini,49.25,151.25,1415:391:1,0.19
Enteroctopus,dofleini,49.25,151.75,1415:391:2,0.11
Enteroctopus,dofleini,49.75,151.25,1415:391:3,0.18
Enteroctopus,dofleini,49.75,151.75,1415:391:4,0.16
Enteroctopus,dofleini,49.25,152.25,1415:392:1,0.15
Enteroctopus,dofleini,49.25,152.75,1415:392:2,0.06
Enteroctopus,dofleini,49.75,152.25,1415:392:3,0.16
Enteroctopus,dofleini,49.75,152.75,1415:392:4,0.13
Enteroctopus,dofleini,49.75,153.25,1415:393:3,0.09
Enteroctopus,dofleini,49.75,153.75,1415:393:4,0.07
Enteroctopus,dofleini,49.75,157.25,1415:497:3,0.04
Enteroctopus,dofleini,45.75,169.25,1416:459:3,0.02
Enteroctopus,dofleini,45.75,169.75,1416:459:4,0.05
Enteroctopus,dofleini,46.25,169.25,1416:469:1,0.08
Enteroctopus,dofleini,46.25,169.75,1416:469:2,0.06
Enteroctopus,dofleini,40.25,170.25,1417:100:1,0.04
Enteroctopus,dofleini,40.75,170.25,1417:100:3,0.17
Enteroctopus,dofleini,41.75,170.75,1417:110:4,0.04
Enteroctopus,dofleini,42.25,170.75,1417:120:2,0.18
Enteroctopus,dofleini,42.75,170.25,1417:120:3,0.06
Enteroctopus,dofleini,43.25,170.25,1417:130:1,0.07
Enteroctopus,dofleini,43.25,170.75,1417:130:2,0.06
Enteroctopus,dofleini,44.25,170.25,1417:140:1,0.16
Enteroctopus,dofleini,45.75,170.25,1417:350:3,0.08
Enteroctopus,dofleini,55.25,135.75,1513:455:2,0.01
Enteroctopus,dofleini,55.25,136.25,1513:456:1,0.02
Enteroctopus,dofleini,55.75,136.25,1513:456:3,0.04
Enteroctopus,dofleini,55.75,136.75,1513:456:4,0.06
Enteroctopus,dofleini,55.75,137.25,1513:457:3,0.13
Enteroctopus,dofleini,55.75,137.75,1513:457:4,0.06
Enteroctopus,dofleini,56.25,137.25,1513:467:1,0.09
Enteroctopus,dofleini,56.25,137.75,1513:467:2,0.14
Enteroctopus,dofleini,56.25,138.25,1513:468:1,0.18
Enteroctopus,dofleini,56.25,138.75,1513:468:2,0.08
Enteroctopus,dofleini,56.75,138.25,1513:468:3,0.16
Enteroctopus,dofleini,56.25,139.25,1513:469:1,0.04
Enteroctopus,dofleini,56.75,139.25,1513:469:3,0.13
Enteroctopus,dofleini,56.75,139.75,1513:469:4,0.07
Enteroctopus,dofleini,57.25,138.75,1513:478:2,0.18
Enteroctopus,dofleini,57.25,139.75,1513:479:2,0.19
Enteroctopus,dofleini,50.25,140.25,1514:100:1,0.01
Enteroctopus,dofleini,50.75,141.75,1514:101:4,0.13
Enteroctopus,dofleini,50.75,142.25,1514:102:3,0.18
Enteroctopus,dofleini,50.25,143.75,1514:103:2,0.11
