Mapping parameters for Equulites klunzingeri ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,30,59
Temperature (°C),1,19.73,23.59,29.24,33.44
Salinity (psu),1,34.01,35.53,39.36,39.88
Primary Production (mgC·m-3·day-1) ,1,1.62,2.62,6.71,10.3
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,48.12,50.59,210.29,380.44
Distance to Land (km),0,4,6.5,25.5,45.75
 

Map data (HSPEC) for predicted occurrences (n = 650): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Equulites,klunzingeri,-33.25,43.75,3304:133:2,0.08
Equulites,klunzingeri,-22.75,47.75,3204:227:4,0.03
Equulites,klunzingeri,-22.75,43.75,3204:123:4,0.12
Equulites,klunzingeri,-21.75,43.75,3204:113:4,0.04
Equulites,klunzingeri,-21.25,43.75,3204:113:2,0.13
Equulites,klunzingeri,-21.25,43.25,3204:113:1,0.17
Equulites,klunzingeri,-20.75,43.75,3204:103:4,0.09
Equulites,klunzingeri,-25.75,34.75,3203:354:4,0.06
Equulites,klunzingeri,-15.75,60.25,3106:350:3,0.15
Equulites,klunzingeri,-15.25,60.75,3106:350:2,0.12
Equulites,klunzingeri,-14.75,60.75,3106:140:4,0.18
Equulites,klunzingeri,-11.75,62.25,3106:112:3,0.17
Equulites,klunzingeri,-16.75,59.75,3105:469:4,0.12
Equulites,klunzingeri,-15.75,50.75,3105:350:4,0.12
Equulites,klunzingeri,-10.25,59.75,3105:209:2,0.19
Equulites,klunzingeri,-14.25,50.25,3105:140:1,0.09
Equulites,klunzingeri,-12.75,50.25,3105:120:3,0.02
Equulites,klunzingeri,-19.25,49.25,3104:499:1,0.07
Equulites,klunzingeri,-17.25,49.75,3104:479:2,0.06
Equulites,klunzingeri,-17.75,43.75,3104:373:4,0.03
Equulites,klunzingeri,-17.25,43.75,3104:373:2,0.10
Equulites,klunzingeri,-12.75,48.75,3104:228:4,0.12
Equulites,klunzingeri,-12.25,40.25,3104:120:1,0.06
Equulites,klunzingeri,-11.75,40.25,3104:110:3,0.14
Equulites,klunzingeri,-11.25,40.25,3104:110:1,0.11
Equulites,klunzingeri,-10.25,40.25,3104:100:1,0.01
Equulites,klunzingeri,-8.75,39.75,3003:489:4,0.18
Equulites,klunzingeri,-8.25,39.75,3003:489:2,0.02
Equulites,klunzingeri,-6.75,39.75,3003:469:4,0.04
Equulites,klunzingeri,-5.75,39.75,3003:459:4,0.01
Equulites,klunzingeri,-5.25,39.75,3003:459:2,0.11
Equulites,klunzingeri,20.25,71.75,1207:101:2,0.14
Equulites,klunzingeri,25.75,66.75,1206:456:4,0.13
Equulites,klunzingeri,25.75,64.25,1206:354:3,0.17
Equulites,klunzingeri,24.25,66.75,1206:246:2,0.06
Equulites,klunzingeri,24.25,66.25,1206:246:1,0.10
Equulites,klunzingeri,24.75,63.25,1206:143:3,0.07
Equulites,klunzingeri,25.75,59.25,1205:459:3,0.17
Equulites,klunzingeri,25.25,58.25,1205:458:1,0.07
Equulites,klunzingeri,24.25,53.75,1205:143:2,0.16
Equulites,klunzingeri,24.25,51.25,1205:141:1,0.19
Equulites,klunzingeri,24.75,50.75,1205:140:4,0.19
Equulites,klunzingeri,23.75,52.25,1205:132:3,0.02
Equulites,klunzingeri,29.25,35.25,1203:495:1,0.17
Equulites,klunzingeri,25.75,37.25,1203:457:3,0.17
Equulites,klunzingeri,28.25,33.25,1203:383:1,0.16
Equulites,klunzingeri,19.75,72.75,1107:392:4,0.02
Equulites,klunzingeri,19.75,72.25,1107:392:3,0.14
Equulites,klunzingeri,18.75,73.25,1107:383:3,0.02
Equulites,klunzingeri,10.25,72.25,1107:102:1,0.19
Equulites,klunzingeri,15.75,40.25,1104:350:3,0.12
Equulites,klunzingeri,10.25,45.25,1104:205:1,0.19
Equulites,klunzingeri,14.75,42.25,1104:142:3,0.14
Equulites,klunzingeri,14.25,42.25,1104:142:1,0.18
Equulites,klunzingeri,11.25,43.75,1104:113:2,0.06
Equulites,klunzingeri,17.25,39.75,1103:479:2,0.10
Equulites,klunzingeri,8.25,73.25,1007:383:1,0.13
Equulites,klunzingeri,7.25,73.25,1007:373:1,0.15
Equulites,klunzingeri,7.25,72.75,1007:372:2,0.19
Equulites,klunzingeri,-25.75,46.75,3204:456:4,0.20
Equulites,klunzingeri,-24.75,47.25,3204:247:3,0.23
Equulites,klunzingeri,-24.25,47.25,3204:247:1,0.22
Equulites,klunzingeri,-23.75,47.75,3204:237:4,0.25
Equulites,klunzingeri,-22.25,48.25,3204:228:1,0.36
Equulites,klunzingeri,-21.25,48.75,3204:218:2,0.38
Equulites,klunzingeri,-14.25,60.75,3106:140:2,0.22
Equulites,klunzingeri,-11.25,60.75,3106:110:2,0.39
Equulites,klunzingeri,-10.75,60.25,3106:100:3,0.33
Equulites,klunzingeri,-10.25,60.75,3106:100:2,0.35
Equulites,klunzingeri,-10.25,60.25,3106:100:1,0.30
Equulites,klunzingeri,-17.25,59.25,3105:479:1,0.32
Equulites,klunzingeri,-16.25,59.75,3105:469:2,0.21
Equulites,klunzingeri,-15.25,50.75,3105:350:2,0.34
Equulites,klunzingeri,-15.25,50.25,3105:350:1,0.37
Equulites,klunzingeri,-14.75,50.25,3105:140:3,0.35
Equulites,klunzingeri,-18.75,43.75,3104:383:4,0.32
Equulites,klunzingeri,-18.25,43.75,3104:383:2,0.32
Equulites,klunzingeri,-16.75,43.75,3104:363:4,0.30
Equulites,klunzingeri,-13.75,47.75,3104:237:4,0.35
Equulites,klunzingeri,-13.25,48.25,3104:238:1,0.31
Equulites,klunzingeri,-13.75,48.25,3104:238:3,0.24
Equulites,klunzingeri,-14.25,40.75,3104:140:2,0.22
Equulites,klunzingeri,-13.75,40.75,3104:130:4,0.37
Equulites,klunzingeri,-12.75,40.25,3104:120:3,0.20
Equulites,klunzingeri,-17.25,39.25,3103:479:1,0.38
Equulites,klunzingeri,-16.75,39.25,3103:469:3,0.35
