Mapping parameters for Erignathus barbatus (bearded seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  31 |  61 |  67 |  71,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,100,1000
Temperature (°C),1,-1.74,-0.76,5.36,21.96
Salinity (psu),1,11.1,28.85,34.15,35.82
Primary Production (mgC·m-3·day-1) ,1,0.4,1.9,16.29,45.4
Sea Ice Concentration (0-1 fraction),1,-0.59,0,0.67,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,115.67,281.03,360.46,399.47
Distance to Land (km),0,0,3,189,851
 

Map data (HSPEC) for predicted occurrences (n = 17072): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Erignathus,barbatus,25.75,119.75,1211:459:4,0.01
Erignathus,barbatus,26.25,119.75,1211:469:2,0.03
Erignathus,barbatus,26.25,120.25,1212:360:1,0.02
Erignathus,barbatus,26.75,120.25,1212:360:3,0.04
Erignathus,barbatus,26.75,120.75,1212:360:4,0.01
Erignathus,barbatus,27.25,120.25,1212:370:1,0.04
Erignathus,barbatus,27.25,120.75,1212:370:2,0.04
Erignathus,barbatus,27.75,120.75,1212:370:4,0.05
Erignathus,barbatus,27.25,121.25,1212:371:1,0.02
Erignathus,barbatus,27.75,121.25,1212:371:3,0.06
Erignathus,barbatus,27.75,121.75,1212:371:4,0.02
Erignathus,barbatus,28.25,120.75,1212:380:2,0.01
Erignathus,barbatus,28.25,121.25,1212:381:1,0.08
Erignathus,barbatus,28.25,121.75,1212:381:2,0.08
Erignathus,barbatus,28.75,121.75,1212:381:4,0.08
Erignathus,barbatus,28.25,122.25,1212:382:1,0.02
Erignathus,barbatus,28.75,122.25,1212:382:3,0.08
Erignathus,barbatus,28.75,122.75,1212:382:4,0.03
Erignathus,barbatus,28.75,123.25,1212:383:3,0.01
Erignathus,barbatus,29.25,121.25,1212:391:1,0.01
Erignathus,barbatus,29.25,121.75,1212:391:2,0.05
Erignathus,barbatus,29.75,121.25,1212:391:3,0.01
Erignathus,barbatus,29.75,121.75,1212:391:4,0.08
Erignathus,barbatus,29.25,122.25,1212:392:1,0.06
Erignathus,barbatus,29.25,122.75,1212:392:2,0.05
Erignathus,barbatus,29.75,122.25,1212:392:3,0.08
Erignathus,barbatus,29.75,122.75,1212:392:4,0.10
Erignathus,barbatus,29.25,123.25,1212:393:1,0.04
