Mapping parameters for Etmopterus baxteri (New Zealand lanternshark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 81,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,878,943,1125,1427
Temperature (°C),1,-0.79,2.55,7.85,17.23
Salinity (psu),1,33.81,34.31,35.01,35.53
Primary Production (mgC·m-3·day-1) ,1,2.16,3.16,13.69,35.36
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,117.03,174.63,261.3,330.79
Distance to Land (km),0,5,79,362,1063
 

Map data (HSPEC) for predicted occurrences (n = 7888): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Etmopterus,baxteri,-35.75,-165.75,5316:455:4,0.02
Etmopterus,baxteri,-35.25,-166.25,5316:456:1,0.03
Etmopterus,baxteri,-35.25,-166.75,5316:456:2,0.05
Etmopterus,baxteri,-35.75,-166.25,5316:456:3,0.03
Etmopterus,baxteri,-35.75,-166.75,5316:456:4,0.04
Etmopterus,baxteri,-35.25,-165.75,5316:455:2,0.01
Etmopterus,baxteri,-34.75,-168.75,5316:248:4,0.11
Etmopterus,baxteri,-34.25,-169.25,5316:249:1,0.02
Etmopterus,baxteri,-34.75,-169.25,5316:249:3,0.11
Etmopterus,baxteri,-34.75,-167.25,5316:247:3,0.05
Etmopterus,baxteri,-34.75,-167.75,5316:247:4,0.08
Etmopterus,baxteri,-34.25,-168.75,5316:248:2,0.01
Etmopterus,baxteri,-34.75,-169.75,5316:249:4,0.11
Etmopterus,baxteri,-34.75,-166.75,5316:246:4,0.02
Etmopterus,baxteri,-34.75,-168.25,5316:248:3,0.10
Etmopterus,baxteri,-25.25,158.75,3215:458:2,0.18
Etmopterus,baxteri,-25.75,158.75,3215:458:4,0.07
Etmopterus,baxteri,-26.25,158.75,3215:468:2,0.07
Etmopterus,baxteri,-26.75,158.75,3215:468:4,0.08
Etmopterus,baxteri,-27.25,158.75,3215:478:2,0.11
Etmopterus,baxteri,-27.75,158.75,3215:478:4,0.17
Etmopterus,baxteri,-27.75,159.25,3215:479:3,0.02
Etmopterus,baxteri,-28.25,160.25,3216:380:1,0.16
Etmopterus,baxteri,-28.25,160.75,3216:380:2,0.12
Etmopterus,baxteri,-28.25,161.25,3216:381:1,0.09
Etmopterus,baxteri,-28.25,161.75,3216:381:2,0.04
Etmopterus,baxteri,-28.25,162.25,3216:382:1,0.01
Etmopterus,baxteri,-28.25,167.25,3216:487:1,0.13
Etmopterus,baxteri,-28.25,168.75,3216:488:2,0.11
Etmopterus,baxteri,-28.75,169.25,3216:489:3,0.16
Etmopterus,baxteri,-28.75,169.75,3216:489:4,0.06
Etmopterus,baxteri,-29.25,170.25,3217:390:1,0.16
Etmopterus,baxteri,-29.25,170.75,3217:390:2,0.14
Etmopterus,baxteri,-29.25,171.25,3217:391:1,0.09
Etmopterus,baxteri,-29.25,171.75,3217:391:2,0.02
Etmopterus,baxteri,-29.75,172.25,3217:392:3,0.19
Etmopterus,baxteri,-29.75,172.75,3217:392:4,0.13
Etmopterus,baxteri,-29.75,173.25,3217:393:3,0.10
Etmopterus,baxteri,-29.75,173.75,3217:393:4,0.09
Etmopterus,baxteri,-29.75,174.25,3217:394:3,0.09
Etmopterus,baxteri,-29.75,174.75,3217:394:4,0.06
Etmopterus,baxteri,-30.75,153.25,3315:103:3,0.01
Etmopterus,baxteri,-36.75,150.25,3315:360:3,0.04
Etmopterus,baxteri,-37.25,150.25,3315:370:1,0.01
Etmopterus,baxteri,-31.75,167.75,3316:217:4,0.01
Etmopterus,baxteri,-33.75,167.25,3316:237:3,0.16
Etmopterus,baxteri,-35.75,169.75,3316:459:4,0.18
Etmopterus,baxteri,-37.75,168.25,3316:478:3,0.11
Etmopterus,baxteri,-30.25,174.25,3317:104:1,0.19
Etmopterus,baxteri,-30.25,174.75,3317:104:2,0.13
Etmopterus,baxteri,-34.25,172.25,3317:142:1,0.05
Etmopterus,baxteri,-30.25,175.25,3317:205:1,0.08
Etmopterus,baxteri,-30.75,175.25,3317:205:3,0.15
Etmopterus,baxteri,-30.75,175.75,3317:205:4,0.08
Etmopterus,baxteri,-30.75,176.25,3317:206:3,0.02
Etmopterus,baxteri,-31.25,175.75,3317:215:2,0.16
Etmopterus,baxteri,-31.25,176.25,3317:216:1,0.12
Etmopterus,baxteri,-31.25,176.75,3317:216:2,0.08
Etmopterus,baxteri,-31.25,177.25,3317:217:1,0.05
Etmopterus,baxteri,-31.25,177.75,3317:217:2,0.03
Etmopterus,baxteri,-31.75,177.25,3317:217:3,0.17
Etmopterus,baxteri,-31.75,177.75,3317:217:4,0.14
Etmopterus,baxteri,-31.25,178.25,3317:218:1,0.01
Etmopterus,baxteri,-31.75,178.25,3317:218:3,0.14
Etmopterus,baxteri,-31.75,178.75,3317:218:4,0.12
Etmopterus,baxteri,-31.75,179.25,3317:219:3,0.08
Etmopterus,baxteri,-31.75,179.75,3317:219:4,0.05
Etmopterus,baxteri,-35.75,170.25,3317:350:3,0.15
Etmopterus,baxteri,-35.75,170.75,3317:350:4,0.15
Etmopterus,baxteri,-36.25,170.25,3317:360:1,0.14
Etmopterus,baxteri,-36.25,170.75,3317:360:2,0.08
Etmopterus,baxteri,-36.75,170.25,3317:360:3,0.18
Etmopterus,baxteri,-36.75,170.75,3317:360:4,0.08
Etmopterus,baxteri,-36.25,171.25,3317:361:1,0.11
Etmopterus,baxteri,-36.75,171.25,3317:361:3,0.04
Etmopterus,baxteri,-36.75,171.75,3317:361:4,0.11
Etmopterus,baxteri,-36.25,173.75,3317:363:2,0.11
Etmopterus,baxteri,-36.75,174.25,3317:364:3,0.04
Etmopterus,baxteri,-37.25,170.25,3317:370:1,0.19
Etmopterus,baxteri,-37.25,170.75,3317:370:2,0.09
Etmopterus,baxteri,-37.25,171.25,3317:371:1,0.04
Etmopterus,baxteri,-37.25,171.75,3317:371:2,0.09
Etmopterus,baxteri,-37.75,174.25,3317:374:3,0.12
Etmopterus,baxteri,-38.75,170.75,3317:380:4,0.09
Etmopterus,baxteri,-38.75,172.75,3317:382:4,0.16
Etmopterus,baxteri,-38.25,173.75,3317:383:2,0.19
Etmopterus,baxteri,-40.25,169.75,3416:209:2,0.11
Etmopterus,baxteri,-41.75,174.75,3417:114:4,0.16
Etmopterus,baxteri,-42.75,173.75,3417:123:4,0.13
Etmopterus,baxteri,-42.25,174.25,3417:124:1,0.10
Etmopterus,baxteri,-44.25,174.25,3417:144:1,0.03
Etmopterus,baxteri,-40.25,176.75,3417:206:2,0.02
Etmopterus,baxteri,-45.25,171.25,3417:351:1,0.19
Etmopterus,baxteri,-48.75,173.25,3417:383:3,0.01
Etmopterus,baxteri,-57.25,160.25,3516:370:1,0.15
Etmopterus,baxteri,-55.75,154.75,3515:354:4,0.19
Etmopterus,baxteri,-56.75,152.25,3515:362:3,0.16
Etmopterus,baxteri,-58.75,151.75,3515:381:4,0.13
Etmopterus,baxteri,-58.75,152.75,3515:382:4,0.12
Etmopterus,baxteri,-55.75,155.25,3515:455:3,0.19
Etmopterus,baxteri,-54.75,165.75,3516:245:4,0.18
Etmopterus,baxteri,-54.75,166.25,3516:246:3,0.14
Etmopterus,baxteri,-54.75,166.75,3516:246:4,0.09
Etmopterus,baxteri,-54.75,167.25,3516:247:3,0.17
Etmopterus,baxteri,-55.25,164.75,3516:354:2,0.15
Etmopterus,baxteri,-55.75,164.75,3516:354:4,0.19
Etmopterus,baxteri,-57.25,164.25,3516:374:1,0.15
Etmopterus,baxteri,-57.25,164.75,3516:374:2,0.16
Etmopterus,baxteri,-55.25,165.25,3516:455:1,0.11
Etmopterus,baxteri,-55.25,165.75,3516:455:2,0.11
