Mapping parameters for Etmopterus perryi (Dwarf lantern shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,283,299,358,439
Temperature (°C),1,3.47,3.97,23.53,27.71
Salinity (psu),1,33.95,34.8,35.8,36.65
Primary Production (mgC·m-3·day-1) ,1,1.08,2.08,24.86,42.43
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,159.38,168.07,206.47,218.97
Distance to Land (km),0,8,9.6,148.6,291
 

Map data (HSPEC) for predicted occurrences (n = 564): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Etmopterus,perryi,-3.75,-34.75,5003:134:4,0.17
Etmopterus,perryi,-2.25,-39.75,5003:229:2,0.02
Etmopterus,perryi,-2.75,-39.25,5003:229:3,0.04
Etmopterus,perryi,-2.75,-39.75,5003:229:4,0.01
Etmopterus,perryi,-3.25,-38.75,5003:238:2,0.01
Etmopterus,perryi,-4.75,-35.25,5003:245:3,0.01
Etmopterus,perryi,-4.75,-35.75,5003:245:4,0.01
Etmopterus,perryi,-4.75,-36.75,5003:246:4,0.01
Etmopterus,perryi,-6.75,-34.75,5003:364:4,0.02
Etmopterus,perryi,-0.25,-44.25,5004:104:1,0.01
Etmopterus,perryi,-1.75,-43.25,5004:113:3,0.02
Etmopterus,perryi,-2.25,-40.25,5004:120:1,0.04
Etmopterus,perryi,-2.25,-40.75,5004:120:2,0.03
Etmopterus,perryi,-2.25,-41.25,5004:121:1,0.03
Etmopterus,perryi,-2.25,-41.75,5004:121:2,0.02
Etmopterus,perryi,-11.75,-37.25,5103:217:3,0.02
Etmopterus,perryi,-20.25,-39.75,5203:209:2,0.01
Etmopterus,perryi,-22.25,-40.25,5204:120:1,0.15
Etmopterus,perryi,-23.25,-41.25,5204:131:1,0.05
Etmopterus,perryi,-29.25,-47.75,5204:497:2,0.18
Etmopterus,perryi,-29.75,-47.75,5204:497:4,0.11
Etmopterus,perryi,-30.25,-47.75,5304:207:2,0.09
Etmopterus,perryi,0.25,-44.75,7004:104:2,0.10
Etmopterus,perryi,0.25,-45.75,7004:205:2,0.01
Etmopterus,perryi,1.25,-46.75,7004:216:2,0.05
Etmopterus,perryi,1.75,-47.25,7004:217:3,0.05
Etmopterus,perryi,4.25,-50.25,7005:140:1,0.19
Etmopterus,perryi,4.25,-50.75,7005:140:2,0.06
Etmopterus,perryi,8.25,-53.75,7005:383:2,0.09
Etmopterus,perryi,8.75,-54.25,7005:384:3,0.07
Etmopterus,perryi,8.25,-58.25,7005:488:1,0.05
Etmopterus,perryi,8.75,-59.25,7005:489:3,0.09
Etmopterus,perryi,9.75,-71.25,7007:391:3,0.01
Etmopterus,perryi,8.75,-77.25,7007:487:3,0.02
Etmopterus,perryi,9.75,-76.25,7007:496:3,0.01
Etmopterus,perryi,9.25,-81.75,7008:391:2,0.01
Etmopterus,perryi,10.75,-60.75,7106:100:4,0.11
Etmopterus,perryi,10.75,-62.75,7106:102:4,0.01
Etmopterus,perryi,10.25,-64.25,7106:104:1,0.16
Etmopterus,perryi,10.25,-64.75,7106:104:2,0.15
Etmopterus,perryi,10.75,-64.25,7106:104:3,0.06
Etmopterus,perryi,11.25,-64.25,7106:114:1,0.14
Etmopterus,perryi,14.25,-60.75,7106:140:2,0.06
Etmopterus,perryi,14.75,-60.75,7106:140:4,0.03
Etmopterus,perryi,14.25,-61.75,7106:141:2,0.14
Etmopterus,perryi,14.75,-62.25,7106:142:3,0.18
Etmopterus,perryi,10.25,-65.25,7106:205:1,0.11
Etmopterus,perryi,10.25,-65.75,7106:205:2,0.13
Etmopterus,perryi,10.75,-66.25,7106:206:3,0.03
Etmopterus,perryi,11.75,-69.25,7106:219:3,0.03
Etmopterus,perryi,11.75,-69.75,7106:219:4,0.07
Etmopterus,perryi,14.75,-65.25,7106:245:3,0.18
Etmopterus,perryi,14.75,-65.75,7106:245:4,0.13
Etmopterus,perryi,14.25,-66.75,7106:246:2,0.16
Etmopterus,perryi,14.75,-66.25,7106:246:3,0.10
Etmopterus,perryi,14.75,-66.75,7106:246:4,0.07
Etmopterus,perryi,14.25,-67.25,7106:247:1,0.13
Etmopterus,perryi,14.25,-67.75,7106:247:2,0.11
Etmopterus,perryi,14.75,-67.25,7106:247:3,0.05
Etmopterus,perryi,14.75,-67.75,7106:247:4,0.02
Etmopterus,perryi,14.25,-68.25,7106:248:1,0.10
Etmopterus,perryi,14.25,-68.75,7106:248:2,0.09
Etmopterus,perryi,14.75,-68.25,7106:248:3,0.01
Etmopterus,perryi,14.75,-68.75,7106:248:4,0.01
Etmopterus,perryi,14.25,-69.25,7106:249:1,0.10
Etmopterus,perryi,14.25,-69.75,7106:249:2,0.13
Etmopterus,perryi,14.75,-69.25,7106:249:3,0.01
Etmopterus,perryi,14.75,-69.75,7106:249:4,0.01
Etmopterus,perryi,15.25,-61.25,7106:351:1,0.13
Etmopterus,perryi,15.25,-61.75,7106:351:2,0.16
Etmopterus,perryi,15.75,-61.75,7106:351:4,0.05
Etmopterus,perryi,15.75,-62.25,7106:352:3,0.18
Etmopterus,perryi,15.75,-63.25,7106:353:3,0.15
Etmopterus,perryi,15.75,-63.75,7106:353:4,0.11
Etmopterus,perryi,15.25,-64.25,7106:354:1,0.16
Etmopterus,perryi,15.25,-64.75,7106:354:2,0.13
Etmopterus,perryi,15.75,-64.25,7106:354:3,0.06
Etmopterus,perryi,15.75,-64.75,7106:354:4,0.04
Etmopterus,perryi,16.25,-62.25,7106:362:1,0.02
Etmopterus,perryi,16.25,-62.75,7106:362:2,0.04
Etmopterus,perryi,16.25,-63.25,7106:363:1,0.01
