Mapping parameters for Eumetopias jubatus (Steller's sea lion)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  61 |  67 |  71 |  77 ,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,2000
Temperature (°C),1,-1.61,4.96,12.73,19.06
Salinity (psu),1,19.95,27.25,32.91,36.34
Primary Production (mgC·m-3·day-1) ,1,0.4,7.81,51.71,93.6
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.02,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,55.58,311.89,366.58
Distance to Land (km),0,0,4,100,327
 

Map data (HSPEC) for predicted occurrences (n = 6956): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Eumetopias,jubatus,29.75,121.75,1212:391:4,0.02
Eumetopias,jubatus,29.75,122.25,1212:392:3,0.03
Eumetopias,jubatus,37.25,119.25,1311:479:1,0.10
Eumetopias,jubatus,37.25,119.75,1311:479:2,0.07
Eumetopias,jubatus,37.75,119.25,1311:479:3,0.19
Eumetopias,jubatus,37.75,119.75,1311:479:4,0.09
Eumetopias,jubatus,38.75,118.25,1311:488:3,0.11
Eumetopias,jubatus,38.25,119.75,1311:489:2,0.13
Eumetopias,jubatus,38.75,119.25,1311:489:3,0.18
Eumetopias,jubatus,38.75,119.75,1311:489:4,0.15
Eumetopias,jubatus,39.25,118.25,1311:498:1,0.09
Eumetopias,jubatus,39.25,119.75,1311:499:2,0.14
Eumetopias,jubatus,39.75,119.75,1311:499:4,0.16
Eumetopias,jubatus,30.25,122.25,1312:102:1,0.05
Eumetopias,jubatus,30.25,122.75,1312:102:2,0.01
Eumetopias,jubatus,30.75,122.25,1312:102:3,0.04
Eumetopias,jubatus,30.75,122.75,1312:102:4,0.06
Eumetopias,jubatus,31.25,122.75,1312:112:2,0.07
Eumetopias,jubatus,31.75,122.25,1312:112:3,0.01
Eumetopias,jubatus,31.75,122.75,1312:112:4,0.10
Eumetopias,jubatus,31.75,123.25,1312:113:3,0.10
Eumetopias,jubatus,31.75,123.75,1312:113:4,0.11
Eumetopias,jubatus,31.75,124.25,1312:114:3,0.12
Eumetopias,jubatus,31.75,124.75,1312:114:4,0.10
Eumetopias,jubatus,32.75,120.75,1312:120:4,0.02
Eumetopias,jubatus,32.75,121.25,1312:121:3,0.09
Eumetopias,jubatus,32.25,122.25,1312:122:1,0.16
Eumetopias,jubatus,32.25,124.25,1312:124:1,0.19
Eumetopias,jubatus,32.25,124.75,1312:124:2,0.15
Eumetopias,jubatus,32.75,124.75,1312:124:4,0.12
Eumetopias,jubatus,33.25,123.75,1312:133:2,0.19
Eumetopias,jubatus,33.75,123.25,1312:133:3,0.18
Eumetopias,jubatus,33.75,123.75,1312:133:4,0.18
Eumetopias,jubatus,33.25,124.25,1312:134:1,0.15
Eumetopias,jubatus,33.25,124.75,1312:134:2,0.09
Eumetopias,jubatus,33.75,124.25,1312:134:3,0.19
Eumetopias,jubatus,34.25,121.25,1312:141:1,0.18
Eumetopias,jubatus,34.75,121.25,1312:141:3,0.18
Eumetopias,jubatus,31.75,125.25,1312:215:3,0.04
Eumetopias,jubatus,32.25,125.25,1312:225:1,0.05
Eumetopias,jubatus,32.75,125.25,1312:225:3,0.01
Eumetopias,jubatus,33.25,125.25,1312:235:1,0.01
Eumetopias,jubatus,33.75,125.25,1312:235:3,0.19
Eumetopias,jubatus,33.75,125.75,1312:235:4,0.12
Eumetopias,jubatus,33.75,126.25,1312:236:3,0.08
Eumetopias,jubatus,33.75,126.75,1312:236:4,0.01
Eumetopias,jubatus,34.25,126.75,1312:246:2,0.15
Eumetopias,jubatus,34.75,126.25,1312:246:3,0.10
Eumetopias,jubatus,34.75,126.75,1312:246:4,0.07
Eumetopias,jubatus,34.25,127.25,1312:247:1,0.12
Eumetopias,jubatus,34.25,127.75,1312:247:2,0.13
Eumetopias,jubatus,34.75,127.25,1312:247:3,0.11
Eumetopias,jubatus,34.75,127.75,1312:247:4,0.08
Eumetopias,jubatus,34.75,128.25,1312:248:3,0.19
Eumetopias,jubatus,34.75,128.75,1312:248:4,0.08
Eumetopias,jubatus,35.25,120.75,1312:350:2,0.17
Eumetopias,jubatus,35.75,121.25,1312:351:3,0.14
Eumetopias,jubatus,35.75,121.75,1312:351:4,0.19
Eumetopias,jubatus,35.75,123.25,1312:353:3,0.19
Eumetopias,jubatus,35.75,123.75,1312:353:4,0.19
Eumetopias,jubatus,36.75,120.75,1312:360:4,0.04
Eumetopias,jubatus,36.25,121.25,1312:361:1,0.17
Eumetopias,jubatus,36.25,121.75,1312:361:2,0.11
