Mapping parameters for Euphausia pacifica (Isada krill)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  77 ,
Bounding Box (NSWE): ,,22,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,213,493,1000
Temperature (°C),1,-0.17,5.39,16.52,22.16
Salinity (psu),1,24.8,29.8,33.49,34.56
Primary Production (mgC·m-3·day-1) ,1,1.97,5.89,30.36,75.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.04
Dissolved Bottom Oxygen (mmol·m-3),0,10,46.95,293.57,333.96
Distance to Land (km),0,1,12,217,1597
 

Map data (HSPEC) for predicted occurrences (n = 9326): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Euphausia,pacifica,25.25,119.25,1211:459:1,0.03
Euphausia,pacifica,26.25,120.25,1212:360:1,0.04
Euphausia,pacifica,26.75,120.25,1212:360:3,0.02
Euphausia,pacifica,26.75,120.75,1212:360:4,0.01
Euphausia,pacifica,27.25,120.25,1212:370:1,0.06
Euphausia,pacifica,28.25,121.25,1212:381:1,0.02
Euphausia,pacifica,29.25,124.25,1212:394:1,0.02
Euphausia,pacifica,29.25,124.75,1212:394:2,0.02
Euphausia,pacifica,29.75,125.75,1212:495:4,0.01
Euphausia,pacifica,35.25,119.25,1311:459:1,0.10
Euphausia,pacifica,39.25,119.25,1311:499:1,0.02
Euphausia,pacifica,30.25,124.25,1312:104:1,0.01
Euphausia,pacifica,34.25,124.75,1312:144:2,0.01
Euphausia,pacifica,30.25,126.25,1312:206:1,0.03
Euphausia,pacifica,30.25,126.75,1312:206:2,0.01
Euphausia,pacifica,30.75,126.25,1312:206:3,0.01
Euphausia,pacifica,30.75,126.75,1312:206:4,0.01
Euphausia,pacifica,31.25,126.75,1312:216:2,0.02
Euphausia,pacifica,31.75,126.75,1312:216:4,0.05
Euphausia,pacifica,31.75,127.25,1312:217:3,0.01
Euphausia,pacifica,32.75,125.25,1312:225:3,0.07
Euphausia,pacifica,32.75,125.75,1312:225:4,0.01
Euphausia,pacifica,32.25,126.25,1312:226:1,0.02
Euphausia,pacifica,32.25,126.75,1312:226:2,0.05
Euphausia,pacifica,32.75,126.25,1312:226:3,0.04
Euphausia,pacifica,32.75,126.75,1312:226:4,0.06
Euphausia,pacifica,32.25,127.25,1312:227:1,0.02
