Mapping parameters for Eviota queenslandica (Queensland dwarfgoby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,23,-24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,7,12
Temperature (°C),1,23.52,25.66,29.3,33.5
Salinity (psu),1,29.87,32.16,35.14,36.46
Primary Production (mgC·m-3·day-1) ,1,0.56,1.77,14.87,49.76
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,53.26,108.75,208.58,276.55
Distance to Land (km),0,1,12,164,352
 

Map data (HSPEC) for predicted occurrences (n = 3039): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Eviota,queenslandica,9.25,99.25,1009:499:1,0.10
Eviota,queenslandica,9.75,99.25,1009:499:3,0.04
Eviota,queenslandica,9.75,99.75,1009:499:4,0.18
Eviota,queenslandica,0.25,102.75,1010:102:2,0.05
Eviota,queenslandica,0.25,103.25,1010:103:1,0.06
Eviota,queenslandica,0.75,103.25,1010:103:3,0.03
Eviota,queenslandica,1.25,103.75,1010:113:2,0.07
Eviota,queenslandica,2.25,100.25,1010:120:1,0.06
Eviota,queenslandica,2.75,100.25,1010:120:3,0.09
Eviota,queenslandica,3.25,100.75,1010:130:2,0.13
Eviota,queenslandica,3.75,101.25,1010:131:3,0.16
Eviota,queenslandica,1.25,109.25,1010:219:1,0.19
Eviota,queenslandica,5.75,102.25,1010:352:3,0.17
Eviota,queenslandica,5.75,102.75,1010:352:4,0.13
Eviota,queenslandica,6.25,102.25,1010:362:1,0.06
Eviota,queenslandica,6.75,102.25,1010:362:3,0.14
Eviota,queenslandica,9.75,103.75,1010:393:4,0.12
Eviota,queenslandica,9.25,104.75,1010:394:2,0.14
Eviota,queenslandica,9.75,104.25,1010:394:3,0.11
Eviota,queenslandica,9.75,104.75,1010:394:4,0.05
Eviota,queenslandica,9.25,105.25,1010:495:1,0.02
Eviota,queenslandica,2.75,111.75,1011:121:4,0.12
Eviota,queenslandica,2.75,117.75,1011:227:4,0.10
Eviota,queenslandica,3.25,117.75,1011:237:2,0.06
Eviota,queenslandica,3.75,117.25,1011:237:3,0.04
Eviota,queenslandica,4.75,115.25,1011:245:3,0.12
Eviota,queenslandica,4.25,117.25,1011:247:1,0.16
Eviota,queenslandica,5.25,115.25,1011:455:1,0.02
Eviota,queenslandica,5.75,116.25,1011:456:3,0.05
Eviota,queenslandica,5.75,117.75,1011:457:4,0.11
Eviota,queenslandica,5.75,118.25,1011:458:3,0.12
Eviota,queenslandica,6.25,117.75,1011:467:2,0.16
Eviota,queenslandica,7.75,124.25,1012:374:3,0.01
Eviota,queenslandica,8.25,151.75,1015:381:2,0.16
Eviota,queenslandica,8.25,154.25,1015:384:1,0.18
Eviota,queenslandica,16.25,81.75,1108:361:2,0.07
Eviota,queenslandica,16.25,82.25,1108:362:1,0.17
Eviota,queenslandica,16.75,82.25,1108:362:3,0.13
Eviota,queenslandica,19.75,85.75,1108:495:4,0.14
Eviota,queenslandica,10.25,99.75,1109:209:2,0.15
Eviota,queenslandica,10.75,99.25,1109:209:3,0.17
Eviota,queenslandica,10.75,99.75,1109:209:4,0.11
Eviota,queenslandica,11.25,99.75,1109:219:2,0.01
Eviota,queenslandica,12.25,97.25,1109:227:1,0.16
Eviota,queenslandica,12.75,97.25,1109:227:3,0.05
Eviota,queenslandica,13.75,96.25,1109:236:3,0.05
