Mapping parameters for Excirolana armata ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,2,9,15
Temperature (°C),1,3.15,14.56,24.39,27.76
Salinity (psu),1,22.71,29.71,35.44,37.26
Primary Production (mgC·m-3·day-1) ,1,4.08,5.08,16.96,28.16
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,169.4,217.25,269.48,325.06
Distance to Land (km),0,1.7,2.7,24.3,40.5
 

Map data (HSPEC) for predicted occurrences (n = 219): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Excirolana,armata,-4.75,-37.75,5003:247:4,0.01
Excirolana,armata,-6.75,-34.75,5003:364:4,0.01
Excirolana,armata,-7.25,-34.75,5003:374:2,0.02
Excirolana,armata,-7.75,-34.75,5003:374:4,0.02
Excirolana,armata,-5.25,-36.25,5003:456:1,0.01
Excirolana,armata,-5.25,-36.75,5003:456:2,0.01
Excirolana,armata,-6.25,-35.25,5003:465:1,0.02
Excirolana,armata,-8.75,-35.25,5003:485:3,0.03
Excirolana,armata,-9.25,-35.25,5003:495:1,0.03
Excirolana,armata,-9.25,-35.75,5003:495:2,0.06
Excirolana,armata,-9.75,-35.25,5003:495:3,0.03
Excirolana,armata,-9.75,-35.75,5003:495:4,0.04
Excirolana,armata,-10.25,-35.75,5103:205:2,0.06
Excirolana,armata,-10.75,-36.25,5103:206:3,0.02
Excirolana,armata,-10.75,-37.25,5103:207:3,0.10
Excirolana,armata,-11.25,-36.75,5103:216:2,0.06
Excirolana,armata,-11.25,-37.25,5103:217:1,0.07
Excirolana,armata,-11.75,-37.25,5103:217:3,0.04
Excirolana,armata,-11.75,-37.75,5103:217:4,0.05
Excirolana,armata,-12.25,-37.75,5103:227:2,0.03
Excirolana,armata,-12.75,-38.25,5103:228:3,0.02
Excirolana,armata,-12.75,-38.75,5103:228:4,0.02
Excirolana,armata,-13.25,-38.75,5103:238:2,0.03
Excirolana,armata,-14.25,-39.25,5103:249:1,0.07
Excirolana,armata,-14.75,-39.25,5103:249:3,0.06
