Mapping parameters for Forsterygion lapillum (Common triplefin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,8.85,12.45,17.98,22.79
Salinity (psu),1,33.98,34.48,35.54,36.41
Primary Production (mgC·m-3·day-1) ,1,5.85,8.08,35.52,66.57
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,169.25,202.33,278.24,289.13
Distance to Land (km),0,0,2,89,92
 

Map data (HSPEC) for predicted occurrences (n = 173): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Forsterygion,lapillum,-29.25,153.25,3215:393:1,0.02
Forsterygion,lapillum,-29.75,153.25,3215:393:3,0.05
Forsterygion,lapillum,-30.25,153.25,3315:103:1,0.01
Forsterygion,lapillum,-31.25,152.75,3315:112:2,0.17
Forsterygion,lapillum,-32.25,152.75,3315:122:2,0.19
Forsterygion,lapillum,-31.75,159.25,3315:219:3,0.03
Forsterygion,lapillum,-34.25,172.25,3317:142:1,0.17
Forsterygion,lapillum,-36.75,174.25,3317:364:3,0.02
Forsterygion,lapillum,-36.75,175.25,3317:465:3,0.14
Forsterygion,lapillum,-37.25,177.25,3317:477:1,0.04
Forsterygion,lapillum,-46.75,168.25,3416:468:3,0.19
Forsterygion,lapillum,-48.25,166.75,3416:486:2,0.15
Forsterygion,lapillum,-48.25,167.75,3416:487:2,0.17
Forsterygion,lapillum,-50.75,166.25,3516:206:3,0.08
Forsterygion,lapillum,-31.75,152.75,3315:112:4,0.20
Forsterygion,lapillum,-32.75,151.75,3315:121:4,0.39
Forsterygion,lapillum,-32.25,152.25,3315:122:1,0.30
Forsterygion,lapillum,-32.75,152.25,3315:122:3,0.35
Forsterygion,lapillum,-34.75,172.75,3317:142:4,0.22
Forsterygion,lapillum,-36.75,174.75,3317:364:4,0.30
Forsterygion,lapillum,-39.75,173.75,3317:393:4,0.33
Forsterygion,lapillum,-47.75,167.25,3416:477:3,0.38
Forsterygion,lapillum,-48.25,167.25,3416:487:1,0.26
Forsterygion,lapillum,-48.25,168.25,3416:488:1,0.20
Forsterygion,lapillum,-43.25,170.75,3417:130:2,0.39
Forsterygion,lapillum,-43.75,171.75,3417:131:4,0.39
Forsterygion,lapillum,-43.75,172.25,3417:132:3,0.34
Forsterygion,lapillum,-44.25,171.75,3417:141:2,0.22
Forsterygion,lapillum,-33.25,151.25,3315:131:1,0.43
Forsterygion,lapillum,-33.25,151.75,3315:131:2,0.43
Forsterygion,lapillum,-33.75,151.25,3315:131:3,0.50
Forsterygion,lapillum,-34.25,150.75,3315:140:2,0.54
Forsterygion,lapillum,-34.25,151.25,3315:141:1,0.46
Forsterygion,lapillum,-37.75,175.75,3317:475:4,0.50
Forsterygion,lapillum,-45.75,167.25,3416:457:3,0.50
Forsterygion,lapillum,-46.75,168.75,3416:468:4,0.54
Forsterygion,lapillum,-47.75,167.75,3416:477:4,0.43
Forsterygion,lapillum,-43.75,172.75,3417:132:4,0.55
Forsterygion,lapillum,-44.25,171.25,3417:141:1,0.53
Forsterygion,lapillum,-44.75,171.25,3417:141:3,0.43
Forsterygion,lapillum,-46.25,170.75,3417:360:2,0.50
Forsterygion,lapillum,-34.75,150.75,3315:140:4,0.61
Forsterygion,lapillum,-35.25,150.25,3315:350:1,0.68
Forsterygion,lapillum,-35.25,150.75,3315:350:2,0.61
Forsterygion,lapillum,-35.75,150.25,3315:350:3,0.71
Forsterygion,lapillum,-36.25,150.25,3315:360:1,0.72
Forsterygion,lapillum,-36.75,150.25,3315:360:3,0.77
Forsterygion,lapillum,-46.75,169.25,3416:469:3,0.65
Forsterygion,lapillum,-46.75,169.75,3416:469:4,0.61
Forsterygion,lapillum,-40.25,173.25,3417:103:1,0.67
Forsterygion,lapillum,-42.25,171.25,3417:121:1,0.66
Forsterygion,lapillum,-42.75,171.25,3417:121:3,0.64
Forsterygion,lapillum,-42.75,173.25,3417:123:3,0.70
Forsterygion,lapillum,-43.25,173.25,3417:133:1,0.65
Forsterygion,lapillum,-44.75,171.75,3417:141:4,0.79
Forsterygion,lapillum,-44.25,172.25,3417:142:1,0.73
Forsterygion,lapillum,-45.75,170.75,3417:350:4,0.69
Forsterygion,lapillum,-45.25,171.25,3417:351:1,0.71
Forsterygion,lapillum,-46.25,170.25,3417:360:1,0.73
Forsterygion,lapillum,-36.75,149.75,3314:469:4,0.91
Forsterygion,lapillum,-37.25,150.25,3315:370:1,0.85
Forsterygion,lapillum,-37.75,150.25,3315:370:3,0.87
Forsterygion,lapillum,-34.25,172.75,3317:142:2,0.81
Forsterygion,lapillum,-34.25,173.25,3317:143:1,0.92
Forsterygion,lapillum,-34.75,173.25,3317:143:3,1.00
Forsterygion,lapillum,-34.75,173.75,3317:143:4,0.97
Forsterygion,lapillum,-34.75,174.25,3317:144:3,0.88
Forsterygion,lapillum,-35.25,173.25,3317:353:1,1.00
Forsterygion,lapillum,-35.25,173.75,3317:353:2,1.00
Forsterygion,lapillum,-35.75,173.75,3317:353:4,1.00
Forsterygion,lapillum,-35.25,174.25,3317:354:1,1.00
Forsterygion,lapillum,-35.25,174.75,3317:354:2,0.94
Forsterygion,lapillum,-35.75,174.25,3317:354:3,1.00
Forsterygion,lapillum,-35.75,174.75,3317:354:4,1.00
Forsterygion,lapillum,-36.25,174.25,3317:364:1,1.00
Forsterygion,lapillum,-36.25,174.75,3317:364:2,1.00
Forsterygion,lapillum,-37.25,174.75,3317:374:2,0.99
Forsterygion,lapillum,-37.75,174.75,3317:374:4,1.00
Forsterygion,lapillum,-38.25,174.75,3317:384:2,1.00
Forsterygion,lapillum,-38.75,174.25,3317:384:3,1.00
Forsterygion,lapillum,-38.75,174.75,3317:384:4,1.00
Forsterygion,lapillum,-39.25,173.75,3317:393:2,1.00
Forsterygion,lapillum,-39.25,174.25,3317:394:1,1.00
Forsterygion,lapillum,-39.75,174.25,3317:394:3,1.00
Forsterygion,lapillum,-39.75,174.75,3317:394:4,1.00
Forsterygion,lapillum,-36.25,175.25,3317:465:1,1.00
Forsterygion,lapillum,-36.25,175.75,3317:465:2,1.00
Forsterygion,lapillum,-36.75,175.75,3317:465:4,1.00
Forsterygion,lapillum,-36.75,176.25,3317:466:3,0.98
Forsterygion,lapillum,-37.25,175.25,3317:475:1,1.00
Forsterygion,lapillum,-37.25,175.75,3317:475:2,1.00
Forsterygion,lapillum,-37.25,176.25,3317:476:1,1.00
Forsterygion,lapillum,-37.75,176.25,3317:476:3,1.00
Forsterygion,lapillum,-37.75,176.75,3317:476:4,1.00
Forsterygion,lapillum,-37.75,177.25,3317:477:3,1.00
Forsterygion,lapillum,-37.75,177.75,3317:477:4,1.00
Forsterygion,lapillum,-37.75,178.25,3317:478:3,1.00
Forsterygion,lapillum,-37.75,178.75,3317:478:4,1.00
Forsterygion,lapillum,-38.75,177.75,3317:487:4,1.00
Forsterygion,lapillum,-38.25,178.25,3317:488:1,1.00
Forsterygion,lapillum,-38.75,178.25,3317:488:3,1.00
Forsterygion,lapillum,-39.75,175.25,3317:495:3,1.00
Forsterygion,lapillum,-39.25,176.75,3317:496:2,1.00
Forsterygion,lapillum,-39.75,176.75,3317:496:4,1.00
Forsterygion,lapillum,-39.25,177.25,3317:497:1,1.00
Forsterygion,lapillum,-39.25,177.75,3317:497:2,1.00
Forsterygion,lapillum,-39.75,177.25,3317:497:3,1.00
Forsterygion,lapillum,-39.25,178.25,3317:498:1,1.00
Forsterygion,lapillum,-43.75,168.25,3416:238:3,1.00
Forsterygion,lapillum,-43.75,168.75,3416:238:4,1.00
Forsterygion,lapillum,-43.25,169.75,3416:239:2,1.00
Forsterygion,lapillum,-43.75,169.25,3416:239:3,0.93
Forsterygion,lapillum,-43.75,169.75,3416:239:4,0.93
Forsterygion,lapillum,-44.25,167.75,3416:247:2,1.00
Forsterygion,lapillum,-44.75,167.25,3416:247:3,1.00
Forsterygion,lapillum,-44.75,167.75,3416:247:4,1.00
Forsterygion,lapillum,-44.25,168.25,3416:248:1,1.00
Forsterygion,lapillum,-45.25,166.75,3416:456:2,1.00
Forsterygion,lapillum,-45.75,166.25,3416:456:3,1.00
Forsterygion,lapillum,-45.75,166.75,3416:456:4,1.00
Forsterygion,lapillum,-45.25,167.25,3416:457:1,1.00
Forsterygion,lapillum,-46.25,166.75,3416:466:2,1.00
Forsterygion,lapillum,-46.75,166.75,3416:466:4,1.00
Forsterygion,lapillum,-46.25,167.25,3416:467:1,1.00
Forsterygion,lapillum,-46.25,167.75,3416:467:2,1.00
Forsterygion,lapillum,-46.75,167.75,3416:467:4,1.00
Forsterygion,lapillum,-46.25,168.25,3416:468:1,0.94
Forsterygion,lapillum,-46.25,169.75,3416:469:2,0.81
Forsterygion,lapillum,-47.25,167.25,3416:477:1,0.96
Forsterygion,lapillum,-47.25,167.75,3416:477:2,0.91
Forsterygion,lapillum,-47.25,168.25,3416:478:1,0.84
