Mapping parameters for Fritillaria pellucida ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  37 |  41 |  51 |  57 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,10.34,15.79,26.81,31.01
Salinity (psu),1,30.04,35.4,37.36,39.83
Primary Production (mgC·m-3·day-1) ,1,-0.52,0.48,18.31,41.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,117.09,184,257.08,330.69
Distance to Land (km),0,1,18,316,491.5
 

Map data (HSPEC) for predicted occurrences (n = 4718): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Fritillaria,pellucida,60.25,-4.25,7600:104:1,0.02
Fritillaria,pellucida,60.25,-3.75,7600:103:2,0.03
Fritillaria,pellucida,60.25,-3.25,7600:103:1,0.03
Fritillaria,pellucida,56.25,-15.25,7501:465:1,0.02
Fritillaria,pellucida,58.25,-13.75,7501:383:2,0.07
Fritillaria,pellucida,58.25,-13.25,7501:383:1,0.05
Fritillaria,pellucida,57.75,-14.25,7501:374:3,0.08
Fritillaria,pellucida,57.25,-14.75,7501:374:2,0.05
Fritillaria,pellucida,57.25,-14.25,7501:374:1,0.12
Fritillaria,pellucida,57.75,-13.75,7501:373:4,0.10
Fritillaria,pellucida,57.75,-13.25,7501:373:3,0.13
Fritillaria,pellucida,57.25,-13.75,7501:373:2,0.13
Fritillaria,pellucida,57.25,-13.25,7501:373:1,0.17
Fritillaria,pellucida,56.75,-14.75,7501:364:4,0.15
Fritillaria,pellucida,56.75,-14.25,7501:364:3,0.17
Fritillaria,pellucida,56.25,-14.75,7501:364:2,0.11
