Mapping parameters for Furgaleus macki (Whiskery shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57,
Bounding Box (NSWE): ,-21,-45,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,27,106,220
Temperature (°C),1,11.72,15.79,20.84,25.77
Salinity (psu),1,34.69,35.19,36.19,36.95
Primary Production (mgC·m-3·day-1) ,1,1.64,2.97,17.55,19.82
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.21,210.59,248.47,274.94
Distance to Land (km),0,6,11,165,357
 

Map data (HSPEC) for predicted occurrences (n = 370): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Furgaleus,macki,-21.75,114.25,3211:114:3,0.02
Furgaleus,macki,-22.25,113.75,3211:123:2,0.01
Furgaleus,macki,-22.75,113.25,3211:123:3,0.02
Furgaleus,macki,-22.75,113.75,3211:123:4,0.06
Furgaleus,macki,-22.25,114.25,3211:124:1,0.03
Furgaleus,macki,-23.75,112.75,3211:132:4,0.07
Furgaleus,macki,-23.25,113.25,3211:133:1,0.09
Furgaleus,macki,-23.25,113.75,3211:133:2,0.12
Furgaleus,macki,-23.75,113.25,3211:133:3,0.15
Furgaleus,macki,-24.25,112.25,3211:142:1,0.02
Furgaleus,macki,-24.25,112.75,3211:142:2,0.14
Furgaleus,macki,-24.75,112.25,3211:142:3,0.08
Furgaleus,macki,-25.25,112.25,3211:352:1,0.10
Furgaleus,macki,-25.75,112.25,3211:352:3,0.11
Furgaleus,macki,-26.25,112.25,3211:362:1,0.03
Furgaleus,macki,-26.25,112.75,3211:362:2,0.18
Furgaleus,macki,-26.75,112.75,3211:362:4,0.11
Furgaleus,macki,-26.75,113.25,3211:363:3,0.17
Furgaleus,macki,-27.25,112.75,3211:372:2,0.05
Furgaleus,macki,-27.25,113.25,3211:373:1,0.18
Furgaleus,macki,-27.25,113.75,3211:373:2,0.18
Furgaleus,macki,-27.75,113.25,3211:373:3,0.16
Furgaleus,macki,-27.75,113.75,3211:373:4,0.15
