Mapping parameters for Gadiculus argenteus (Silvery pout)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,69,24,-18,17

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,213,493,1000
Temperature (°C),1,2.11,10.03,19.5,24.01
Salinity (psu),1,24.2,33.88,37.13,38.64
Primary Production (mgC·m-3·day-1) ,1,0.23,1.23,12.66,28.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,183.45,195.52,276.59,314.31
Distance to Land (km),0,1,14,204,391
 

Map data (HSPEC) for predicted occurrences (n = 1589): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gadiculus,argenteus,64.25,-15.25,7601:245:1,0.14
Gadiculus,argenteus,63.75,-17.75,7601:237:4,0.13
Gadiculus,argenteus,62.75,-17.75,7601:227:4,0.16
Gadiculus,argenteus,62.25,-12.75,7601:122:2,0.07
Gadiculus,argenteus,61.75,-11.25,7601:111:3,0.04
Gadiculus,argenteus,64.75,-8.75,7600:248:4,0.02
Gadiculus,argenteus,64.25,-8.25,7600:248:1,0.06
Gadiculus,argenteus,63.75,-7.25,7600:237:3,0.01
Gadiculus,argenteus,63.25,-6.75,7600:236:2,0.19
Gadiculus,argenteus,62.25,-7.25,7600:227:1,0.05
Gadiculus,argenteus,62.25,-6.25,7600:226:1,0.11
Gadiculus,argenteus,62.25,-2.25,7600:122:1,0.16
Gadiculus,argenteus,61.75,-3.25,7600:113:3,0.08
Gadiculus,argenteus,60.75,-1.25,7600:101:3,0.13
Gadiculus,argenteus,60.25,-1.75,7600:101:2,0.05
Gadiculus,argenteus,58.75,-16.25,7501:486:3,0.01
