Mapping parameters for Gennadas elegans ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 18 |  21 |  31 |  34 |  37,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,796,2098,5330
Temperature (°C),1,-1.61,0,23.86,28.02
Salinity (psu),1,20.83,31.71,38.21,39.19
Primary Production (mgC·m-3·day-1) ,1,-0.53,0.47,11.81,37.7
Sea Ice Concentration (0-1 fraction),1,-0.92,0,0.38,0.96
Dissolved Bottom Oxygen (mmol·m-3),0,3.45,182.55,276.76,377.46
Distance to Land (km),0,1,23,583,1451
 

Map data (HSPEC) for predicted occurrences (n = 44532): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gennadas,elegans,80.25,-97.25,7809:207:1,0.01
Gennadas,elegans,80.25,-96.75,7809:206:2,0.01
Gennadas,elegans,80.25,-96.25,7809:206:1,0.01
Gennadas,elegans,80.75,-95.75,7809:205:4,0.01
Gennadas,elegans,80.25,-95.75,7809:205:2,0.01
Gennadas,elegans,81.25,-92.75,7809:112:2,0.01
Gennadas,elegans,81.25,-92.25,7809:112:1,0.01
Gennadas,elegans,81.25,-91.75,7809:111:2,0.02
Gennadas,elegans,81.25,-91.25,7809:111:1,0.02
Gennadas,elegans,81.25,-90.75,7809:110:2,0.03
Gennadas,elegans,81.25,-90.25,7809:110:1,0.02
Gennadas,elegans,80.75,-91.25,7809:101:3,0.03
Gennadas,elegans,80.75,-90.75,7809:100:4,0.04
Gennadas,elegans,80.75,-90.25,7809:100:3,0.04
Gennadas,elegans,81.25,-89.75,7808:219:2,0.01
Gennadas,elegans,81.25,-89.25,7808:219:1,0.02
Gennadas,elegans,81.25,-88.75,7808:218:2,0.02
Gennadas,elegans,81.25,-88.25,7808:218:1,0.01
Gennadas,elegans,81.25,-87.75,7808:217:2,0.01
Gennadas,elegans,81.25,-87.25,7808:217:1,0.01
Gennadas,elegans,81.25,-86.75,7808:216:2,0.01
Gennadas,elegans,81.25,-86.25,7808:216:1,0.01
Gennadas,elegans,81.25,-85.75,7808:215:2,0.01
Gennadas,elegans,81.25,-85.25,7808:215:1,0.01
Gennadas,elegans,80.75,-89.75,7808:209:4,0.04
Gennadas,elegans,80.75,-89.25,7808:209:3,0.04
Gennadas,elegans,80.25,-89.25,7808:209:1,0.01
Gennadas,elegans,80.75,-88.75,7808:208:4,0.06
Gennadas,elegans,80.75,-88.25,7808:208:3,0.06
Gennadas,elegans,80.25,-88.75,7808:208:2,0.05
Gennadas,elegans,80.25,-88.25,7808:208:1,0.05
