Mapping parameters for Gerres subfasciatus (Common silver belly)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,6,22,40
Temperature (°C),1,14.88,19.81,28.01,32.21
Salinity (psu),1,30.9,33.86,35.58,37.22
Primary Production (mgC·m-3·day-1) ,1,1.34,3.8,19.93,34.69
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,147.21,199.51,224.16,253.01
Distance to Land (km),0,0,5,97,166
 

Map data (HSPEC) for predicted occurrences (n = 3501): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gerres,subfasciatus,7.75,77.25,1007:477:3,0.08
Gerres,subfasciatus,8.25,77.25,1007:487:1,0.12
Gerres,subfasciatus,8.25,77.75,1007:487:2,0.13
Gerres,subfasciatus,0.25,97.75,1009:207:2,0.11
Gerres,subfasciatus,0.75,97.25,1009:207:3,0.17
Gerres,subfasciatus,1.25,97.25,1009:217:1,0.17
Gerres,subfasciatus,1.25,97.75,1009:217:2,0.18
Gerres,subfasciatus,1.75,97.25,1009:217:3,0.19
Gerres,subfasciatus,2.75,95.25,1009:225:3,0.11
Gerres,subfasciatus,2.75,95.75,1009:225:4,0.13
Gerres,subfasciatus,2.25,96.25,1009:226:1,0.14
Gerres,subfasciatus,2.25,96.75,1009:226:2,0.17
Gerres,subfasciatus,2.75,96.25,1009:226:3,0.14
Gerres,subfasciatus,2.75,96.75,1009:226:4,0.03
Gerres,subfasciatus,3.25,95.25,1009:235:1,0.10
Gerres,subfasciatus,3.25,95.75,1009:235:2,0.08
Gerres,subfasciatus,3.75,98.75,1009:238:4,0.04
Gerres,subfasciatus,3.25,99.25,1009:239:1,0.04
Gerres,subfasciatus,3.25,99.75,1009:239:2,0.05
Gerres,subfasciatus,3.75,99.25,1009:239:3,0.11
Gerres,subfasciatus,3.75,99.75,1009:239:4,0.12
Gerres,subfasciatus,4.75,95.25,1009:245:3,0.16
Gerres,subfasciatus,4.25,98.25,1009:248:1,0.08
Gerres,subfasciatus,4.25,98.75,1009:248:2,0.15
Gerres,subfasciatus,4.75,98.25,1009:248:3,0.19
Gerres,subfasciatus,4.75,98.75,1009:248:4,0.09
Gerres,subfasciatus,4.25,99.25,1009:249:1,0.10
Gerres,subfasciatus,4.25,99.75,1009:249:2,0.03
Gerres,subfasciatus,7.25,93.75,1009:373:2,0.18
Gerres,subfasciatus,7.75,93.75,1009:373:4,0.17
Gerres,subfasciatus,8.75,92.75,1009:382:4,0.19
Gerres,subfasciatus,8.25,93.75,1009:383:2,0.14
Gerres,subfasciatus,8.75,93.25,1009:383:3,0.16
Gerres,subfasciatus,8.75,93.75,1009:383:4,0.13
Gerres,subfasciatus,9.25,92.75,1009:392:2,0.18
Gerres,subfasciatus,5.25,95.25,1009:455:1,0.17
Gerres,subfasciatus,5.75,95.25,1009:455:3,0.19
Gerres,subfasciatus,5.25,99.75,1009:459:2,0.03
Gerres,subfasciatus,5.75,99.25,1009:459:3,0.08
Gerres,subfasciatus,5.75,99.75,1009:459:4,0.09
Gerres,subfasciatus,6.75,98.75,1009:468:4,0.03
Gerres,subfasciatus,6.25,99.25,1009:469:1,0.14
Gerres,subfasciatus,6.25,99.75,1009:469:2,0.17
Gerres,subfasciatus,6.75,99.75,1009:469:4,0.17
Gerres,subfasciatus,7.25,98.25,1009:478:1,0.11
Gerres,subfasciatus,7.25,98.75,1009:478:2,0.19
Gerres,subfasciatus,7.25,99.75,1009:479:2,0.15
Gerres,subfasciatus,7.75,99.25,1009:479:3,0.18
Gerres,subfasciatus,8.25,97.75,1009:487:2,0.12
