Mapping parameters for Glaucosoma hebraicum (West Australian dhufish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57,
Bounding Box (NSWE): ,-16,-36,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,22,96,200
Temperature (°C),1,14.01,19.64,27.18,31.38
Salinity (psu),1,34.05,34.74,35.74,36.39
Primary Production (mgC·m-3·day-1) ,1,1.1,2.1,7.35,9.01
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,135.59,199.27,232.07,248.41
Distance to Land (km),0,6,9,149,227
 

Map data (HSPEC) for predicted occurrences (n = 289): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Glaucosoma,hebraicum,-19.75,121.25,3112:391:3,0.03
Glaucosoma,hebraicum,-22.25,114.75,3211:124:2,0.16
Glaucosoma,hebraicum,-24.25,112.25,3211:142:1,0.15
Glaucosoma,hebraicum,-20.75,117.75,3211:207:4,0.05
Glaucosoma,hebraicum,-20.25,119.25,3211:209:1,0.14
Glaucosoma,hebraicum,-21.25,115.75,3211:215:2,0.09
Glaucosoma,hebraicum,-26.25,112.25,3211:362:1,0.15
Glaucosoma,hebraicum,-29.75,115.25,3211:495:3,0.19
Glaucosoma,hebraicum,-31.25,115.75,3311:215:2,0.14
Glaucosoma,hebraicum,-34.75,116.75,3311:246:4,0.09
Glaucosoma,hebraicum,-35.25,115.25,3311:455:1,0.03
Glaucosoma,hebraicum,-33.75,120.75,3312:130:4,0.12
Glaucosoma,hebraicum,-33.25,123.75,3312:133:2,0.04
Glaucosoma,hebraicum,-33.75,123.75,3312:133:4,0.16
Glaucosoma,hebraicum,-33.75,124.25,3312:134:3,0.13
Glaucosoma,hebraicum,-34.25,124.75,3312:144:2,0.10
Glaucosoma,hebraicum,-32.75,134.25,3313:124:3,0.16
Glaucosoma,hebraicum,-34.75,134.25,3313:144:3,0.11
Glaucosoma,hebraicum,-34.75,134.75,3313:144:4,0.12
Glaucosoma,hebraicum,-34.75,138.25,3313:248:3,0.18
Glaucosoma,hebraicum,-35.25,134.25,3313:354:1,0.16
Glaucosoma,hebraicum,-35.75,135.25,3313:455:3,0.03
Glaucosoma,hebraicum,-16.75,118.75,3111:468:4,0.35
Glaucosoma,hebraicum,-18.75,117.25,3111:487:3,0.34
Glaucosoma,hebraicum,-18.25,118.25,3111:488:1,0.38
Glaucosoma,hebraicum,-17.75,120.25,3112:370:3,0.21
Glaucosoma,hebraicum,-19.75,120.75,3112:390:4,0.26
Glaucosoma,hebraicum,-22.75,113.25,3211:123:3,0.25
Glaucosoma,hebraicum,-20.25,117.75,3211:207:2,0.34
Glaucosoma,hebraicum,-20.25,119.75,3211:209:2,0.26
Glaucosoma,hebraicum,-27.25,112.75,3211:372:2,0.33
Glaucosoma,hebraicum,-29.25,115.25,3211:495:1,0.29
Glaucosoma,hebraicum,-33.75,121.25,3312:131:3,0.25
Glaucosoma,hebraicum,-33.75,121.75,3312:131:4,0.31
Glaucosoma,hebraicum,-33.75,122.25,3312:132:3,0.32
Glaucosoma,hebraicum,-33.75,122.75,3312:132:4,0.38
Glaucosoma,hebraicum,-33.75,123.25,3312:133:3,0.36
Glaucosoma,hebraicum,-34.25,125.25,3312:245:1,0.29
Glaucosoma,hebraicum,-32.25,132.25,3313:122:1,0.37
Glaucosoma,hebraicum,-32.25,132.75,3313:122:2,0.26
Glaucosoma,hebraicum,-32.25,133.25,3313:123:1,0.23
Glaucosoma,hebraicum,-32.25,133.75,3313:123:2,0.20
Glaucosoma,hebraicum,-32.75,133.25,3313:123:3,0.36
Glaucosoma,hebraicum,-32.75,133.75,3313:123:4,0.24
Glaucosoma,hebraicum,-33.25,133.75,3313:133:2,0.38
Glaucosoma,hebraicum,-33.25,134.25,3313:134:1,0.24
Glaucosoma,hebraicum,-33.25,134.75,3313:134:2,0.23
Glaucosoma,hebraicum,-33.75,134.25,3313:134:3,0.36
Glaucosoma,hebraicum,-33.75,134.75,3313:134:4,0.28
Glaucosoma,hebraicum,-34.25,134.75,3313:144:2,0.36
Glaucosoma,hebraicum,-34.25,135.25,3313:245:1,0.23
Glaucosoma,hebraicum,-34.75,135.25,3313:245:3,0.27
Glaucosoma,hebraicum,-34.75,135.75,3313:245:4,0.21
Glaucosoma,hebraicum,-35.25,135.25,3313:455:1,0.32
Glaucosoma,hebraicum,-35.25,136.75,3313:456:2,0.26
Glaucosoma,hebraicum,-35.25,137.25,3313:457:1,0.30
Glaucosoma,hebraicum,-35.25,137.75,3313:457:2,0.34
Glaucosoma,hebraicum,-35.75,137.25,3313:457:3,0.38
Glaucosoma,hebraicum,-35.25,138.25,3313:458:1,0.33
Glaucosoma,hebraicum,-35.25,138.75,3313:458:2,0.23
Glaucosoma,hebraicum,-35.75,138.25,3313:458:3,0.39
Glaucosoma,hebraicum,-35.75,139.25,3313:459:3,0.39
Glaucosoma,hebraicum,-16.75,119.25,3111:469:3,0.53
Glaucosoma,hebraicum,-17.25,118.75,3111:478:2,0.58
Glaucosoma,hebraicum,-17.75,119.75,3111:479:4,0.44
Glaucosoma,hebraicum,-19.25,115.75,3111:495:2,0.46
Glaucosoma,hebraicum,-16.75,120.75,3112:360:4,0.54
Glaucosoma,hebraicum,-17.25,120.75,3112:370:2,0.44
Glaucosoma,hebraicum,-17.75,120.75,3112:370:4,0.53
Glaucosoma,hebraicum,-18.25,120.75,3112:380:2,0.56
Glaucosoma,hebraicum,-20.25,117.25,3211:207:1,0.58
Glaucosoma,hebraicum,-21.25,115.25,3211:215:1,0.49
Glaucosoma,hebraicum,-21.75,115.25,3211:215:3,0.50
Glaucosoma,hebraicum,-26.75,112.75,3211:362:4,0.58
Glaucosoma,hebraicum,-31.75,128.75,3312:218:4,0.59
Glaucosoma,hebraicum,-31.75,129.25,3312:219:3,0.57
Glaucosoma,hebraicum,-31.75,129.75,3312:219:4,0.57
