Mapping parameters for Glycymeris glycymeris (common European bittersweet)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,63,14,-32,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,50,100
Temperature (°C),1,3.63,10.09,19.73,24.69
Salinity (psu),1,9.93,33.66,37.55,39.25
Primary Production (mgC·m-3·day-1) ,1,0.26,1.34,21.26,46.49
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,176.03,231.93,281.45,344.3
Distance to Land (km),0,1,8,91,968
 

Map data (HSPEC) for predicted occurrences (n = 1632): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Glycymeris,glycymeris,39.25,2.25,1300:392:1,0.18
Glycymeris,glycymeris,37.75,9.75,1300:479:4,0.04
Glycymeris,glycymeris,38.75,8.25,1300:488:3,0.18
Glycymeris,glycymeris,32.75,13.75,1301:123:4,0.17
Glycymeris,glycymeris,32.25,14.75,1301:124:2,0.15
Glycymeris,glycymeris,32.75,14.25,1301:124:3,0.14
Glycymeris,glycymeris,32.75,14.75,1301:124:4,0.12
Glycymeris,glycymeris,33.75,11.75,1301:131:4,0.18
Glycymeris,glycymeris,33.25,12.25,1301:132:1,0.17
Glycymeris,glycymeris,33.25,12.75,1301:132:2,0.16
Glycymeris,glycymeris,33.75,12.25,1301:132:3,0.14
Glycymeris,glycymeris,33.75,12.75,1301:132:4,0.12
Glycymeris,glycymeris,33.25,13.75,1301:133:2,0.13
Glycymeris,glycymeris,34.75,10.25,1301:140:3,0.04
Glycymeris,glycymeris,34.25,11.75,1301:141:2,0.17
Glycymeris,glycymeris,34.25,12.25,1301:142:1,0.14
Glycymeris,glycymeris,34.25,12.75,1301:142:2,0.05
Glycymeris,glycymeris,34.75,12.25,1301:142:3,0.19
Glycymeris,glycymeris,34.75,12.75,1301:142:4,0.17
Glycymeris,glycymeris,34.25,13.25,1301:143:1,0.05
Glycymeris,glycymeris,34.75,13.25,1301:143:3,0.07
Glycymeris,glycymeris,30.75,18.75,1301:208:4,0.15
Glycymeris,glycymeris,30.75,19.25,1301:209:3,0.04
Glycymeris,glycymeris,30.75,19.75,1301:209:4,0.18
Glycymeris,glycymeris,31.75,15.25,1301:215:3,0.17
Glycymeris,glycymeris,31.75,15.75,1301:215:4,0.15
Glycymeris,glycymeris,31.25,16.25,1301:216:1,0.16
Glycymeris,glycymeris,31.25,16.75,1301:216:2,0.11
Glycymeris,glycymeris,31.75,16.25,1301:216:3,0.10
Glycymeris,glycymeris,31.25,17.25,1301:217:1,0.11
Glycymeris,glycymeris,31.25,17.75,1301:217:2,0.12
Glycymeris,glycymeris,31.25,18.25,1301:218:1,0.10
Glycymeris,glycymeris,31.25,19.75,1301:219:2,0.16
Glycymeris,glycymeris,31.75,19.75,1301:219:4,0.11
Glycymeris,glycymeris,32.25,15.25,1301:225:1,0.11
Glycymeris,glycymeris,32.25,15.75,1301:225:2,0.09
Glycymeris,glycymeris,32.75,15.25,1301:225:3,0.04
Glycymeris,glycymeris,32.25,19.75,1301:229:2,0.11
Glycymeris,glycymeris,35.25,10.75,1301:350:2,0.11
Glycymeris,glycymeris,35.25,12.75,1301:352:2,0.19
Glycymeris,glycymeris,35.25,13.25,1301:353:1,0.13
Glycymeris,glycymeris,36.25,10.25,1301:360:1,0.13
Glycymeris,glycymeris,36.75,13.25,1301:363:3,0.11
Glycymeris,glycymeris,36.25,14.75,1301:364:2,0.14
Glycymeris,glycymeris,37.75,10.25,1301:370:3,0.13
Glycymeris,glycymeris,37.75,10.75,1301:370:4,0.13
Glycymeris,glycymeris,37.25,11.75,1301:371:2,0.11
Glycymeris,glycymeris,38.25,13.75,1301:383:2,0.19
Glycymeris,glycymeris,38.75,13.25,1301:383:3,0.14
Glycymeris,glycymeris,38.75,14.25,1301:384:3,0.16
Glycymeris,glycymeris,38.75,14.75,1301:384:4,0.15
Glycymeris,glycymeris,35.75,15.25,1301:455:3,0.14
Glycymeris,glycymeris,36.25,15.25,1301:465:1,0.08
Glycymeris,glycymeris,38.75,15.25,1301:485:3,0.16
Glycymeris,glycymeris,39.25,15.75,1301:495:2,0.11
Glycymeris,glycymeris,39.75,15.25,1301:495:3,0.11
Glycymeris,glycymeris,39.75,15.75,1301:495:4,0.11
Glycymeris,glycymeris,39.25,17.25,1301:497:1,0.17
Glycymeris,glycymeris,39.75,17.25,1301:497:3,0.17
Glycymeris,glycymeris,39.75,17.75,1301:497:4,0.07
Glycymeris,glycymeris,39.75,18.25,1301:498:3,0.13
Glycymeris,glycymeris,39.75,18.75,1301:498:4,0.17
Glycymeris,glycymeris,39.25,19.75,1301:499:2,0.16
Glycymeris,glycymeris,30.75,20.25,1302:100:3,0.19
Glycymeris,glycymeris,31.25,20.25,1302:110:1,0.19
Glycymeris,glycymeris,31.75,20.25,1302:110:3,0.14
Glycymeris,glycymeris,32.25,20.25,1302:120:1,0.10
Glycymeris,glycymeris,32.75,20.25,1302:120:3,0.08
