Mapping parameters for Glyptocephalus stelleri (Blackfin flounder)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,66,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,8,15,800,1600
Temperature (°C),1,1.54,5.16,19.06,28.85
Salinity (psu),1,30.98,32.24,33.71,34.69
Primary Production (mgC·m-3·day-1) ,1,4.47,6.41,24.6,39.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,33.6,131.88,287.31,353.35
Distance to Land (km),0,4,11,107,252
 

Map data (HSPEC) for predicted occurrences (n = 1988): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Glyptocephalus,stelleri,15.25,108.75,1110:458:2,0.19
Glyptocephalus,stelleri,15.75,108.75,1110:458:4,0.19
Glyptocephalus,stelleri,15.25,109.25,1110:459:1,0.12
Glyptocephalus,stelleri,16.75,107.75,1110:467:4,0.15
Glyptocephalus,stelleri,16.25,108.75,1110:468:2,0.13
Glyptocephalus,stelleri,16.75,108.25,1110:468:3,0.19
Glyptocephalus,stelleri,17.25,107.75,1110:477:2,0.16
Glyptocephalus,stelleri,17.75,107.75,1110:477:4,0.04
Glyptocephalus,stelleri,17.25,108.25,1110:478:1,0.09
Glyptocephalus,stelleri,17.75,108.25,1110:478:3,0.02
Glyptocephalus,stelleri,17.75,108.75,1110:478:4,0.06
Glyptocephalus,stelleri,17.75,109.25,1110:479:3,0.11
Glyptocephalus,stelleri,17.75,109.75,1110:479:4,0.03
Glyptocephalus,stelleri,18.25,107.75,1110:487:2,0.04
Glyptocephalus,stelleri,18.75,107.25,1110:487:3,0.13
Glyptocephalus,stelleri,18.75,107.75,1110:487:4,0.10
Glyptocephalus,stelleri,18.25,108.25,1110:488:1,0.17
Glyptocephalus,stelleri,18.25,108.75,1110:488:2,0.17
Glyptocephalus,stelleri,18.75,108.25,1110:488:3,0.19
Glyptocephalus,stelleri,18.25,109.25,1110:489:1,0.19
Glyptocephalus,stelleri,19.25,105.75,1110:495:2,0.08
Glyptocephalus,stelleri,19.75,105.75,1110:495:4,0.13
Glyptocephalus,stelleri,19.25,106.75,1110:496:2,0.05
Glyptocephalus,stelleri,19.25,107.75,1110:497:2,0.06
Glyptocephalus,stelleri,19.75,108.25,1110:498:3,0.10
Glyptocephalus,stelleri,18.25,110.25,1111:380:1,0.19
Glyptocephalus,stelleri,19.25,111.25,1111:391:1,0.12
Glyptocephalus,stelleri,20.25,106.25,1210:206:1,0.19
Glyptocephalus,stelleri,20.25,107.25,1210:207:1,0.01
Glyptocephalus,stelleri,20.75,109.75,1210:209:4,0.10
Glyptocephalus,stelleri,21.25,108.75,1210:218:2,0.02
Glyptocephalus,stelleri,20.75,112.75,1211:102:4,0.10
