Mapping parameters for Gobius cobitis (Giant goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,53,30,-10,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,12,23,35
Temperature (°C),1,11.75,13.01,20.93,24.13
Salinity (psu),1,16.33,34.33,38.59,39.21
Primary Production (mgC·m-3·day-1) ,1,-0.48,0.52,9.46,16.64
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,107.61,188.18,275.89,339.38
Distance to Land (km),0,2,6,22,192
 

Map data (HSPEC) for predicted occurrences (n = 796): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gobius,cobitis,52.25,-9.75,7500:229:2,0.08
Gobius,cobitis,52.25,-7.75,7500:227:2,0.05
Gobius,cobitis,52.25,-7.25,7500:227:1,0.14
Gobius,cobitis,52.25,-6.75,7500:226:2,0.15
Gobius,cobitis,52.25,-5.25,7500:225:1,0.08
Gobius,cobitis,51.75,-9.75,7500:219:4,0.18
Gobius,cobitis,51.75,-8.75,7500:218:4,0.08
Gobius,cobitis,51.75,-7.75,7500:217:4,0.08
Gobius,cobitis,52.75,-4.75,7500:124:4,0.02
Gobius,cobitis,52.25,-4.75,7500:124:2,0.15
Gobius,cobitis,50.75,-2.25,7500:102:3,0.14
Gobius,cobitis,50.25,-2.75,7500:102:2,0.13
Gobius,cobitis,50.25,-0.75,7500:100:2,0.07
Gobius,cobitis,46.75,-2.25,7400:362:3,0.03
Gobius,cobitis,52.75,3.25,1500:123:3,0.08
Gobius,cobitis,52.25,2.75,1500:122:2,0.13
Gobius,cobitis,52.25,2.25,1500:122:1,0.15
Gobius,cobitis,51.75,2.75,1500:112:4,0.12
Gobius,cobitis,51.25,1.25,1500:111:1,0.17
Gobius,cobitis,50.75,0.25,1500:100:3,0.19
Gobius,cobitis,43.25,40.75,1404:130:2,0.14
Gobius,cobitis,43.25,40.25,1404:130:1,0.15
Gobius,cobitis,42.75,41.75,1404:121:4,0.18
Gobius,cobitis,42.75,41.25,1404:121:3,0.14
Gobius,cobitis,42.25,41.75,1404:121:2,0.18
Gobius,cobitis,42.75,40.75,1404:120:4,0.06
Gobius,cobitis,41.75,41.75,1404:111:4,0.19
Gobius,cobitis,41.25,41.25,1404:111:1,0.16
Gobius,cobitis,41.25,40.75,1404:110:2,0.14
Gobius,cobitis,41.25,40.25,1404:110:1,0.14
Gobius,cobitis,47.25,39.25,1403:479:1,0.01
Gobius,cobitis,47.25,37.75,1403:477:2,0.01
Gobius,cobitis,46.75,37.25,1403:467:3,0.03
Gobius,cobitis,46.75,36.75,1403:466:4,0.05
Gobius,cobitis,46.75,36.25,1403:466:3,0.04
Gobius,cobitis,46.25,36.75,1403:466:2,0.05
Gobius,cobitis,46.25,36.25,1403:466:1,0.10
Gobius,cobitis,46.25,35.75,1403:465:2,0.05
Gobius,cobitis,45.75,37.75,1403:457:4,0.01
Gobius,cobitis,45.25,37.25,1403:457:1,0.02
Gobius,cobitis,45.75,36.75,1403:456:4,0.05
Gobius,cobitis,45.75,36.25,1403:456:3,0.10
Gobius,cobitis,45.25,36.75,1403:456:2,0.05
Gobius,cobitis,45.25,36.25,1403:456:1,0.10
Gobius,cobitis,45.75,35.75,1403:455:4,0.10
Gobius,cobitis,45.75,35.25,1403:455:3,0.10
Gobius,cobitis,45.25,35.75,1403:455:2,0.11
Gobius,cobitis,45.25,35.25,1403:455:1,0.10
Gobius,cobitis,46.25,31.25,1403:361:1,0.07
Gobius,cobitis,45.25,33.75,1403:353:2,0.09
Gobius,cobitis,45.25,33.25,1403:353:1,0.12
Gobius,cobitis,45.75,32.25,1403:352:3,0.08
Gobius,cobitis,45.25,32.75,1403:352:2,0.12
Gobius,cobitis,45.75,31.75,1403:351:4,0.10
Gobius,cobitis,45.75,31.25,1403:351:3,0.10
Gobius,cobitis,45.75,30.75,1403:350:4,0.01
Gobius,cobitis,45.25,30.75,1403:350:2,0.06
Gobius,cobitis,44.25,39.25,1403:249:1,0.13
Gobius,cobitis,44.75,38.25,1403:248:3,0.12
Gobius,cobitis,44.25,38.75,1403:248:2,0.14
Gobius,cobitis,44.25,38.25,1403:248:1,0.14
Gobius,cobitis,44.75,37.75,1403:247:4,0.08
Gobius,cobitis,44.75,36.75,1403:246:4,0.10
Gobius,cobitis,44.75,36.25,1403:246:3,0.12
Gobius,cobitis,44.75,35.75,1403:245:4,0.12
Gobius,cobitis,44.75,35.25,1403:245:3,0.13
Gobius,cobitis,43.75,39.75,1403:239:4,0.14
Gobius,cobitis,43.75,39.25,1403:239:3,0.13
Gobius,cobitis,43.25,39.75,1403:239:2,0.15
Gobius,cobitis,42.25,35.25,1403:225:1,0.14
Gobius,cobitis,41.25,39.75,1403:219:2,0.14
Gobius,cobitis,41.25,39.25,1403:219:1,0.14
Gobius,cobitis,41.25,38.75,1403:218:2,0.14
Gobius,cobitis,41.25,38.25,1403:218:1,0.14
Gobius,cobitis,41.25,37.75,1403:217:2,0.14
Gobius,cobitis,41.25,37.25,1403:217:1,0.14
Gobius,cobitis,41.75,36.25,1403:216:3,0.14
Gobius,cobitis,41.25,36.75,1403:216:2,0.18
Gobius,cobitis,41.75,35.75,1403:215:4,0.14
Gobius,cobitis,41.75,35.25,1403:215:3,0.14
Gobius,cobitis,44.75,34.75,1403:144:4,0.13
Gobius,cobitis,44.75,34.25,1403:144:3,0.12
Gobius,cobitis,44.25,34.25,1403:144:1,0.14
Gobius,cobitis,44.75,33.75,1403:143:4,0.13
Gobius,cobitis,44.75,33.25,1403:143:3,0.14
Gobius,cobitis,44.25,33.75,1403:143:2,0.14
Gobius,cobitis,42.25,34.75,1403:124:2,0.14
Gobius,cobitis,42.25,34.25,1403:124:1,0.14
Gobius,cobitis,42.25,33.75,1403:123:2,0.14
Gobius,cobitis,42.25,33.25,1403:123:1,0.14
Gobius,cobitis,41.75,34.75,1403:114:4,0.17
Gobius,cobitis,41.75,34.25,1403:114:3,0.18
Gobius,cobitis,41.75,33.25,1403:113:3,0.18
Gobius,cobitis,41.75,32.75,1403:112:4,0.17
Gobius,cobitis,41.75,32.25,1403:112:3,0.14
Gobius,cobitis,41.75,31.75,1403:111:4,0.14
Gobius,cobitis,41.25,31.75,1403:111:2,0.19
Gobius,cobitis,41.25,31.25,1403:111:1,0.14
Gobius,cobitis,41.25,30.75,1403:110:2,0.14
Gobius,cobitis,41.25,30.25,1403:110:1,0.14
Gobius,cobitis,43.75,29.75,1402:239:4,0.10
Gobius,cobitis,43.75,28.75,1402:238:4,0.02
Gobius,cobitis,43.25,28.75,1402:238:2,0.09
Gobius,cobitis,43.25,28.25,1402:238:1,0.07
Gobius,cobitis,43.25,27.75,1402:237:2,0.08
Gobius,cobitis,42.75,28.25,1402:228:3,0.06
Gobius,cobitis,42.25,28.25,1402:228:1,0.10
Gobius,cobitis,42.75,27.75,1402:227:4,0.09
Gobius,cobitis,42.25,27.75,1402:227:2,0.09
Gobius,cobitis,41.25,29.75,1402:219:2,0.14
Gobius,cobitis,41.25,29.25,1402:219:1,0.14
Gobius,cobitis,41.75,28.25,1402:218:3,0.10
Gobius,cobitis,41.25,28.75,1402:218:2,0.19
Gobius,cobitis,44.25,12.75,1401:142:2,0.02
Gobius,cobitis,49.25,0.25,1400:390:1,0.11
Gobius,cobitis,36.25,35.75,1303:465:2,0.10
Gobius,cobitis,35.75,35.75,1303:455:4,0.07
Gobius,cobitis,35.25,35.75,1303:455:2,0.06
Gobius,cobitis,36.75,34.75,1303:364:4,0.05
Gobius,cobitis,36.25,34.25,1303:364:1,0.02
Gobius,cobitis,36.25,33.75,1303:363:2,0.01
Gobius,cobitis,36.25,33.25,1303:363:1,0.05
Gobius,cobitis,36.25,32.75,1303:362:2,0.05
Gobius,cobitis,35.75,34.75,1303:354:4,0.01
Gobius,cobitis,34.75,35.75,1303:245:4,0.06
Gobius,cobitis,34.25,35.75,1303:245:2,0.15
Gobius,cobitis,33.75,35.25,1303:235:3,0.11
Gobius,cobitis,33.25,35.25,1303:235:1,0.19
Gobius,cobitis,34.75,34.25,1303:144:3,0.01
Gobius,cobitis,34.75,33.25,1303:143:3,0.01
Gobius,cobitis,32.25,34.75,1303:124:2,0.09
Gobius,cobitis,37.25,27.25,1302:477:1,0.16
Gobius,cobitis,36.75,27.25,1302:467:3,0.04
Gobius,cobitis,36.25,27.75,1302:467:2,0.02
Gobius,cobitis,36.25,27.25,1302:467:1,0.11
Gobius,cobitis,36.75,26.75,1302:466:4,0.18
Gobius,cobitis,35.75,27.75,1302:457:4,0.02
Gobius,cobitis,35.75,27.25,1302:457:3,0.13
Gobius,cobitis,35.25,27.25,1302:457:1,0.17
Gobius,cobitis,31.25,29.25,1302:219:1,0.07
Gobius,cobitis,51.75,-9.25,7500:219:3,0.20
Gobius,cobitis,51.75,-5.25,7500:215:3,0.24
Gobius,cobitis,51.75,-4.75,7500:114:4,0.28
Gobius,cobitis,50.75,-1.75,7500:101:4,0.33
Gobius,cobitis,50.75,-0.75,7500:100:4,0.34
