Mapping parameters for Gobius vittatus (Striped goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 37,
Bounding Box (NSWE): ,46,30,-6,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,15,50,85
Temperature (°C),1,14.65,16.99,19.98,23.03
Salinity (psu),1,35.36,36.1,38.11,39.7
Primary Production (mgC·m-3·day-1) ,1,-0.54,0.46,8.74,23.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,110.34,183.67,248.66,320.66
Distance to Land (km),0,0,5,78,91
 

Map data (HSPEC) for predicted occurrences (n = 534): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gobius,vittatus,36.75,35.25,1303:465:3,0.01
Gobius,vittatus,36.25,35.75,1303:465:2,0.02
Gobius,vittatus,36.25,35.25,1303:465:1,0.02
Gobius,vittatus,35.75,35.75,1303:455:4,0.02
Gobius,vittatus,35.25,35.75,1303:455:2,0.03
Gobius,vittatus,36.75,34.75,1303:364:4,0.02
Gobius,vittatus,36.75,34.25,1303:364:3,0.11
Gobius,vittatus,36.25,34.25,1303:364:1,0.02
Gobius,vittatus,36.25,33.75,1303:363:2,0.03
Gobius,vittatus,36.25,33.25,1303:363:1,0.04
Gobius,vittatus,36.25,32.75,1303:362:2,0.05
Gobius,vittatus,36.25,32.25,1303:362:1,0.04
Gobius,vittatus,36.75,31.75,1303:361:4,0.17
Gobius,vittatus,36.75,31.25,1303:361:3,0.04
Gobius,vittatus,36.75,30.75,1303:360:4,0.05
Gobius,vittatus,36.25,30.75,1303:360:2,0.06
