Mapping parameters for Gymnapistes marmoratus (Soldier)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,-10,-45,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,15,26
Temperature (°C),1,10.94,15.11,20.55,28.76
Salinity (psu),1,33.7,35.39,37.59,40.11
Primary Production (mgC·m-3·day-1) ,1,0.87,2.58,21.49,36.23
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,88.86,218.21,250.06,268.27
Distance to Land (km),0,0,3,144,319
 

Map data (HSPEC) for predicted occurrences (n = 580): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gymnapistes,marmoratus,-11.75,96.75,3109:216:4,0.01
Gymnapistes,marmoratus,-12.25,96.75,3109:226:2,0.01
Gymnapistes,marmoratus,-13.25,96.25,3109:236:1,0.01
Gymnapistes,marmoratus,-10.25,105.75,3110:205:2,0.02
Gymnapistes,marmoratus,-10.75,105.75,3110:205:4,0.02
Gymnapistes,marmoratus,-17.25,118.75,3111:478:2,0.03
Gymnapistes,marmoratus,-17.75,118.75,3111:478:4,0.08
Gymnapistes,marmoratus,-17.25,119.25,3111:479:1,0.04
Gymnapistes,marmoratus,-17.25,119.75,3111:479:2,0.05
Gymnapistes,marmoratus,-17.75,119.25,3111:479:3,0.07
Gymnapistes,marmoratus,-19.25,116.75,3111:496:2,0.14
Gymnapistes,marmoratus,-19.75,117.25,3111:497:3,0.16
Gymnapistes,marmoratus,-19.75,117.75,3111:497:4,0.16
Gymnapistes,marmoratus,-19.25,118.25,3111:498:1,0.12
Gymnapistes,marmoratus,-19.75,118.25,3111:498:3,0.12
Gymnapistes,marmoratus,-19.75,118.75,3111:498:4,0.11
Gymnapistes,marmoratus,-19.25,119.25,3111:499:1,0.12
Gymnapistes,marmoratus,-19.75,119.25,3111:499:3,0.13
Gymnapistes,marmoratus,-19.75,119.75,3111:499:4,0.15
Gymnapistes,marmoratus,-14.25,122.25,3112:142:1,0.01
Gymnapistes,marmoratus,-14.25,123.75,3112:143:2,0.01
Gymnapistes,marmoratus,-14.75,123.75,3112:143:4,0.01
Gymnapistes,marmoratus,-14.25,124.75,3112:144:2,0.01
Gymnapistes,marmoratus,-14.75,124.75,3112:144:4,0.01
Gymnapistes,marmoratus,-13.25,125.75,3112:235:2,0.02
Gymnapistes,marmoratus,-13.75,125.25,3112:235:3,0.01
Gymnapistes,marmoratus,-13.75,125.75,3112:235:4,0.03
Gymnapistes,marmoratus,-13.25,126.25,3112:236:1,0.02
Gymnapistes,marmoratus,-13.25,126.75,3112:236:2,0.01
Gymnapistes,marmoratus,-13.75,126.25,3112:236:3,0.03
Gymnapistes,marmoratus,-13.75,126.75,3112:236:4,0.03
Gymnapistes,marmoratus,-13.25,127.25,3112:237:1,0.01
Gymnapistes,marmoratus,-13.75,127.25,3112:237:3,0.02
Gymnapistes,marmoratus,-13.75,127.75,3112:237:4,0.02
Gymnapistes,marmoratus,-14.25,125.25,3112:245:1,0.02
Gymnapistes,marmoratus,-14.25,125.75,3112:245:2,0.02
Gymnapistes,marmoratus,-14.75,125.25,3112:245:3,0.02
Gymnapistes,marmoratus,-14.75,125.75,3112:245:4,0.02
Gymnapistes,marmoratus,-14.25,126.25,3112:246:1,0.02
Gymnapistes,marmoratus,-14.25,126.75,3112:246:2,0.02
Gymnapistes,marmoratus,-14.25,127.75,3112:247:2,0.02
Gymnapistes,marmoratus,-14.75,127.75,3112:247:4,0.01
Gymnapistes,marmoratus,-14.25,128.25,3112:248:1,0.02
Gymnapistes,marmoratus,-14.25,128.75,3112:248:2,0.01
Gymnapistes,marmoratus,-14.75,128.75,3112:248:4,0.01
Gymnapistes,marmoratus,-15.25,121.75,3112:351:2,0.03
Gymnapistes,marmoratus,-15.75,121.25,3112:351:3,0.03
Gymnapistes,marmoratus,-15.75,121.75,3112:351:4,0.04
Gymnapistes,marmoratus,-15.25,122.25,3112:352:1,0.03
Gymnapistes,marmoratus,-15.75,122.25,3112:352:3,0.04
Gymnapistes,marmoratus,-15.75,122.75,3112:352:4,0.03
Gymnapistes,marmoratus,-15.25,123.25,3112:353:1,0.02
Gymnapistes,marmoratus,-15.25,123.75,3112:353:2,0.01
Gymnapistes,marmoratus,-15.75,123.25,3112:353:3,0.03
Gymnapistes,marmoratus,-15.75,123.75,3112:353:4,0.02
Gymnapistes,marmoratus,-15.25,124.25,3112:354:1,0.01
Gymnapistes,marmoratus,-15.25,124.75,3112:354:2,0.02
Gymnapistes,marmoratus,-15.75,124.25,3112:354:3,0.02
Gymnapistes,marmoratus,-15.75,124.75,3112:354:4,0.02
Gymnapistes,marmoratus,-16.25,121.25,3112:361:1,0.05
Gymnapistes,marmoratus,-16.25,121.75,3112:361:2,0.04
Gymnapistes,marmoratus,-16.75,121.25,3112:361:3,0.06
Gymnapistes,marmoratus,-16.75,121.75,3112:361:4,0.07
Gymnapistes,marmoratus,-16.25,122.25,3112:362:1,0.06
Gymnapistes,marmoratus,-16.25,122.75,3112:362:2,0.05
Gymnapistes,marmoratus,-16.75,122.25,3112:362:3,0.07
Gymnapistes,marmoratus,-16.75,122.75,3112:362:4,0.04
Gymnapistes,marmoratus,-16.25,123.25,3112:363:1,0.04
Gymnapistes,marmoratus,-16.25,123.75,3112:363:2,0.03
Gymnapistes,marmoratus,-16.75,123.75,3112:363:4,0.04
Gymnapistes,marmoratus,-16.25,124.25,3112:364:1,0.03
Gymnapistes,marmoratus,-16.25,124.75,3112:364:2,0.03
Gymnapistes,marmoratus,-17.25,121.75,3112:371:2,0.08
Gymnapistes,marmoratus,-17.25,122.25,3112:372:1,0.06
Gymnapistes,marmoratus,-17.75,122.25,3112:372:3,0.06
Gymnapistes,marmoratus,-17.25,123.25,3112:373:1,0.04
Gymnapistes,marmoratus,-17.25,123.75,3112:373:2,0.05
Gymnapistes,marmoratus,-18.25,121.75,3112:381:2,0.10
Gymnapistes,marmoratus,-18.75,121.25,3112:381:3,0.03
Gymnapistes,marmoratus,-18.75,121.75,3112:381:4,0.04
Gymnapistes,marmoratus,-18.25,122.25,3112:382:1,0.05
Gymnapistes,marmoratus,-19.25,120.75,3112:390:2,0.06
Gymnapistes,marmoratus,-19.75,120.25,3112:390:3,0.15
Gymnapistes,marmoratus,-19.75,120.75,3112:390:4,0.09
Gymnapistes,marmoratus,-19.25,121.75,3112:391:2,0.04
Gymnapistes,marmoratus,-19.75,121.25,3112:391:3,0.07
Gymnapistes,marmoratus,-15.25,125.25,3112:455:1,0.02
Gymnapistes,marmoratus,-15.25,128.25,3112:458:1,0.01
Gymnapistes,marmoratus,-20.25,115.25,3211:205:1,0.19
Gymnapistes,marmoratus,-20.25,115.75,3211:205:2,0.18
Gymnapistes,marmoratus,-20.75,115.25,3211:205:3,0.18
Gymnapistes,marmoratus,-20.75,115.75,3211:205:4,0.05
Gymnapistes,marmoratus,-20.25,116.25,3211:206:1,0.13
Gymnapistes,marmoratus,-20.25,116.75,3211:206:2,0.14
Gymnapistes,marmoratus,-20.75,116.75,3211:206:4,0.05
Gymnapistes,marmoratus,-20.25,117.25,3211:207:1,0.13
Gymnapistes,marmoratus,-20.25,117.75,3211:207:2,0.10
Gymnapistes,marmoratus,-20.75,117.25,3211:207:3,0.07
Gymnapistes,marmoratus,-20.75,117.75,3211:207:4,0.07
Gymnapistes,marmoratus,-20.25,118.25,3211:208:1,0.05
Gymnapistes,marmoratus,-20.25,118.75,3211:208:2,0.05
Gymnapistes,marmoratus,-20.25,119.25,3211:209:1,0.10
Gymnapistes,marmoratus,-20.25,119.75,3211:209:2,0.12
Gymnapistes,marmoratus,-21.25,115.25,3211:215:1,0.15
Gymnapistes,marmoratus,-21.25,115.75,3211:215:2,0.09
Gymnapistes,marmoratus,-21.75,115.25,3211:215:3,0.17
Gymnapistes,marmoratus,-28.25,113.25,3211:383:1,0.12
Gymnapistes,marmoratus,-25.25,159.75,3215:459:2,0.11
Gymnapistes,marmoratus,-33.25,129.75,3312:239:2,0.09
Gymnapistes,marmoratus,-32.25,130.75,3313:120:2,0.18
Gymnapistes,marmoratus,-33.25,131.75,3313:131:2,0.09
Gymnapistes,marmoratus,-32.75,137.75,3313:227:4,0.07
Gymnapistes,marmoratus,-33.75,136.75,3313:236:4,0.10
Gymnapistes,marmoratus,-33.75,137.25,3313:237:3,0.15
Gymnapistes,marmoratus,-34.25,137.25,3313:247:1,0.10
Gymnapistes,marmoratus,-37.25,174.25,3317:374:1,0.17
Gymnapistes,marmoratus,-37.25,174.75,3317:374:2,0.02
Gymnapistes,marmoratus,-37.25,175.25,3317:475:1,0.15
Gymnapistes,marmoratus,-43.25,147.25,3414:237:1,0.17
Gymnapistes,marmoratus,-40.75,172.75,3417:102:4,0.04
Gymnapistes,marmoratus,-41.75,171.25,3417:111:3,0.05
Gymnapistes,marmoratus,-41.25,173.75,3417:113:2,0.07
Gymnapistes,marmoratus,-41.25,174.25,3417:114:1,0.14
Gymnapistes,marmoratus,-42.25,173.75,3417:123:2,0.02
Gymnapistes,marmoratus,-42.75,173.75,3417:123:4,0.06
Gymnapistes,marmoratus,-42.25,174.25,3417:124:1,0.05
Gymnapistes,marmoratus,-43.75,173.25,3417:133:3,0.01
Gymnapistes,marmoratus,-43.75,173.75,3417:133:4,0.12
Gymnapistes,marmoratus,-44.75,171.75,3417:141:4,0.09
Gymnapistes,marmoratus,-44.25,172.75,3417:142:2,0.10
Gymnapistes,marmoratus,-29.25,-177.75,5217:497:2,0.05
Gymnapistes,marmoratus,-30.25,-178.25,5317:208:1,0.12
Gymnapistes,marmoratus,-21.75,113.75,3211:113:4,0.25
Gymnapistes,marmoratus,-21.25,114.75,3211:114:2,0.21
Gymnapistes,marmoratus,-21.75,114.25,3211:114:3,0.27
Gymnapistes,marmoratus,-21.75,114.75,3211:114:4,0.24
Gymnapistes,marmoratus,-22.25,113.75,3211:123:2,0.26
Gymnapistes,marmoratus,-22.75,113.75,3211:123:4,0.32
Gymnapistes,marmoratus,-22.25,114.25,3211:124:1,0.29
Gymnapistes,marmoratus,-22.25,114.75,3211:124:2,0.25
Gymnapistes,marmoratus,-23.25,113.25,3211:133:1,0.35
Gymnapistes,marmoratus,-23.25,113.75,3211:133:2,0.37
Gymnapistes,marmoratus,-23.75,113.25,3211:133:3,0.39
Gymnapistes,marmoratus,-25.25,161.75,3216:351:2,0.24
Gymnapistes,marmoratus,-25.75,161.25,3216:351:3,0.27
Gymnapistes,marmoratus,-25.75,161.75,3216:351:4,0.25
Gymnapistes,marmoratus,-25.25,162.25,3216:352:1,0.24
Gymnapistes,marmoratus,-25.25,162.75,3216:352:2,0.23
Gymnapistes,marmoratus,-25.75,162.25,3216:352:3,0.24
Gymnapistes,marmoratus,-25.75,162.75,3216:352:4,0.23
Gymnapistes,marmoratus,-25.75,163.25,3216:353:3,0.23
Gymnapistes,marmoratus,-26.25,161.75,3216:361:2,0.25
Gymnapistes,marmoratus,-26.25,162.25,3216:362:1,0.24
Gymnapistes,marmoratus,-29.75,167.75,3216:497:4,0.26
Gymnapistes,marmoratus,-33.25,114.75,3311:134:2,0.36
Gymnapistes,marmoratus,-32.75,128.25,3312:228:3,0.27
Gymnapistes,marmoratus,-32.75,128.75,3312:228:4,0.27
Gymnapistes,marmoratus,-32.25,129.75,3312:229:2,0.36
Gymnapistes,marmoratus,-33.75,133.25,3313:133:3,0.27
Gymnapistes,marmoratus,-33.25,137.25,3313:237:1,0.39
Gymnapistes,marmoratus,-33.25,138.25,3313:238:1,0.37
Gymnapistes,marmoratus,-37.75,139.75,3313:479:4,0.36
Gymnapistes,marmoratus,-40.75,144.75,3414:104:4,0.32
Gymnapistes,marmoratus,-43.75,168.75,3416:238:4,0.34
Gymnapistes,marmoratus,-43.25,169.75,3416:239:2,0.28
Gymnapistes,marmoratus,-44.75,167.75,3416:247:4,0.34
Gymnapistes,marmoratus,-40.75,173.25,3417:103:3,0.26
Gymnapistes,marmoratus,-41.75,175.25,3417:215:3,0.28
Gymnapistes,marmoratus,-30.75,-178.75,5317:208:4,0.31
Gymnapistes,marmoratus,-43.75,-176.25,5417:236:3,0.32
Gymnapistes,marmoratus,-43.75,-176.75,5417:236:4,0.31
Gymnapistes,marmoratus,-44.25,-175.75,5417:245:2,0.30
Gymnapistes,marmoratus,-44.25,-176.25,5417:246:1,0.27
Gymnapistes,marmoratus,-44.25,-176.75,5417:246:2,0.28
Gymnapistes,marmoratus,-23.75,113.75,3211:133:4,0.43
Gymnapistes,marmoratus,-24.75,112.75,3211:142:4,0.47
Gymnapistes,marmoratus,-24.25,113.25,3211:143:1,0.45
Gymnapistes,marmoratus,-24.75,113.25,3211:143:3,0.58
Gymnapistes,marmoratus,-24.75,113.75,3211:143:4,0.57
Gymnapistes,marmoratus,-25.25,112.75,3211:352:2,0.50
Gymnapistes,marmoratus,-25.75,112.75,3211:352:4,0.51
Gymnapistes,marmoratus,-26.75,113.25,3211:363:3,0.42
Gymnapistes,marmoratus,-27.25,113.25,3211:373:1,0.44
Gymnapistes,marmoratus,-27.25,113.75,3211:373:2,0.46
Gymnapistes,marmoratus,-27.75,113.25,3211:373:3,0.43
Gymnapistes,marmoratus,-27.75,113.75,3211:373:4,0.45
Gymnapistes,marmoratus,-28.75,113.75,3211:383:4,0.55
Gymnapistes,marmoratus,-28.25,114.25,3211:384:1,0.55
Gymnapistes,marmoratus,-29.25,114.25,3211:394:1,0.48
Gymnapistes,marmoratus,-29.25,114.75,3211:394:2,0.48
Gymnapistes,marmoratus,-31.75,115.25,3311:215:3,0.59
Gymnapistes,marmoratus,-34.75,117.25,3311:247:3,0.50
Gymnapistes,marmoratus,-32.25,129.25,3312:229:1,0.45
Gymnapistes,marmoratus,-32.25,131.75,3313:121:2,0.44
Gymnapistes,marmoratus,-33.75,137.75,3313:237:4,0.51
Gymnapistes,marmoratus,-34.25,136.25,3313:246:1,0.51
Gymnapistes,marmoratus,-34.75,136.75,3313:246:4,0.45
Gymnapistes,marmoratus,-34.75,137.25,3313:247:3,0.42
Gymnapistes,marmoratus,-38.25,140.25,3314:380:1,0.45
Gymnapistes,marmoratus,-38.25,174.25,3317:384:1,0.50
Gymnapistes,marmoratus,-35.75,175.25,3317:455:3,0.55
Gymnapistes,marmoratus,-39.25,177.25,3317:497:1,0.55
Gymnapistes,marmoratus,-42.75,147.25,3414:227:3,0.48
Gymnapistes,marmoratus,-42.75,147.75,3414:227:4,0.47
Gymnapistes,marmoratus,-42.25,148.25,3414:228:1,0.41
Gymnapistes,marmoratus,-44.25,167.75,3416:247:2,0.59
Gymnapistes,marmoratus,-44.75,167.25,3416:247:3,0.41
Gymnapistes,marmoratus,-44.25,168.25,3416:248:1,0.40
Gymnapistes,marmoratus,-40.25,173.25,3417:103:1,0.59
Gymnapistes,marmoratus,-40.75,173.75,3417:103:4,0.56
Gymnapistes,marmoratus,-41.25,174.75,3417:114:2,0.45
Gymnapistes,marmoratus,-41.25,175.25,3417:215:1,0.51
Gymnapistes,marmoratus,-41.25,175.75,3417:215:2,0.58
Gymnapistes,marmoratus,-41.75,175.75,3417:215:4,0.48
Gymnapistes,marmoratus,-31.25,-178.75,5317:218:2,0.52
Gymnapistes,marmoratus,-43.25,-176.75,5417:236:2,0.46
Gymnapistes,marmoratus,-43.25,-177.25,5417:237:1,0.48
Gymnapistes,marmoratus,-25.25,113.25,3211:353:1,0.62
Gymnapistes,marmoratus,-25.25,113.75,3211:353:2,0.64
Gymnapistes,marmoratus,-25.75,113.25,3211:353:3,0.62
Gymnapistes,marmoratus,-25.75,113.75,3211:353:4,0.66
Gymnapistes,marmoratus,-25.75,114.25,3211:354:3,0.60
Gymnapistes,marmoratus,-26.25,113.25,3211:363:1,0.60
Gymnapistes,marmoratus,-26.25,113.75,3211:363:2,0.64
Gymnapistes,marmoratus,-26.75,113.75,3211:363:4,0.66
Gymnapistes,marmoratus,-26.25,114.25,3211:364:1,0.63
