Mapping parameters for Gymnura altavela (Spiny butterfly ray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 ,
Bounding Box (NSWE): ,47,-39,-98,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,15,52,150
Temperature (°C),1,8.46,16.49,27.76,31.96
Salinity (psu),1,15.57,27.74,36.91,39.25
Primary Production (mgC·m-3·day-1) ,1,0.26,1.91,44.95,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,143.03,252.01,305.2
Distance to Land (km),0,0,10,121,237
 

Map data (HSPEC) for predicted occurrences (n = 3160): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Gymnura,altavela,3.75,7.75,1000:237:4,0.11,1,0.95443474905831,1,0.11515151046668,1,1,1
Gymnura,altavela,3.25,8.25,1000:238:1,0.09,1,0.9506032489595,1,0.099393938193944,1,1,1
Gymnura,altavela,3.75,8.25,1000:238:3,0.11,1,0.95200696672712,0.97095389824572,0.11999999695655,1,1,1
Gymnura,altavela,4.75,6.75,1000:246:4,0.06,0.066666666666667,0.96856502351307,0.94774740527865,1,1,1,1
Gymnura,altavela,4.75,7.25,1000:247:3,0.06,0.066666666666667,0.97266763959612,0.891409153809,1,1,1,1
Gymnura,altavela,4.25,9.75,1000:249:2,0.09,0.13333333333333,0.98952269781202,0.65862610816172,1,1,1,1
Gymnura,altavela,6.75,3.25,1000:363:3,0.13,0.13333333333333,1,1,1,1,1,1
Gymnura,altavela,6.75,3.75,1000:363:4,0.07,0.066666666666667,1,1,1,1,1,1
Gymnura,altavela,5.25,5.75,1000:455:2,0.06,0.066666666666667,0.96144107636952,0.98865603695371,1,1,1,1
Gymnura,altavela,5.75,5.75,1000:455:4,0.06,0.066666666666667,0.96569764273507,0.98114402977873,1,1,1,1
Gymnura,altavela,3.25,10.25,1001:130:1,0.04,0.066666666666667,0.99585691179548,0.61857836934123,1,1,1,1
Gymnura,altavela,38.75,1.25,1300:381:3,0.19,1,1,1,0.19454545468995,1,1,1
Gymnura,altavela,38.75,1.75,1300:381:4,0.16,1,1,1,0.1575757584337,1,1,1
Gymnura,altavela,39.25,1.75,1300:391:2,0.18,1,1,0.94499506502068,0.18969696820008,1,1,1
Gymnura,altavela,39.25,2.25,1300:392:1,0.15,0.87755102040816,1,0.97257663042115,0.17151515268241,1,1,1
Gymnura,altavela,39.25,2.75,1300:392:2,0.16,1,1,0.96627748929538,0.16545453575073,1,1,1
Gymnura,altavela,39.75,2.25,1300:392:3,0.18,1,1,0.90480380588107,0.1969696802962,1,1,1
Gymnura,altavela,39.75,2.75,1300:392:4,0.17,1,1,0.88924342750483,0.18795645330666,1,1,1
Gymnura,altavela,39.25,3.25,1300:393:1,0.14,1,1,0.95010578122914,0.14848485067487,1,1,1
Gymnura,altavela,39.25,3.75,1300:393:2,0.02,0.12244897959184,1,0.93566698905748,0.15151514150202,1,1,1
Gymnura,altavela,39.75,3.25,1300:393:3,0.13,1,1,0.85631476508248,0.14606058979125,1,1,1
Gymnura,altavela,39.75,3.75,1300:393:4,0.14,1,1,0.86864569248299,0.16666666619254,1,1,1
Gymnura,altavela,39.75,4.25,1300:394:3,0.18,1,1,0.8681370661809,0.20363636244879,1,1,1
