Mapping parameters for Hadropareia middendorffii ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,31,60
Temperature (°C),1,0.71,3.23,6.66,7.75
Salinity (psu),1,31.28,31.78,32.54,33.04
Primary Production (mgC·m-3·day-1) ,1,12.73,16.53,24.62,27.17
Sea Ice Concentration (0-1 fraction),1,0.02,0.05,0.17,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,247.56,292.13,350.43,405.15
Distance to Land (km),0,1.875,5.4,15.1,20.875
 

Map data (HSPEC) for predicted occurrences (n = 159): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hadropareia,middendorffii,45.75,143.25,1414:353:3,0.19
Hadropareia,middendorffii,46.25,143.25,1414:363:1,0.01
Hadropareia,middendorffii,47.25,142.25,1414:372:1,0.05
Hadropareia,middendorffii,47.75,142.25,1414:372:3,0.17
Hadropareia,middendorffii,49.75,144.75,1414:394:4,0.10
Hadropareia,middendorffii,57.25,138.75,1513:478:2,0.03
Hadropareia,middendorffii,50.25,143.75,1514:103:2,0.11
Hadropareia,middendorffii,59.25,142.75,1514:392:2,0.02
Hadropareia,middendorffii,59.25,143.25,1514:393:1,0.15
Hadropareia,middendorffii,58.75,145.75,1514:485:4,0.01
Hadropareia,middendorffii,58.75,146.25,1514:486:3,0.02
Hadropareia,middendorffii,58.75,147.75,1514:487:4,0.15
Hadropareia,middendorffii,59.75,148.75,1514:498:4,0.12
Hadropareia,middendorffii,58.75,154.75,1515:384:4,0.14
Hadropareia,middendorffii,55.25,155.25,1515:455:1,0.10
Hadropareia,middendorffii,58.75,157.75,1515:487:4,0.10
Hadropareia,middendorffii,59.25,158.75,1515:498:2,0.08
Hadropareia,middendorffii,58.75,163.75,1516:383:4,0.17
Hadropareia,middendorffii,58.75,164.25,1516:384:3,0.14
Hadropareia,middendorffii,58.75,164.75,1516:384:4,0.11
Hadropareia,middendorffii,59.75,163.75,1516:393:4,0.15
Hadropareia,middendorffii,59.25,165.75,1516:495:2,0.05
Hadropareia,middendorffii,59.75,170.25,1517:390:3,0.05
Hadropareia,middendorffii,60.75,168.75,1616:208:4,0.19
Hadropareia,middendorffii,60.25,169.25,1616:209:1,0.11
Hadropareia,middendorffii,60.25,169.75,1616:209:2,0.01
Hadropareia,middendorffii,60.75,170.75,1617:100:4,0.17
Hadropareia,middendorffii,60.25,171.25,1617:101:1,0.18
Hadropareia,middendorffii,61.75,173.75,1617:113:4,0.13
Hadropareia,middendorffii,65.25,-176.75,7617:456:2,0.17
Hadropareia,middendorffii,46.75,142.75,1414:362:4,0.37
Hadropareia,middendorffii,46.75,143.25,1414:363:3,0.37
Hadropareia,middendorffii,50.25,144.25,1514:104:1,0.22
Hadropareia,middendorffii,58.25,141.25,1514:381:1,0.23
Hadropareia,middendorffii,58.25,142.25,1514:382:1,0.29
