Mapping parameters for Haemulon flaviguttatum (Yellowspotted grunt)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,38,-1,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,17.53,22.35,28.67,32.87
Salinity (psu),1,28.16,31.04,35.07,38.41
Primary Production (mgC·m-3·day-1) ,1,0.52,1.52,38.88,64.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,4.94,218.62,253.89
Distance to Land (km),0,0,7,50,128
 

Map data (HSPEC) for predicted occurrences (n = 364): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Haemulon,flaviguttatum,33.75,-117.75,7311:237:4,0.08
Haemulon,flaviguttatum,33.25,-117.75,7311:237:2,0.02
Haemulon,flaviguttatum,32.25,-116.75,7311:226:2,0.12
Haemulon,flaviguttatum,31.25,-116.25,7311:216:1,0.09
Haemulon,flaviguttatum,30.25,-115.75,7311:205:2,0.16
Haemulon,flaviguttatum,26.25,-174.75,7217:364:2,0.01
Haemulon,flaviguttatum,26.25,-174.25,7217:364:1,0.11
Haemulon,flaviguttatum,26.25,-173.75,7217:363:2,0.09
Haemulon,flaviguttatum,26.25,-173.25,7217:363:1,0.07
Haemulon,flaviguttatum,25.75,-173.75,7217:353:4,0.02
Haemulon,flaviguttatum,25.75,-173.25,7217:353:3,0.07
Haemulon,flaviguttatum,25.25,-172.25,7217:352:1,0.07
Haemulon,flaviguttatum,25.75,-171.75,7217:351:4,0.16
Haemulon,flaviguttatum,25.25,-171.25,7217:351:1,0.19
Haemulon,flaviguttatum,25.25,-170.25,7217:350:1,0.12
Haemulon,flaviguttatum,25.75,-169.25,7216:459:3,0.08
Haemulon,flaviguttatum,25.25,-167.75,7216:457:2,0.17
Haemulon,flaviguttatum,24.75,-168.25,7216:248:3,0.15
Haemulon,flaviguttatum,24.75,-167.75,7216:247:4,0.11
Haemulon,flaviguttatum,24.25,-167.25,7216:247:1,0.05
Haemulon,flaviguttatum,23.75,-166.25,7216:236:3,0.10
Haemulon,flaviguttatum,23.75,-164.75,7216:134:4,0.16
Haemulon,flaviguttatum,23.75,-164.25,7216:134:3,0.04
Haemulon,flaviguttatum,23.25,-164.75,7216:134:2,0.01
Haemulon,flaviguttatum,23.25,-164.25,7216:134:1,0.05
Haemulon,flaviguttatum,23.25,-162.25,7216:132:1,0.03
Haemulon,flaviguttatum,23.25,-161.75,7216:131:2,0.06
Haemulon,flaviguttatum,22.75,-161.25,7216:121:3,0.01
Haemulon,flaviguttatum,22.75,-160.75,7216:120:4,0.14
Haemulon,flaviguttatum,20.75,-157.75,7215:207:4,0.06
Haemulon,flaviguttatum,29.25,-118.25,7211:498:1,0.12
Haemulon,flaviguttatum,28.75,-118.25,7211:488:3,0.18
Haemulon,flaviguttatum,28.25,-115.75,7211:485:2,0.13
Haemulon,flaviguttatum,28.25,-115.25,7211:485:1,0.12
Haemulon,flaviguttatum,27.75,-115.25,7211:475:3,0.17
Haemulon,flaviguttatum,28.75,-114.75,7211:384:4,0.07
Haemulon,flaviguttatum,28.25,-114.75,7211:384:2,0.16
Haemulon,flaviguttatum,28.75,-113.75,7211:383:4,0.13
Haemulon,flaviguttatum,27.75,-113.75,7211:373:4,0.10
Haemulon,flaviguttatum,16.75,-169.75,7116:469:4,0.04
Haemulon,flaviguttatum,16.75,-169.25,7116:469:3,0.06
Haemulon,flaviguttatum,18.25,-114.75,7111:384:2,0.17
Haemulon,flaviguttatum,10.75,-86.25,7108:206:3,0.11
Haemulon,flaviguttatum,33.25,-117.25,7311:237:1,0.25
Haemulon,flaviguttatum,30.75,-115.75,7311:205:4,0.32
Haemulon,flaviguttatum,25.75,-171.25,7217:351:3,0.25
Haemulon,flaviguttatum,25.75,-170.75,7217:350:4,0.38
Haemulon,flaviguttatum,25.25,-170.75,7217:350:2,0.29
Haemulon,flaviguttatum,25.25,-168.25,7216:458:1,0.22
Haemulon,flaviguttatum,22.25,-160.25,7216:120:1,0.35
Haemulon,flaviguttatum,21.75,-160.25,7216:110:3,0.20
Haemulon,flaviguttatum,21.75,-159.75,7215:219:4,0.34
Haemulon,flaviguttatum,21.75,-159.25,7215:219:3,0.38
Haemulon,flaviguttatum,29.75,-115.25,7211:495:3,0.25
Haemulon,flaviguttatum,29.25,-114.75,7211:394:2,0.38
Haemulon,flaviguttatum,28.25,-114.25,7211:384:1,0.20
Haemulon,flaviguttatum,27.75,-114.75,7211:374:4,0.22
Haemulon,flaviguttatum,27.75,-114.25,7211:374:3,0.30
Haemulon,flaviguttatum,27.25,-114.75,7211:374:2,0.24
Haemulon,flaviguttatum,27.25,-114.25,7211:374:1,0.33
Haemulon,flaviguttatum,26.75,-114.25,7211:364:3,0.31
Haemulon,flaviguttatum,26.25,-113.75,7211:363:2,0.36
Haemulon,flaviguttatum,26.25,-113.25,7211:363:1,0.32
Haemulon,flaviguttatum,23.75,-111.75,7211:131:4,0.31
Haemulon,flaviguttatum,25.75,-108.75,7210:458:4,0.20
Haemulon,flaviguttatum,15.25,-93.75,7109:353:2,0.29
Haemulon,flaviguttatum,11.25,-86.75,7108:216:2,0.20
Haemulon,flaviguttatum,10.75,-85.75,7108:205:4,0.31
Haemulon,flaviguttatum,22.25,-159.75,7215:229:2,0.57
Haemulon,flaviguttatum,22.25,-159.25,7215:229:1,0.53
Haemulon,flaviguttatum,21.25,-158.25,7215:218:1,0.41
Haemulon,flaviguttatum,21.75,-157.75,7215:217:4,0.59
Haemulon,flaviguttatum,21.25,-157.75,7215:217:2,0.50
Haemulon,flaviguttatum,21.25,-156.25,7215:216:1,0.48
Haemulon,flaviguttatum,28.75,-114.25,7211:384:3,0.41
Haemulon,flaviguttatum,27.25,-113.75,7211:373:2,0.44
Haemulon,flaviguttatum,26.75,-113.75,7211:363:4,0.41
Haemulon,flaviguttatum,26.75,-113.25,7211:363:3,0.48
Haemulon,flaviguttatum,25.25,-112.75,7211:352:2,0.56
Haemulon,flaviguttatum,24.25,-108.25,7210:248:1,0.54
Haemulon,flaviguttatum,14.25,-91.25,7109:141:1,0.52
Haemulon,flaviguttatum,13.75,-90.25,7109:130:3,0.43
Haemulon,flaviguttatum,7.75,-78.75,7007:478:4,0.52
Haemulon,flaviguttatum,3.75,-77.75,7007:237:4,0.40
Haemulon,flaviguttatum,3.75,-77.25,7007:237:3,0.58
Haemulon,flaviguttatum,2.25,-78.75,7007:228:2,0.40
Haemulon,flaviguttatum,-0.25,-91.75,5009:101:2,0.41
Haemulon,flaviguttatum,30.25,-113.25,7311:103:1,0.73
Haemulon,flaviguttatum,21.75,-158.25,7215:218:3,0.60
Haemulon,flaviguttatum,21.25,-157.25,7215:217:1,0.64
