Mapping parameters for Halichoerus grypus (grey seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 ,
Bounding Box (NSWE): ,75,37,-81,61

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,50,500
Temperature (°C),1,-1.71,6.85,12.85,17.32
Salinity (psu),1,3.36,6.35,35.22,35.72
Primary Production (mgC·m-3·day-1) ,1,0.47,2.64,20.14,48.18
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.02,0.5
Dissolved Bottom Oxygen (mmol·m-3),0,118.57,246.63,366.92,413.49
Distance to Land (km),0,0,3,119,637
 

Map data (HSPEC) for predicted occurrences (n = 4360): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Halichoerus,grypus,52.25,4.25,1500:124:1,0.06,1,1,1,0.060413642591145,1,1,1
Halichoerus,grypus,53.75,9.25,1500:239:3,0.12,1,1,1,0.11718977700797,1,1,1
Halichoerus,grypus,58.25,9.25,1500:489:1,0.05,0.048888888888889,1,1,1,1,1,1
Halichoerus,grypus,58.25,9.75,1500:489:2,0.08,0.075555555555556,1,1,1,1,1,1
Halichoerus,grypus,54.75,14.75,1501:144:4,0.12,0.98666666666667,1,1,0.11981568149879,1,1,1
Halichoerus,grypus,54.75,15.25,1501:245:3,0.05,0.96666666666667,1,1,0.056682016219824,1,1,1
Halichoerus,grypus,54.75,15.75,1501:245:4,0.09,0.92666666666667,1,1,0.09861752434638,1,1,1
Halichoerus,grypus,55.25,13.25,1501:353:1,0.16,1,1,1,0.15760369260671,1,1,1
Halichoerus,grypus,55.25,13.75,1501:353:2,0.07,1,1,1,0.07281106399707,1,1,1
Halichoerus,grypus,55.25,14.25,1501:354:1,0.13,1,1,1,0.13087556625326,1,1,1
Halichoerus,grypus,55.25,14.75,1501:354:2,0.07,1,1,1,0.068663593802241,1,1,1
Halichoerus,grypus,55.25,15.25,1501:455:1,0.01,0.97333333333333,1,1,0.014746534917074,1,1,1
Halichoerus,grypus,55.25,15.75,1501:455:2,0.02,0.89333333333333,1,1,0.024884780491209,1,1,1
Halichoerus,grypus,55.75,15.25,1501:455:3,0.19,1,1,1,0.19032256751566,1,1,1
Halichoerus,grypus,55.75,15.75,1501:455:4,0.14,0.99111111111111,1,1,0.13870967364085,1,1,1
Halichoerus,grypus,55.25,16.25,1501:456:1,0.11,0.91555555555556,1,1,0.11751151648844,1,1,1
Halichoerus,grypus,55.25,16.75,1501:456:2,0.19,0.96888888888889,1,1,0.20092164609186,1,1,1
Halichoerus,grypus,55.75,16.25,1501:456:3,0.09,0.96222222222222,1,1,0.08940091795258,1,1,1
Halichoerus,grypus,55.75,16.75,1501:456:4,0.13,0.99777777777778,1,1,0.12672812288224,1,1,1
Halichoerus,grypus,55.75,17.25,1501:457:3,0.15,1,1,1,0.15345622241188,1,1,1
Halichoerus,grypus,55.75,17.75,1501:457:4,0.10,0.98222222222222,1,1,0.1027649677174,1,1,1
Halichoerus,grypus,55.75,18.25,1501:458:3,0.14,0.92666666666667,1,1,0.14930875221705,1,1,1
Halichoerus,grypus,56.25,16.75,1501:466:2,0.09,1,1,1,0.08940091795258,1,1,1
Halichoerus,grypus,56.25,17.25,1501:467:1,0.12,1,1,1,0.12165898668327,1,1,1
Halichoerus,grypus,56.25,17.75,1501:467:2,0.09,1,1,1,0.093548388147409,1,1,1
Halichoerus,grypus,56.75,17.25,1501:467:3,0.09,0.96222222222222,1,1,0.091705056139126,1,1,1
Halichoerus,grypus,56.75,17.75,1501:467:4,0.10,0.96888888888889,1,1,0.10829493691844,1,1,1
Halichoerus,grypus,56.25,18.25,1501:468:1,0.08,1,1,1,0.082488476569134,1,1,1
Halichoerus,grypus,56.25,18.75,1501:468:2,0.07,0.88444444444444,1,1,0.075115202183616,1,1,1
Halichoerus,grypus,56.75,18.25,1501:468:3,0.12,1,1,1,0.11612904430603,1,1,1
Halichoerus,grypus,56.75,18.75,1501:468:4,0.02,0.98444444444444,1,1,0.020276504118116,1,1,1
Halichoerus,grypus,56.25,19.25,1501:469:1,0.14,0.83555555555556,1,1,0.17281104755601,1,1,1
Halichoerus,grypus,56.75,19.25,1501:469:3,0.01,0.78888888888889,1,1,0.015207367919145,1,1,1
Halichoerus,grypus,56.75,19.75,1501:469:4,0.08,0.78222222222222,1,1,0.10184332853707,1,1,1
Halichoerus,grypus,57.25,17.75,1501:477:2,0.13,0.94,1,1,0.14331797683775,1,1,1
Halichoerus,grypus,57.75,17.75,1501:477:4,0.11,0.9,1,1,0.11797234949051,1,1,1
Halichoerus,grypus,57.25,18.25,1501:478:1,0.09,1,1,1,0.08845857079334,1,1,1
Halichoerus,grypus,57.75,18.25,1501:478:3,0.09,0.96,1,1,0.095391693331885,1,1,1
Halichoerus,grypus,57.75,18.75,1501:478:4,0.05,1,1,1,0.054588900921944,1,1,1
Halichoerus,grypus,57.25,19.75,1501:479:2,0.01,0.78888888888889,1,1,0.017511532929499,1,1,1
Halichoerus,grypus,57.75,19.25,1501:479:3,0.03,1,1,1,0.028571417683967,1,1,1
Halichoerus,grypus,58.25,17.75,1501:487:2,0.14,0.87777777777778,1,1,0.15990783079326,1,1,1
Halichoerus,grypus,58.25,18.25,1501:488:1,0.10,0.9,1,1,0.1119815741112,1,1,1
Halichoerus,grypus,58.25,18.75,1501:488:2,0.09,0.9,1,1,0.094930887153621,1,1,1
Halichoerus,grypus,58.75,18.75,1501:488:4,0.18,0.83333333333333,1,1,0.21658986086704,1,1,1
Halichoerus,grypus,58.25,19.25,1501:489:1,0.08,1,1,1,0.07741936719397,1,1,1
Halichoerus,grypus,58.25,19.75,1501:489:2,0.04,0.84222222222222,1,1,0.047465436649831,1,1,1
Halichoerus,grypus,58.75,19.25,1501:489:3,0.13,0.92,1,1,0.13963133964499,1,1,1
Halichoerus,grypus,58.75,19.75,1501:489:4,0.13,0.88,1,1,0.14884791921498,1,1,1
Halichoerus,grypus,59.75,19.75,1501:499:4,0.15,1,1,0.8515176613594,0.17834101675705,1,1,1
Halichoerus,grypus,57.25,20.25,1502:370:1,0.07,0.70888888888889,1,1,0.095852526333956,1,1,1
Halichoerus,grypus,57.75,20.25,1502:370:3,0.03,0.78888888888889,1,1,0.042857133452931,1,1,1
Halichoerus,grypus,57.75,20.75,1502:370:4,0.09,0.90222222222222,1,1,0.10184332853707,1,1,1
Halichoerus,grypus,57.25,23.25,1502:373:1,0.18,1,1,0.18689365769708,1,0.9699562486882,1,1
