Mapping parameters for Haliporoides sibogae (jack-knife shrimp)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 |  81 ,
Bounding Box (NSWE): ,33,-44,103,-176

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,300,600,1463
Temperature (°C),1,5.63,15.64,28.88,33.08
Salinity (psu),1,29.56,32.34,35.59,37.67
Primary Production (mgC·m-3·day-1) ,1,0.87,2.53,22.26,44.19
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,53.26,101.19,222.75,277.83
Distance to Land (km),0,1,12,237,475
 

Map data (HSPEC) for predicted occurrences (n = 4077): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Haliporoides,sibogae,4.75,103.25,1010:143:3,0.03
Haliporoides,sibogae,2.75,108.25,1010:228:3,0.08
Haliporoides,sibogae,3.25,108.25,1010:238:1,0.06
Haliporoides,sibogae,3.25,108.75,1010:238:2,0.01
Haliporoides,sibogae,3.75,109.25,1010:239:3,0.02
Haliporoides,sibogae,3.75,109.75,1010:239:4,0.02
Haliporoides,sibogae,4.25,106.75,1010:246:2,0.01
Haliporoides,sibogae,4.25,107.25,1010:247:1,0.04
Haliporoides,sibogae,4.75,107.25,1010:247:3,0.08
Haliporoides,sibogae,4.75,107.75,1010:247:4,0.13
Haliporoides,sibogae,4.25,108.75,1010:248:2,0.05
Haliporoides,sibogae,4.75,108.75,1010:248:4,0.06
Haliporoides,sibogae,4.25,109.25,1010:249:1,0.07
Haliporoides,sibogae,4.25,109.75,1010:249:2,0.10
Haliporoides,sibogae,4.75,109.25,1010:249:3,0.18
