Mapping parameters for Hapalochlaena maculosa (Southern blue-ringed octopus)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,12.18,15,23.4,28.92
Salinity (psu),1,32.36,34.92,36.2,38.81
Primary Production (mgC·m-3·day-1) ,1,1.05,2.68,19.78,39.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,78.72,212.9,252.73,264.25
Distance to Land (km),0,0,4,88,662
 

Map data (HSPEC) for predicted occurrences (n = 1149): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hapalochlaena,maculosa,6.25,79.75,1007:469:2,0.05
Hapalochlaena,maculosa,6.75,79.75,1007:469:4,0.05
Hapalochlaena,maculosa,7.75,77.25,1007:477:3,0.04
Hapalochlaena,maculosa,7.75,77.75,1007:477:4,0.09
Hapalochlaena,maculosa,7.75,78.25,1007:478:3,0.12
Hapalochlaena,maculosa,7.25,79.75,1007:479:2,0.05
Hapalochlaena,maculosa,7.75,79.75,1007:479:4,0.07
Hapalochlaena,maculosa,8.25,77.25,1007:487:1,0.04
Hapalochlaena,maculosa,8.25,77.75,1007:487:2,0.04
Hapalochlaena,maculosa,8.25,78.25,1007:488:1,0.06
Hapalochlaena,maculosa,8.75,78.25,1007:488:3,0.03
Hapalochlaena,maculosa,8.75,78.75,1007:488:4,0.05
Hapalochlaena,maculosa,8.25,79.75,1007:489:2,0.08
Hapalochlaena,maculosa,8.75,79.25,1007:489:3,0.05
Hapalochlaena,maculosa,8.75,79.75,1007:489:4,0.05
Hapalochlaena,maculosa,9.25,78.25,1007:498:1,0.02
Hapalochlaena,maculosa,9.25,79.75,1007:499:2,0.01
Hapalochlaena,maculosa,5.75,80.25,1008:350:3,0.06
Hapalochlaena,maculosa,5.75,80.75,1008:350:4,0.07
Hapalochlaena,maculosa,5.75,81.25,1008:351:3,0.06
Hapalochlaena,maculosa,6.25,80.25,1008:360:1,0.06
Hapalochlaena,maculosa,6.25,80.75,1008:360:2,0.07
Hapalochlaena,maculosa,6.75,80.25,1008:360:3,0.06
Hapalochlaena,maculosa,6.25,81.25,1008:361:1,0.07
Hapalochlaena,maculosa,6.25,81.75,1008:361:2,0.04
Hapalochlaena,maculosa,6.75,81.75,1008:361:4,0.02
Hapalochlaena,maculosa,7.25,81.75,1008:371:2,0.01
Hapalochlaena,maculosa,8.25,81.25,1008:381:1,0.01
Hapalochlaena,maculosa,8.75,81.25,1008:381:3,0.01
Hapalochlaena,maculosa,9.25,80.25,1008:390:1,0.02
Hapalochlaena,maculosa,9.25,80.75,1008:390:2,0.01
Hapalochlaena,maculosa,9.75,80.25,1008:390:3,0.02
Hapalochlaena,maculosa,9.75,80.75,1008:390:4,0.01
Hapalochlaena,maculosa,11.25,79.75,1107:219:2,0.01
Hapalochlaena,maculosa,11.75,79.75,1107:219:4,0.02
