Mapping parameters for Heleobia australis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-24,-41,62,46

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,31,60
Temperature (°C),1,6.02,14.64,22.79,30.14
Salinity (psu),1,13.52,30.04,35.28,39.84
Primary Production (mgC·m-3·day-1) ,1,1.18,2.18,39.54,51.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,175.07,218.96,271.89,318.86
Distance to Land (km),0,1,2,168,236
 

Map data (HSPEC) for predicted occurrences (n = 206): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Heleobia,australis,-25.25,-48.75,5204:458:2,0.17
Heleobia,australis,-31.25,-51.25,5305:111:1,0.07
Heleobia,australis,-31.25,-51.75,5305:111:2,0.16
Heleobia,australis,-33.25,-51.25,5305:131:1,0.14
Heleobia,australis,-35.75,-56.75,5305:456:4,0.09
Heleobia,australis,-36.25,-56.75,5305:466:2,0.16
Heleobia,australis,-37.25,-55.25,5305:475:1,0.02
Heleobia,australis,-40.75,-56.75,5405:206:4,0.03
Heleobia,australis,-40.25,-61.75,5406:101:2,0.16
Heleobia,australis,-40.75,-61.25,5406:101:3,0.16
Heleobia,australis,-40.75,-64.25,5406:104:3,0.15
Heleobia,australis,-24.75,-45.25,5204:245:3,0.38
Heleobia,australis,-27.75,-47.75,5204:477:4,0.37
Heleobia,australis,-30.75,-49.25,5304:209:3,0.37
Heleobia,australis,-30.25,-50.75,5305:100:2,0.26
Heleobia,australis,-32.75,-50.25,5305:120:3,0.24
Heleobia,australis,-35.25,-56.25,5305:456:1,0.23
Heleobia,australis,-36.25,-57.25,5305:467:1,0.23
Heleobia,australis,-37.75,-55.25,5305:475:3,0.32
Heleobia,australis,-39.75,-58.25,5305:498:3,0.37
Heleobia,australis,-39.75,-59.25,5305:499:3,0.23
Heleobia,australis,-40.25,-56.25,5405:206:1,0.34
Heleobia,australis,-40.25,-56.75,5405:206:2,0.35
Heleobia,australis,-40.25,-57.75,5405:207:2,0.33
Heleobia,australis,-40.25,-58.75,5405:208:2,0.27
Heleobia,australis,-24.25,-45.25,5204:245:1,0.54
Heleobia,australis,-24.75,-46.25,5204:246:3,0.41
Heleobia,australis,-25.75,-45.25,5204:455:3,0.49
Heleobia,australis,-25.25,-46.75,5204:456:2,0.47
Heleobia,australis,-25.75,-47.25,5204:457:3,0.59
Heleobia,australis,-26.75,-47.75,5204:467:4,0.55
Heleobia,australis,-29.25,-48.75,5204:498:2,0.40
Heleobia,australis,-31.25,-50.75,5305:110:2,0.55
Heleobia,australis,-32.25,-50.75,5305:120:2,0.45
Heleobia,australis,-32.75,-50.75,5305:120:4,0.59
Heleobia,australis,-32.75,-51.25,5305:121:3,0.55
Heleobia,australis,-34.75,-55.75,5305:245:4,0.41
Heleobia,australis,-36.25,-54.75,5305:364:2,0.54
Heleobia,australis,-36.75,-54.75,5305:364:4,0.51
Heleobia,australis,-37.25,-54.25,5305:374:1,0.48
Heleobia,australis,-35.25,-55.75,5305:455:2,0.55
Heleobia,australis,-35.75,-56.25,5305:456:3,0.52
Heleobia,australis,-36.75,-55.25,5305:465:3,0.52
Heleobia,australis,-36.25,-56.25,5305:466:1,0.48
Heleobia,australis,-36.75,-56.25,5305:466:3,0.59
Heleobia,australis,-36.75,-56.75,5305:466:4,0.56
Heleobia,australis,-37.75,-55.75,5305:475:4,0.46
Heleobia,australis,-39.25,-56.25,5305:496:1,0.45
Heleobia,australis,-39.75,-56.25,5305:496:3,0.40
Heleobia,australis,-39.75,-57.75,5305:497:4,0.46
Heleobia,australis,-39.75,-58.75,5305:498:4,0.48
Heleobia,australis,-39.25,-62.25,5306:392:1,0.54
Heleobia,australis,-40.25,-60.25,5406:100:1,0.48
Heleobia,australis,-40.75,-60.25,5406:100:3,0.57
