Mapping parameters for Hemiscyllium ocellatum (Epaulette shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  71 |  81 ,
Bounding Box (NSWE): ,1,-34,112,163

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,20.37,23.52,28.51,32.71
Salinity (psu),1,32.08,33.97,35.46,36.2
Primary Production (mgC·m-3·day-1) ,1,1.24,2.65,18.31,26.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,118.65,152.43,213.16,227.67
Distance to Land (km),0,4,12,164,288
 

Map data (HSPEC) for predicted occurrences (n = 1592): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hemiscyllium,ocellatum,-33.75,151.75,3315:131:4,0.01
Hemiscyllium,ocellatum,-33.25,151.75,3315:131:2,0.10
Hemiscyllium,ocellatum,-33.25,151.25,3315:131:1,0.05
Hemiscyllium,ocellatum,-32.75,152.25,3315:122:3,0.14
Hemiscyllium,ocellatum,-32.25,152.75,3315:122:2,0.12
Hemiscyllium,ocellatum,-32.25,152.25,3315:122:1,0.18
Hemiscyllium,ocellatum,-32.75,151.75,3315:121:4,0.12
Hemiscyllium,ocellatum,-31.75,152.75,3315:112:4,0.05
Hemiscyllium,ocellatum,-32.25,115.75,3311:225:2,0.08
Hemiscyllium,ocellatum,-32.25,115.25,3311:225:1,0.15
Hemiscyllium,ocellatum,-31.75,115.75,3311:215:4,0.14
Hemiscyllium,ocellatum,-31.25,115.75,3311:215:2,0.14
Hemiscyllium,ocellatum,-33.75,114.75,3311:134:4,0.02
Hemiscyllium,ocellatum,-33.25,114.75,3311:134:2,0.07
Hemiscyllium,ocellatum,-32.75,114.75,3311:124:4,0.09
Hemiscyllium,ocellatum,-26.25,162.25,3216:362:1,0.09
Hemiscyllium,ocellatum,-26.25,161.75,3216:361:2,0.10
Hemiscyllium,ocellatum,-25.75,162.75,3216:352:4,0.10
Hemiscyllium,ocellatum,-25.75,162.25,3216:352:3,0.11
Hemiscyllium,ocellatum,-25.25,162.75,3216:352:2,0.12
Hemiscyllium,ocellatum,-25.25,162.25,3216:352:1,0.14
Hemiscyllium,ocellatum,-25.75,161.75,3216:351:4,0.12
Hemiscyllium,ocellatum,-25.75,161.25,3216:351:3,0.15
Hemiscyllium,ocellatum,-25.25,161.75,3216:351:2,0.14
Hemiscyllium,ocellatum,-22.75,150.25,3215:120:3,0.19
Hemiscyllium,ocellatum,-29.75,114.25,3211:394:3,0.08
Hemiscyllium,ocellatum,-29.25,114.75,3211:394:2,0.15
Hemiscyllium,ocellatum,-24.25,112.75,3211:142:2,0.17
Hemiscyllium,ocellatum,-19.75,158.75,3115:498:4,0.10
Hemiscyllium,ocellatum,-17.75,148.25,3114:478:3,0.11
Hemiscyllium,ocellatum,-16.75,141.25,3114:361:3,0.08
Hemiscyllium,ocellatum,-16.75,138.25,3113:468:3,0.04
Hemiscyllium,ocellatum,-14.75,138.75,3113:248:4,0.12
Hemiscyllium,ocellatum,-14.75,138.25,3113:248:3,0.12
Hemiscyllium,ocellatum,-13.75,139.25,3113:239:3,0.04
Hemiscyllium,ocellatum,-13.75,138.75,3113:238:4,0.04
Hemiscyllium,ocellatum,-13.25,138.75,3113:238:2,0.08
Hemiscyllium,ocellatum,-11.75,139.75,3113:219:4,0.12
Hemiscyllium,ocellatum,-10.75,138.75,3113:208:4,0.12
Hemiscyllium,ocellatum,-10.75,138.25,3113:208:3,0.17
Hemiscyllium,ocellatum,-12.75,131.25,3113:121:3,0.15
Hemiscyllium,ocellatum,-15.25,129.75,3112:459:2,0.18
Hemiscyllium,ocellatum,-18.75,120.25,3112:380:3,0.08
Hemiscyllium,ocellatum,-12.75,127.25,3112:227:3,0.10
Hemiscyllium,ocellatum,-11.25,127.75,3112:217:2,0.03
Hemiscyllium,ocellatum,-11.25,127.25,3112:217:1,0.18
Hemiscyllium,ocellatum,-11.75,125.75,3112:215:4,0.14
Hemiscyllium,ocellatum,-10.75,128.25,3112:208:3,0.16
Hemiscyllium,ocellatum,-12.75,124.75,3112:124:4,0.14
