Mapping parameters for Hippocampus kuda (Spotted seahorse)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,39,-28,48,-147

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,8,68
Temperature (°C),1,15.05,24.73,29.27,33.47
Salinity (psu),1,22.8,30.52,35.35,38.8
Primary Production (mgC·m-3·day-1) ,1,0.45,1.89,24.5,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,21.38,101.49,212.38,289.39
Distance to Land (km),0,1,8,97,407
 

Map data (HSPEC) for predicted occurrences (n = 5009): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Hippocampus,kuda,7.25,77.25,1007:477:1,0.15,0.15,1,1,1,1,1,1
Hippocampus,kuda,6.75,82.25,1008:362:3,0.12,0.11666666666667,1,1,1,1,1,1
Hippocampus,kuda,5.25,98.75,1009:458:2,0.10,0.11666666666667,0.87336647396995,1,1,1,1,1
Hippocampus,kuda,5.75,98.25,1009:458:3,0.13,0.15,0.89533913021995,1,1,1,1,1
Hippocampus,kuda,6.25,98.75,1009:468:2,0.09,0.1,0.88956485929943,1,1,1,1,1
Hippocampus,kuda,3.75,105.25,1010:235:3,0.10,0.1,1,1,1,1,1,1
Hippocampus,kuda,4.75,105.25,1010:245:3,0.15,0.15,1,1,1,1,1,1
Hippocampus,kuda,4.75,106.75,1010:246:4,0.12,0.11666666666667,1,1,1,1,1,1
Hippocampus,kuda,5.25,104.25,1010:354:1,0.17,0.16666666666667,1,1,1,1,1,1
Hippocampus,kuda,5.25,104.75,1010:354:2,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,8.25,102.75,1010:382:2,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,9.25,101.75,1010:391:2,0.17,0.16666666666667,0.99114071073986,1,1,1,1,1
Hippocampus,kuda,9.75,101.75,1010:391:4,0.12,0.11666666666667,0.99472153073264,1,1,1,1,1
Hippocampus,kuda,9.25,102.25,1010:392:1,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,5.25,105.75,1010:455:2,0.17,0.16666666666667,1,1,1,1,1,1
Hippocampus,kuda,5.25,106.25,1010:456:1,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,5.25,107.75,1010:457:2,0.03,0.033333333333333,1,1,1,1,1,1
Hippocampus,kuda,5.75,107.75,1010:457:4,0.08,0.083333333333333,1,1,1,1,1,1
Hippocampus,kuda,5.75,108.25,1010:458:3,0.05,0.05,1,1,1,1,1,1
Hippocampus,kuda,6.25,107.75,1010:467:2,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,6.75,108.25,1010:468:3,0.03,0.033333333333333,1,1,1,1,1,1
Hippocampus,kuda,6.25,109.75,1010:469:2,0.07,0.066666666666667,1,1,1,1,1,1
Hippocampus,kuda,3.75,110.25,1011:130:3,0.12,0.11666666666667,1,1,1,1,1,1
Hippocampus,kuda,4.75,111.25,1011:141:3,0.12,0.11666666666667,1,1,1,1,1,1
Hippocampus,kuda,5.25,110.25,1011:350:1,0.10,0.1,1,1,1,1,1,1
Hippocampus,kuda,5.75,114.25,1011:354:3,0.05,0.05,1,1,1,1,1,1
Hippocampus,kuda,7.75,110.75,1011:370:4,0.15,0.15,1,1,1,1,1,1
Hippocampus,kuda,7.75,114.75,1011:374:4,0.17,0.16666666666667,1,1,1,1,1,1
Hippocampus,kuda,0.75,125.25,1012:205:3,0.18,0.18333333333333,1,1,1,1,1,1
Hippocampus,kuda,7.25,147.25,1014:477:1,0.15,0.33333333333333,0.98972745622907,1,0.46319444935458,1,1,1
Hippocampus,kuda,8.25,146.75,1014:486:2,0.02,0.05,1,1,0.41527774120267,1,1,1
Hippocampus,kuda,11.75,51.75,1105:111:4,0.17,0.2,1,0.82531163312386,1,1,1,1
Hippocampus,kuda,11.75,53.75,1105:113:4,0.15,0.18333333333333,1,0.84098506319351,1,1,1,1
Hippocampus,kuda,12.25,51.25,1105:121:1,0.15,0.18333333333333,1,0.79209612417913,1,1,1,1
Hippocampus,kuda,12.25,54.75,1105:124:2,0.18,0.21666666666667,1,0.82073952495188,1,1,1,1
Hippocampus,kuda,11.75,72.25,1107:112:3,0.12,0.11666666666667,1,1,1,1,1,1
Hippocampus,kuda,12.25,74.25,1107:124:1,0.07,0.066666666666667,1,1,1,1,1,1
Hippocampus,kuda,12.75,74.25,1107:124:3,0.10,0.1,1,1,1,1,1,1
Hippocampus,kuda,13.25,73.75,1107:133:2,0.13,0.13333333333333,1,1,1,1,1,1
Hippocampus,kuda,18.75,70.25,1107:380:3,0.11,0.15,1,0.76542420318162,1,1,1,1
Hippocampus,kuda,12.25,80.75,1108:120:2,0.15,0.15,1,1,1,1,1,1
Hippocampus,kuda,18.75,85.25,1108:485:3,0.10,0.1,1,1,1,1,1,1
Hippocampus,kuda,14.75,93.25,1109:143:3,0.10,0.1,1,1,1,1,1,1
