Mapping parameters for Histioteuthis bonnellii (umbrella squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  58 |  67 |  81,
Bounding Box (NSWE): ,58,-48,-72,96

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,272,834,2000
Temperature (°C),1,2.66,11.56,23.61,29.3
Salinity (psu),1,29.62,32.93,37.87,39.14
Primary Production (mgC·m-3·day-1) ,1,-0.37,0.63,12.22,57.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,53.18,189.29,270.06,358.8
Distance to Land (km),0,8,15,960,1761
 

Map data (HSPEC) for predicted occurrences (n = 8640): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Histioteuthis,bonnellii,50.25,-60.75,7506:100:2,0.01
Histioteuthis,bonnellii,50.25,-60.25,7506:100:1,0.02
Histioteuthis,bonnellii,57.75,-58.75,7505:478:4,0.02
Histioteuthis,bonnellii,57.25,-58.25,7505:478:1,0.04
Histioteuthis,bonnellii,57.25,-57.75,7505:477:2,0.02
Histioteuthis,bonnellii,56.75,-57.75,7505:467:4,0.06
Histioteuthis,bonnellii,56.75,-57.25,7505:467:3,0.04
Histioteuthis,bonnellii,56.25,-57.25,7505:467:1,0.04
Histioteuthis,bonnellii,56.25,-56.75,7505:466:2,0.03
Histioteuthis,bonnellii,55.75,-56.75,7505:456:4,0.01
Histioteuthis,bonnellii,55.75,-56.25,7505:456:3,0.08
Histioteuthis,bonnellii,55.75,-55.75,7505:455:4,0.08
Histioteuthis,bonnellii,55.75,-55.25,7505:455:3,0.01
Histioteuthis,bonnellii,55.25,-55.25,7505:455:1,0.01
Histioteuthis,bonnellii,55.25,-54.75,7505:354:2,0.05
Histioteuthis,bonnellii,55.25,-54.25,7505:354:1,0.10
Histioteuthis,bonnellii,55.25,-53.75,7505:353:2,0.15
Histioteuthis,bonnellii,55.25,-53.25,7505:353:1,0.08
Histioteuthis,bonnellii,52.25,-55.75,7505:225:2,0.01
Histioteuthis,bonnellii,52.25,-55.25,7505:225:1,0.01
Histioteuthis,bonnellii,51.25,-58.75,7505:218:2,0.02
Histioteuthis,bonnellii,51.25,-58.25,7505:218:1,0.07
Histioteuthis,bonnellii,51.25,-57.75,7505:217:2,0.05
Histioteuthis,bonnellii,51.25,-57.25,7505:217:1,0.04
Histioteuthis,bonnellii,51.75,-56.75,7505:216:4,0.01
Histioteuthis,bonnellii,51.75,-56.25,7505:216:3,0.01
Histioteuthis,bonnellii,51.25,-56.75,7505:216:2,0.02
Histioteuthis,bonnellii,51.25,-56.25,7505:216:1,0.01
Histioteuthis,bonnellii,51.75,-55.75,7505:215:4,0.01
Histioteuthis,bonnellii,51.75,-55.25,7505:215:3,0.02
Histioteuthis,bonnellii,51.25,-55.75,7505:215:2,0.04
Histioteuthis,bonnellii,51.25,-55.25,7505:215:1,0.03
Histioteuthis,bonnellii,50.75,-59.75,7505:209:4,0.01
Histioteuthis,bonnellii,50.75,-59.25,7505:209:3,0.03
Histioteuthis,bonnellii,50.25,-59.25,7505:209:1,0.05
Histioteuthis,bonnellii,50.75,-58.75,7505:208:4,0.06
Histioteuthis,bonnellii,50.75,-58.25,7505:208:3,0.08
Histioteuthis,bonnellii,50.25,-58.75,7505:208:2,0.08
Histioteuthis,bonnellii,50.25,-58.25,7505:208:1,0.10
Histioteuthis,bonnellii,50.75,-57.75,7505:207:4,0.09
Histioteuthis,bonnellii,50.75,-57.25,7505:207:3,0.06
Histioteuthis,bonnellii,50.25,-57.75,7505:207:2,0.09
Histioteuthis,bonnellii,50.25,-57.25,7505:207:1,0.03
Histioteuthis,bonnellii,50.75,-56.75,7505:206:4,0.01
Histioteuthis,bonnellii,50.75,-56.25,7505:206:3,0.05
Histioteuthis,bonnellii,50.25,-56.75,7505:206:2,0.09
Histioteuthis,bonnellii,50.25,-56.25,7505:206:1,0.09
Histioteuthis,bonnellii,50.75,-55.75,7505:205:4,0.06
Histioteuthis,bonnellii,50.75,-55.25,7505:205:3,0.04
Histioteuthis,bonnellii,50.25,-55.75,7505:205:2,0.09
Histioteuthis,bonnellii,50.25,-55.25,7505:205:1,0.09
Histioteuthis,bonnellii,54.75,-53.75,7505:143:4,0.01
Histioteuthis,bonnellii,54.75,-53.25,7505:143:3,0.07
Histioteuthis,bonnellii,54.75,-52.75,7505:142:4,0.15
Histioteuthis,bonnellii,54.75,-52.25,7505:142:3,0.06
Histioteuthis,bonnellii,54.25,-52.75,7505:142:2,0.09
Histioteuthis,bonnellii,54.25,-52.25,7505:142:1,0.09
Histioteuthis,bonnellii,53.75,-52.75,7505:132:4,0.03
Histioteuthis,bonnellii,53.75,-52.25,7505:132:3,0.14
Histioteuthis,bonnellii,53.25,-52.25,7505:132:1,0.07
Histioteuthis,bonnellii,53.75,-51.75,7505:131:4,0.12
Histioteuthis,bonnellii,53.25,-51.75,7505:131:2,0.17
Histioteuthis,bonnellii,53.25,-51.25,7505:131:1,0.02
Histioteuthis,bonnellii,52.25,-54.75,7505:124:2,0.01
Histioteuthis,bonnellii,52.25,-54.25,7505:124:1,0.01
Histioteuthis,bonnellii,52.25,-53.75,7505:123:2,0.02
Histioteuthis,bonnellii,52.25,-53.25,7505:123:1,0.04
Histioteuthis,bonnellii,52.75,-52.75,7505:122:4,0.02
Histioteuthis,bonnellii,52.75,-52.25,7505:122:3,0.04
Histioteuthis,bonnellii,52.25,-52.75,7505:122:2,0.06
Histioteuthis,bonnellii,52.25,-52.25,7505:122:1,0.06
Histioteuthis,bonnellii,52.75,-51.75,7505:121:4,0.09
Histioteuthis,bonnellii,52.75,-51.25,7505:121:3,0.18
Histioteuthis,bonnellii,52.25,-51.75,7505:121:2,0.08
Histioteuthis,bonnellii,52.25,-51.25,7505:121:1,0.12
Histioteuthis,bonnellii,52.75,-50.75,7505:120:4,0.09
Histioteuthis,bonnellii,52.25,-50.25,7505:120:1,0.13
Histioteuthis,bonnellii,51.75,-54.75,7505:114:4,0.02
Histioteuthis,bonnellii,51.75,-54.25,7505:114:3,0.02
Histioteuthis,bonnellii,51.25,-54.75,7505:114:2,0.03
Histioteuthis,bonnellii,51.25,-54.25,7505:114:1,0.04
Histioteuthis,bonnellii,51.75,-53.75,7505:113:4,0.04
Histioteuthis,bonnellii,51.75,-53.25,7505:113:3,0.07
Histioteuthis,bonnellii,51.25,-53.75,7505:113:2,0.05
Histioteuthis,bonnellii,51.25,-53.25,7505:113:1,0.08
Histioteuthis,bonnellii,51.75,-52.75,7505:112:4,0.09
Histioteuthis,bonnellii,51.75,-52.25,7505:112:3,0.10
Histioteuthis,bonnellii,51.25,-52.75,7505:112:2,0.11
Histioteuthis,bonnellii,51.25,-52.25,7505:112:1,0.13
Histioteuthis,bonnellii,51.75,-51.75,7505:111:4,0.10
Histioteuthis,bonnellii,51.75,-51.25,7505:111:3,0.11
Histioteuthis,bonnellii,51.25,-51.75,7505:111:2,0.13
Histioteuthis,bonnellii,51.25,-51.25,7505:111:1,0.13
Histioteuthis,bonnellii,51.75,-50.75,7505:110:4,0.14
Histioteuthis,bonnellii,51.25,-50.75,7505:110:2,0.13
Histioteuthis,bonnellii,51.25,-50.25,7505:110:1,0.18
Histioteuthis,bonnellii,50.75,-54.75,7505:104:4,0.05
Histioteuthis,bonnellii,50.75,-54.25,7505:104:3,0.06
Histioteuthis,bonnellii,50.25,-54.75,7505:104:2,0.09
Histioteuthis,bonnellii,50.25,-54.25,7505:104:1,0.09
Histioteuthis,bonnellii,50.75,-53.75,7505:103:4,0.08
Histioteuthis,bonnellii,50.75,-53.25,7505:103:3,0.10
Histioteuthis,bonnellii,50.25,-53.75,7505:103:2,0.10
Histioteuthis,bonnellii,50.25,-53.25,7505:103:1,0.12
Histioteuthis,bonnellii,50.75,-52.75,7505:102:4,0.13
Histioteuthis,bonnellii,50.75,-52.25,7505:102:3,0.16
Histioteuthis,bonnellii,50.25,-52.75,7505:102:2,0.14
Histioteuthis,bonnellii,50.25,-52.25,7505:102:1,0.17
Histioteuthis,bonnellii,50.75,-51.75,7505:101:4,0.16
Histioteuthis,bonnellii,50.75,-51.25,7505:101:3,0.15
Histioteuthis,bonnellii,50.25,-51.75,7505:101:2,0.17
Histioteuthis,bonnellii,50.25,-51.25,7505:101:1,0.17
Histioteuthis,bonnellii,50.75,-50.75,7505:100:4,0.15
Histioteuthis,bonnellii,50.75,-50.25,7505:100:3,0.19
Histioteuthis,bonnellii,50.25,-50.75,7505:100:2,0.17
Histioteuthis,bonnellii,50.75,-49.25,7504:209:3,0.16
Histioteuthis,bonnellii,50.25,-49.25,7504:209:1,0.19
Histioteuthis,bonnellii,50.25,-48.75,7504:208:2,0.07
Histioteuthis,bonnellii,50.75,-46.75,7504:206:4,0.10
Histioteuthis,bonnellii,50.25,-46.75,7504:206:2,0.12
Histioteuthis,bonnellii,50.25,-46.25,7504:206:1,0.14
Histioteuthis,bonnellii,50.75,-45.75,7504:205:4,0.09
Histioteuthis,bonnellii,50.25,-45.75,7504:205:2,0.13
Histioteuthis,bonnellii,57.75,-35.25,7503:475:3,0.03
Histioteuthis,bonnellii,57.25,-35.75,7503:475:2,0.03
Histioteuthis,bonnellii,57.25,-35.25,7503:475:1,0.11
Histioteuthis,bonnellii,56.25,-37.25,7503:467:1,0.07
Histioteuthis,bonnellii,56.75,-35.75,7503:465:4,0.03
Histioteuthis,bonnellii,56.75,-35.25,7503:465:3,0.15
Histioteuthis,bonnellii,56.25,-35.75,7503:465:2,0.17
Histioteuthis,bonnellii,55.25,-36.75,7503:456:2,0.06
Histioteuthis,bonnellii,57.25,-31.75,7503:371:2,0.18
Histioteuthis,bonnellii,57.25,-31.25,7503:371:1,0.16
Histioteuthis,bonnellii,57.75,-30.25,7503:370:3,0.03
Histioteuthis,bonnellii,56.25,-33.25,7503:363:1,0.17
Histioteuthis,bonnellii,56.25,-32.25,7503:362:1,0.04
Histioteuthis,bonnellii,56.75,-31.75,7503:361:4,0.19
Histioteuthis,bonnellii,56.75,-31.25,7503:361:3,0.03
