Mapping parameters for Holacanthus passer (King angelfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,28,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,6,18,30
Temperature (°C),1,18.22,23.56,28.66,32.86
Salinity (psu),1,29.13,31.06,34.59,37.4
Primary Production (mgC·m-3·day-1) ,1,0.49,1.49,40.84,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,10.53,206.34,267.83
Distance to Land (km),0,1,9,111,346
 

Map data (HSPEC) for predicted occurrences (n = 544): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Holacanthus,passer,26.25,-174.25,7217:364:1,0.11
Holacanthus,passer,26.25,-173.75,7217:363:2,0.09
Holacanthus,passer,26.25,-173.25,7217:363:1,0.08
Holacanthus,passer,25.75,-173.25,7217:353:3,0.08
Holacanthus,passer,25.25,-172.25,7217:352:1,0.04
Holacanthus,passer,25.75,-171.75,7217:351:4,0.14
Holacanthus,passer,25.25,-171.25,7217:351:1,0.11
Holacanthus,passer,25.25,-170.25,7217:350:1,0.11
Holacanthus,passer,25.75,-169.25,7216:459:3,0.08
Holacanthus,passer,25.25,-167.75,7216:457:2,0.16
Holacanthus,passer,24.75,-168.25,7216:248:3,0.14
Holacanthus,passer,24.75,-167.75,7216:247:4,0.11
Holacanthus,passer,24.25,-167.25,7216:247:1,0.06
Holacanthus,passer,23.75,-166.25,7216:236:3,0.10
Holacanthus,passer,23.75,-164.75,7216:134:4,0.15
Holacanthus,passer,23.25,-164.25,7216:134:1,0.06
Holacanthus,passer,23.25,-162.25,7216:132:1,0.05
Holacanthus,passer,23.25,-161.75,7216:131:2,0.07
Holacanthus,passer,22.75,-162.25,7216:122:3,0.01
Holacanthus,passer,22.75,-160.75,7216:120:4,0.11
Holacanthus,passer,21.75,-160.25,7216:110:3,0.19
Holacanthus,passer,27.75,-115.25,7211:475:3,0.02
Holacanthus,passer,27.75,-114.75,7211:374:4,0.07
Holacanthus,passer,27.75,-114.25,7211:374:3,0.14
Holacanthus,passer,27.25,-114.75,7211:374:2,0.09
Holacanthus,passer,27.25,-114.25,7211:374:1,0.17
Holacanthus,passer,16.75,-169.25,7116:469:3,0.08
Holacanthus,passer,19.25,-105.25,7110:495:1,0.17
Holacanthus,passer,-30.25,-178.25,5317:208:1,0.15
Holacanthus,passer,-29.25,-177.75,5217:497:2,0.16
Holacanthus,passer,-25.75,-89.25,5208:459:3,0.01
Holacanthus,passer,-26.25,-80.25,5208:360:1,0.10
Holacanthus,passer,-21.25,-81.75,5208:111:2,0.05
Holacanthus,passer,-26.25,-79.75,5207:469:2,0.08
Holacanthus,passer,-21.75,-70.25,5207:110:3,0.01
Holacanthus,passer,-21.25,-70.25,5207:110:1,0.02
Holacanthus,passer,-20.75,-70.25,5207:100:3,0.01
Holacanthus,passer,-20.25,-70.25,5207:100:1,0.04
Holacanthus,passer,-19.25,-174.75,5117:394:2,0.03
Holacanthus,passer,-19.25,-174.25,5117:394:1,0.16
Holacanthus,passer,-19.25,-173.75,5117:393:2,0.05
Holacanthus,passer,-18.75,-174.75,5117:384:4,0.01
Holacanthus,passer,-18.75,-174.25,5117:384:3,0.06
Holacanthus,passer,-18.75,-173.75,5117:383:4,0.01
Holacanthus,passer,-15.75,-173.75,5117:353:4,0.10
Holacanthus,passer,-14.25,-171.25,5117:141:1,0.03
Holacanthus,passer,-13.75,-171.25,5117:131:3,0.04
Holacanthus,passer,-11.25,-171.25,5117:111:1,0.15
Holacanthus,passer,-13.25,-163.25,5116:133:1,0.09
Holacanthus,passer,-16.25,-152.25,5115:362:1,0.10
Holacanthus,passer,-16.75,-150.75,5115:360:4,0.19
Holacanthus,passer,-19.75,-144.75,5114:394:4,0.14
Holacanthus,passer,-19.25,-141.25,5114:391:1,0.06
Holacanthus,passer,-18.25,-141.25,5114:381:1,0.15
Holacanthus,passer,-18.25,-140.75,5114:380:2,0.09
Holacanthus,passer,-17.25,-141.25,5114:371:1,0.05
Holacanthus,passer,-17.75,-140.75,5114:370:4,0.09
Holacanthus,passer,-15.75,-140.75,5114:350:4,0.16
Holacanthus,passer,-15.75,-140.25,5114:350:3,0.16
Holacanthus,passer,-19.75,-70.25,5107:390:3,0.05
Holacanthus,passer,-19.25,-70.25,5107:390:1,0.07
Holacanthus,passer,-18.75,-70.25,5107:380:3,0.09
Holacanthus,passer,-18.25,-70.75,5107:380:2,0.09
Holacanthus,passer,-18.25,-70.25,5107:380:1,0.08
Holacanthus,passer,-17.75,-71.25,5107:371:3,0.05
Holacanthus,passer,-17.25,-71.25,5107:371:1,0.01
Holacanthus,passer,-17.75,-70.75,5107:370:4,0.05
Holacanthus,passer,-16.25,-73.25,5107:363:1,0.01
Holacanthus,passer,-16.75,-72.75,5107:362:4,0.02
Holacanthus,passer,-15.75,-73.75,5107:353:4,0.01
Holacanthus,passer,-11.75,-77.75,5107:217:4,0.01
Holacanthus,passer,-11.25,-77.75,5107:217:2,0.01
Holacanthus,passer,-11.25,-77.25,5107:217:1,0.01
Holacanthus,passer,-10.25,-78.25,5107:208:1,0.04
Holacanthus,passer,-10.75,-77.75,5107:207:4,0.01
Holacanthus,passer,-10.25,-77.75,5107:207:2,0.02
Holacanthus,passer,-7.25,-80.75,5008:370:2,0.15
Holacanthus,passer,-7.25,-80.25,5008:370:1,0.14
Holacanthus,passer,-6.25,-81.25,5008:361:1,0.06
Holacanthus,passer,-6.75,-80.75,5008:360:4,0.10
Holacanthus,passer,-6.75,-80.25,5008:360:3,0.01
Holacanthus,passer,-6.25,-80.25,5008:360:1,0.05
Holacanthus,passer,-5.75,-81.25,5008:351:3,0.18
Holacanthus,passer,-5.75,-80.75,5008:350:4,0.07
Holacanthus,passer,-5.25,-80.75,5008:350:2,0.16
Holacanthus,passer,-9.75,-78.25,5007:498:3,0.04
Holacanthus,passer,-9.25,-78.75,5007:498:2,0.04
Holacanthus,passer,-9.25,-78.25,5007:498:1,0.05
Holacanthus,passer,-8.25,-79.25,5007:489:1,0.03
Holacanthus,passer,-8.75,-78.75,5007:488:4,0.06
Holacanthus,passer,-8.25,-78.75,5007:488:2,0.08
Holacanthus,passer,-7.75,-79.75,5007:479:4,0.07
