Mapping parameters for Hygophum taaningi (TâÃningÃÃÃs lanternfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  34 |  41 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,250,342,581,1000
Temperature (°C),1,-1.25,1.48,9.72,27.83
Salinity (psu),1,34.04,34.54,35.54,36.9
Primary Production (mgC·m-3·day-1) ,1,-0.81,0.19,10.84,40.53
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,106.91,181.18,266.14,329.12
Distance to Land (km),0,4,97,974,1923
 

Map data (HSPEC) for predicted occurrences (n = 28667): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hygophum,taaningi,70.25,-2.25,7700:102:1,0.04
Hygophum,taaningi,70.25,-1.75,7700:101:2,0.04
Hygophum,taaningi,70.25,-1.25,7700:101:1,0.04
Hygophum,taaningi,70.25,-0.75,7700:100:2,0.05
Hygophum,taaningi,70.25,-0.25,7700:100:1,0.05
Hygophum,taaningi,63.75,-23.75,7602:133:4,0.13
Hygophum,taaningi,63.75,-23.25,7602:133:3,0.09
Hygophum,taaningi,63.75,-22.25,7602:132:3,0.07
Hygophum,taaningi,63.75,-16.25,7601:236:3,0.03
Hygophum,taaningi,66.25,-5.25,7600:465:1,0.04
Hygophum,taaningi,65.75,-6.25,7600:456:3,0.04
Hygophum,taaningi,65.25,-6.75,7600:456:2,0.05
Hygophum,taaningi,65.25,-6.25,7600:456:1,0.04
Hygophum,taaningi,65.75,-5.75,7600:455:4,0.04
