Mapping parameters for Hyperoodon ampullatus (North Atlantic bottlenose whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 ,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1000,2000,8000
Temperature (°C),1,-1.98,3.57,19.31,28.46
Salinity (psu),1,6.99,31.22,36.24,40.12
Primary Production (mgC·m-3·day-1) ,1,0.25,2.7,20.63,56.51
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,134.53,222.89,296.64,361.1
Distance to Land (km),0,0,5,281,1378
 

Map data (HSPEC) for predicted occurrences (n = 22078): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hyperoodon,ampullatus,0.25,0.25,1000:100:1,0.07
Hyperoodon,ampullatus,0.25,0.75,1000:100:2,0.07
Hyperoodon,ampullatus,0.75,0.25,1000:100:3,0.06
Hyperoodon,ampullatus,0.75,0.75,1000:100:4,0.05
Hyperoodon,ampullatus,0.25,1.25,1000:101:1,0.08
Hyperoodon,ampullatus,2.25,3.25,1000:123:1,0.04
Hyperoodon,ampullatus,2.25,3.75,1000:123:2,0.04
Hyperoodon,ampullatus,0.75,1.25,1000:101:3,0.06
Hyperoodon,ampullatus,0.75,1.75,1000:101:4,0.06
Hyperoodon,ampullatus,0.25,2.25,1000:102:1,0.11
Hyperoodon,ampullatus,2.75,0.25,1000:120:3,0.03
Hyperoodon,ampullatus,2.75,0.75,1000:120:4,0.04
Hyperoodon,ampullatus,2.25,1.25,1000:121:1,0.03
Hyperoodon,ampullatus,2.25,1.75,1000:121:2,0.03
Hyperoodon,ampullatus,2.75,1.25,1000:121:3,0.03
Hyperoodon,ampullatus,2.75,1.75,1000:121:4,0.03
Hyperoodon,ampullatus,0.25,1.75,1000:101:2,0.10
Hyperoodon,ampullatus,2.25,2.25,1000:122:1,0.03
Hyperoodon,ampullatus,2.25,2.75,1000:122:2,0.04
Hyperoodon,ampullatus,2.75,2.25,1000:122:3,0.03
Hyperoodon,ampullatus,2.75,2.75,1000:122:4,0.04
Hyperoodon,ampullatus,0.25,2.75,1000:102:2,0.09
Hyperoodon,ampullatus,0.75,2.25,1000:102:3,0.09
Hyperoodon,ampullatus,0.75,2.75,1000:102:4,0.08
Hyperoodon,ampullatus,0.25,3.25,1000:103:1,0.09
Hyperoodon,ampullatus,0.25,3.75,1000:103:2,0.09
Hyperoodon,ampullatus,0.75,3.25,1000:103:3,0.07
Hyperoodon,ampullatus,0.75,3.75,1000:103:4,0.07
Hyperoodon,ampullatus,0.25,4.25,1000:104:1,0.09
Hyperoodon,ampullatus,0.25,4.75,1000:104:2,0.11
Hyperoodon,ampullatus,0.75,4.25,1000:104:3,0.07
Hyperoodon,ampullatus,0.75,4.75,1000:104:4,0.08
Hyperoodon,ampullatus,1.25,0.25,1000:110:1,0.04
Hyperoodon,ampullatus,1.25,0.75,1000:110:2,0.04
Hyperoodon,ampullatus,1.75,0.25,1000:110:3,0.03
Hyperoodon,ampullatus,1.75,0.75,1000:110:4,0.03
Hyperoodon,ampullatus,1.25,1.25,1000:111:1,0.04
Hyperoodon,ampullatus,1.25,1.75,1000:111:2,0.05
Hyperoodon,ampullatus,1.75,1.25,1000:111:3,0.04
Hyperoodon,ampullatus,1.75,1.75,1000:111:4,0.04
Hyperoodon,ampullatus,1.25,2.25,1000:112:1,0.07
Hyperoodon,ampullatus,1.25,2.75,1000:112:2,0.06
Hyperoodon,ampullatus,1.75,2.25,1000:112:3,0.04
Hyperoodon,ampullatus,1.75,2.75,1000:112:4,0.04
Hyperoodon,ampullatus,1.25,3.25,1000:113:1,0.05
Hyperoodon,ampullatus,1.25,3.75,1000:113:2,0.06
Hyperoodon,ampullatus,1.75,3.25,1000:113:3,0.04
Hyperoodon,ampullatus,1.75,3.75,1000:113:4,0.05
Hyperoodon,ampullatus,1.25,4.25,1000:114:1,0.06
Hyperoodon,ampullatus,1.25,4.75,1000:114:2,0.06
Hyperoodon,ampullatus,1.75,4.25,1000:114:3,0.05
Hyperoodon,ampullatus,1.75,4.75,1000:114:4,0.05
Hyperoodon,ampullatus,2.25,0.25,1000:120:1,0.03
Hyperoodon,ampullatus,2.25,0.75,1000:120:2,0.03
Hyperoodon,ampullatus,2.75,3.25,1000:123:3,0.04
Hyperoodon,ampullatus,2.75,3.75,1000:123:4,0.04
Hyperoodon,ampullatus,2.25,4.25,1000:124:1,0.05
Hyperoodon,ampullatus,2.25,4.75,1000:124:2,0.05
Hyperoodon,ampullatus,2.75,4.25,1000:124:3,0.04
Hyperoodon,ampullatus,2.75,4.75,1000:124:4,0.05
Hyperoodon,ampullatus,3.25,0.25,1000:130:1,0.03
Hyperoodon,ampullatus,3.25,0.75,1000:130:2,0.03
