Mapping parameters for Hyporhamphus australis (Eastern sea garfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-28,-37,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,17.04,19.16,22.75,24.97
Salinity (psu),1,34.93,35.43,35.63,36.13
Primary Production (mgC·m-3·day-1) ,1,3.68,4.68,22.54,30.02
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,170.81,192.01,225.01,253.55
Distance to Land (km),0,0,1,104,215
 

Map data (HSPEC) for predicted occurrences (n = 58): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hyporhamphus,australis,-28.75,168.25,3216:488:3,0.13
Hyporhamphus,australis,-36.25,173.75,3317:363:2,0.12
Hyporhamphus,australis,-36.25,174.25,3317:364:1,0.05
Hyporhamphus,australis,-36.25,174.75,3317:364:2,0.16
Hyporhamphus,australis,-36.75,174.25,3317:364:3,0.03
Hyporhamphus,australis,-36.75,175.75,3317:465:4,0.19
Hyporhamphus,australis,-29.25,159.25,3215:499:1,0.28
Hyporhamphus,australis,-34.25,172.25,3317:142:1,0.23
Hyporhamphus,australis,-34.25,172.75,3317:142:2,0.34
Hyporhamphus,australis,-34.75,172.75,3317:142:4,0.22
Hyporhamphus,australis,-34.75,173.25,3317:143:3,0.33
