Mapping parameters for Johnius distinctus ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,21,40
Temperature (°C),1,18.4,22.16,25.58,29.78
Salinity (psu),1,27.33,30.68,33.72,37.48
Primary Production (mgC·m-3·day-1) ,1,4.83,16.6,76.89,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,94.35,144.27,216.04,252.38
Distance to Land (km),0,3,8,97,170.5
 

Map data (HSPEC) for predicted occurrences (n = 362): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Johnius,distinctus,15.25,109.25,1110:459:1,0.05
Johnius,distinctus,16.25,107.75,1110:467:2,0.16
Johnius,distinctus,16.75,107.25,1110:467:3,0.13
Johnius,distinctus,16.75,107.75,1110:467:4,0.06
Johnius,distinctus,16.25,108.75,1110:468:2,0.06
Johnius,distinctus,17.75,106.75,1110:476:4,0.15
Johnius,distinctus,17.25,107.25,1110:477:1,0.11
Johnius,distinctus,18.25,108.75,1110:488:2,0.17
Johnius,distinctus,18.25,109.75,1110:489:2,0.19
Johnius,distinctus,19.75,108.75,1110:498:4,0.16
Johnius,distinctus,19.75,109.25,1110:499:3,0.15
Johnius,distinctus,19.75,109.75,1110:499:4,0.18
Johnius,distinctus,18.25,110.25,1111:380:1,0.14
Johnius,distinctus,18.75,110.75,1111:380:4,0.19
Johnius,distinctus,19.25,111.25,1111:391:1,0.05
Johnius,distinctus,20.75,109.75,1210:209:4,0.02
Johnius,distinctus,21.75,108.25,1210:218:3,0.18
Johnius,distinctus,21.25,109.25,1210:219:1,0.07
Johnius,distinctus,20.25,111.75,1211:101:2,0.04
Johnius,distinctus,20.75,112.25,1211:102:3,0.08
Johnius,distinctus,20.75,112.75,1211:102:4,0.02
Johnius,distinctus,21.25,114.25,1211:114:1,0.05
Johnius,distinctus,22.25,113.25,1211:123:1,0.13
Johnius,distinctus,22.25,116.75,1211:226:2,0.09
Johnius,distinctus,22.25,118.75,1211:228:2,0.09
Johnius,distinctus,21.75,120.75,1212:110:4,0.02
Johnius,distinctus,22.25,120.75,1212:120:2,0.11
Johnius,distinctus,22.25,121.75,1212:121:2,0.03
Johnius,distinctus,22.75,121.75,1212:121:4,0.05
Johnius,distinctus,24.25,122.75,1212:142:2,0.01
Johnius,distinctus,24.25,123.75,1212:143:2,0.01
Johnius,distinctus,24.75,123.25,1212:143:3,0.04
Johnius,distinctus,24.25,124.25,1212:144:1,0.01
Johnius,distinctus,24.75,124.25,1212:144:3,0.07
Johnius,distinctus,24.75,124.75,1212:144:4,0.06
Johnius,distinctus,24.75,125.25,1212:245:3,0.08
Johnius,distinctus,24.75,125.75,1212:245:4,0.04
Johnius,distinctus,25.75,123.75,1212:353:4,0.15
Johnius,distinctus,25.75,124.75,1212:354:4,0.16
Johnius,distinctus,26.25,121.25,1212:361:1,0.05
Johnius,distinctus,27.75,120.75,1212:370:4,0.12
Johnius,distinctus,28.25,121.25,1212:381:1,0.07
Johnius,distinctus,28.25,121.75,1212:381:2,0.19
Johnius,distinctus,29.25,122.25,1212:392:1,0.01
Johnius,distinctus,29.75,123.25,1212:393:3,0.16
Johnius,distinctus,29.75,123.75,1212:393:4,0.04
Johnius,distinctus,29.75,124.25,1212:394:3,0.01
Johnius,distinctus,29.75,124.75,1212:394:4,0.11
Johnius,distinctus,25.25,125.25,1212:455:1,0.14
Johnius,distinctus,25.25,125.75,1212:455:2,0.10
Johnius,distinctus,26.25,126.75,1212:466:2,0.12
Johnius,distinctus,26.75,126.75,1212:466:4,0.15
Johnius,distinctus,26.25,127.25,1212:467:1,0.07
Johnius,distinctus,26.25,127.75,1212:467:2,0.05
Johnius,distinctus,26.75,127.25,1212:467:3,0.13
Johnius,distinctus,26.75,127.75,1212:467:4,0.11
Johnius,distinctus,26.25,128.25,1212:468:1,0.02
Johnius,distinctus,26.75,128.25,1212:468:3,0.08
Johnius,distinctus,27.25,127.75,1212:477:2,0.11
Johnius,distinctus,27.25,128.25,1212:478:1,0.06
Johnius,distinctus,27.25,128.75,1212:478:2,0.05
Johnius,distinctus,27.75,128.25,1212:478:3,0.06
Johnius,distinctus,27.75,128.75,1212:478:4,0.05
Johnius,distinctus,27.75,129.25,1212:479:3,0.09
Johnius,distinctus,28.25,129.25,1212:489:1,0.11
Johnius,distinctus,28.25,129.75,1212:489:2,0.15
Johnius,distinctus,28.75,129.25,1212:489:3,0.12
Johnius,distinctus,28.75,129.75,1212:489:4,0.12
Johnius,distinctus,29.25,129.25,1212:499:1,0.13
Johnius,distinctus,29.25,129.75,1212:499:2,0.16
Johnius,distinctus,28.25,130.25,1213:380:1,0.14
Johnius,distinctus,30.25,122.75,1312:102:2,0.13
Johnius,distinctus,30.75,122.75,1312:102:4,0.03
Johnius,distinctus,30.75,123.75,1312:103:4,0.08
Johnius,distinctus,31.25,122.75,1312:112:2,0.03
