Mapping parameters for Carangoides equula (Whitefin trevally)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,35,-60,15,-150

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,64,81,142,226
Temperature (°C),1,14.89,21.03,28.44,32.64
Salinity (psu),1,25.97,33.32,35.53,38.84
Primary Production (mgC·m-3·day-1) ,1,0.56,2.25,24.81,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,4.81,103.9,215.32,294.98
Distance to Land (km),0,1,13,268,602
 

Map data (HSPEC) for predicted occurrences (n = 5259): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Carangoides,equula,28.75,-178.25,7217:488:3,0.06
Carangoides,equula,28.25,-177.25,7217:487:1,0.02
Carangoides,equula,28.75,-176.75,7217:486:4,0.06
Carangoides,equula,26.25,-174.75,7217:364:2,0.02
Carangoides,equula,26.25,-174.25,7217:364:1,0.05
Carangoides,equula,26.25,-173.75,7217:363:2,0.04
Carangoides,equula,26.25,-173.25,7217:363:1,0.02
Carangoides,equula,25.75,-173.75,7217:353:4,0.04
Carangoides,equula,25.75,-173.25,7217:353:3,0.02
Carangoides,equula,25.75,-172.25,7217:352:3,0.03
Carangoides,equula,25.25,-172.25,7217:352:1,0.02
Carangoides,equula,25.75,-171.75,7217:351:4,0.08
Carangoides,equula,25.75,-171.25,7217:351:3,0.14
Carangoides,equula,25.25,-171.25,7217:351:1,0.10
Carangoides,equula,25.75,-170.25,7217:350:3,0.05
Carangoides,equula,25.25,-170.75,7217:350:2,0.17
Carangoides,equula,25.25,-170.25,7217:350:1,0.05
Carangoides,equula,25.75,-169.25,7216:459:3,0.03
Carangoides,equula,25.25,-168.25,7216:458:1,0.12
Carangoides,equula,25.25,-167.75,7216:457:2,0.09
Carangoides,equula,24.75,-168.25,7216:248:3,0.07
Carangoides,equula,24.75,-167.75,7216:247:4,0.05
Carangoides,equula,24.25,-167.25,7216:247:1,0.01
Carangoides,equula,24.25,-166.75,7216:246:2,0.01
Carangoides,equula,23.75,-166.25,7216:236:3,0.04
Carangoides,equula,23.75,-164.75,7216:134:4,0.08
Carangoides,equula,23.75,-164.25,7216:134:3,0.02
Carangoides,equula,23.25,-164.75,7216:134:2,0.02
Carangoides,equula,23.25,-164.25,7216:134:1,0.01
Carangoides,equula,23.25,-161.75,7216:131:2,0.01
Carangoides,equula,22.75,-161.25,7216:121:3,0.01
Carangoides,equula,22.75,-160.75,7216:120:4,0.06
Carangoides,equula,22.25,-160.25,7216:120:1,0.19
Carangoides,equula,21.75,-160.75,7216:110:4,0.02
Carangoides,equula,21.75,-160.25,7216:110:3,0.10
Carangoides,equula,21.75,-159.75,7215:219:4,0.18
Carangoides,equula,20.75,-157.75,7215:207:4,0.09
Carangoides,equula,16.75,-169.75,7116:469:4,0.02
Carangoides,equula,16.75,-169.25,7116:469:3,0.01
Carangoides,equula,-30.25,-178.75,5317:208:2,0.04
Carangoides,equula,-28.25,-179.25,5217:489:1,0.12
Carangoides,equula,-28.75,-177.75,5217:487:4,0.10
Carangoides,equula,-23.75,-179.25,5217:239:3,0.10
